Tadh_TriadT7832	PWI.HG1.4:SRRM1
Tadh_TriadT56265	PWI.HG1.6:AC091959.1/RBM26/RBM27
Tadh_TriadT51418	RRM.HG1.11:RBMX/RBMXL1/RBMXL2
Tadh_TriadT19129	RRM.HG1.16:AP002373.1/RBM7/RBM11
Tadh_TriadT55715	RRM.HG1.18:RBM18
Tadh_TriadT26280	RRM.HG1.19:SF3B4
Tadh_TriadT27786	RRM.HG1.24:PABPC1/PABPC1L/PABPC1L2A/PABPC1L2B/PABPC3/PABPC4/PABPC4L/PABPC5
Tadh_TriadT30761	RRM.HG1.24:PABPC1/PABPC1L/PABPC1L2A/PABPC1L2B/PABPC3/PABPC4/PABPC4L/PABPC5
Tadh_TriadT28438	RRM.HG1.26:TIA1/TIAL1
Tadh_TriadT57967	RRM.HG1.27:TRNAU1AP
Tadh_TriadT53276	RRM.HG1.28:NELFE
Tadh_TriadT52757	RRM.HG1.29:like:NELFE/PPIE/PUF60/RBM23/RBM39/REXO5/SF3B4/TIA1/TIAL1/TRNAU1AP/U2SURP
Tadh_TriadT37071	RRM.HG1.33:RBM23/RBM39
Tadh_TriadT7323	RRM.HG1.34:RBM42
Tadh_TriadT51296	RRM.HG1.36:U2SURP;SURP.HG1.0:U2SURP
Tadh_TriadT63331	RRM.HG1.37:PPIE
Tadh_TriadT64128	RRM.HG1.39:PUF60
Tadh_TriadT56865	RRM.HG1.4:NONO/PSPC1/SFPQ
Tadh_TriadT54022	RRM.HG1.6:like:AP002373.1/HNRNPM/MYEF2/RBM7/RBM11
Tadh_TriadT62320	RRM.HG1.7:like:AP002373.1/HNRNPM/MYEF2/RBM7/RBM11
Tadh_TriadT30657	RRM.HG10.0:BCL2L2-PABPN1/PABPN1/PABPN1L
Tadh_TriadT17518	RRM.HG10.1:SREK1/SRSF11
Tadh_TriadT60544	RRM.HG10.3:like:RBM34
Tadh_TriadT58742	RRM.HG11.2:PPIL4
Tadh_TriadT51837	RRM.HG11.4:SNRNP70
Tadh_TriadT51503	RRM.HG12.0:EIF4H
