HoiH23_hyp_clust10942.t1	GPCRrhod.HG12.20:NA
HoiH23_PlH23_006298-RA	GPCRrhod.HG10.60:NA
HoiH23_PlH23_006299-RA	GPCRrhod.HG10.58:NA
HoiH23_PlH23_006311-RA	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_006312-RA	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_006413-RA	GPCRrhod.HG59.11:NA
HoiH23_PlH23_006429-RA	GPCRrhod.HG22.57:NA
HoiH23_PlH23_006433-RA	GPCRrhod.HG12.18:NA
HoiH23_PlH23_006435-RA	GPCRrhod.HG12.21:NA
HoiH23_PlH23_006436-RA	GPCRrhod.HG12.17:NA
HoiH23_PlH23_006437-RA	GPCRrhod.HG12.6:NA
HoiH23_PlH23_006474-RA	GPCRglut.HG2.6:like:GRM1/GRM2/GRM3/GRM4/GRM5/GRM6/GRM7/GRM8
HoiH23_PlH23_006484-RA	GPCRrhod.HG59.6:NA
HoiH23_PlH23_006485-RA	GPCRrhod.HG59.6:NA
HoiH23_PlH23_006501-RA	GPCRrhod.HG36.6:NA
HoiH23_PlH23_006502-RA	GPCRrhod.HG36.3:NA
HoiH23_PlH23_006503-RA	GPCRrhod.HG36.4:NA
HoiH23_PlH23_006528-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_006549-RA	GPCRrhod.HG189.0:NA
HoiH23_PlH23_006571-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006596-RA	GPCRrhod.HG22.26:NA
HoiH23_PlH23_006598-RA	GPCRrhod.HG22.33:NA
HoiH23_PlH23_006606-RA	GPCRrhod.HG10.13:NA
HoiH23_PlH23_006608-RA	GPCRrhod.HG22.29:NA
HoiH23_PlH23_006609-RA	GPCRrhod.HG22.29:NA
HoiH23_PlH23_006642-RA	GPCRrhod.HG104.0:NA
HoiH23_PlH23_006665-RA	GPCRrhod.HG32.13:NA
HoiH23_PlH23_006713-RA	GPCRrhod.HG2.13:like:GPR19/GPR176
HoiH23_PlH23_006739-RA	GPCRrhod.HG6.1:NA
HoiH23_PlH23_006761-RA	GPCRrhod.HG36.20:NA
HoiH23_PlH23_006762-RA	GPCRrhod.HG36.28:NA
HoiH23_PlH23_006763-RA	GPCRrhod.HG36.27:NA
HoiH23_PlH23_006766-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_006797-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_006798-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_006799-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006800-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006801-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_006806-RA	GPCRrhod.HG2.42:like:NPFFR1/NPFFR2
HoiH23_PlH23_006831-RA	GPCRrhod.HG12.3:NA
HoiH23_PlH23_006832-RA	GPCRrhod.HG32.42:NA
HoiH23_PlH23_006843-RA	GPCRrhod.HG10.20:NA
HoiH23_PlH23_006844-RA	GPCRrhod.HG10.19:NA
HoiH23_PlH23_006845-RA	GPCRrhod.HG2.53:like:NPFFR1/NPFFR2
HoiH23_PlH23_006967-RA	GPCRsecr.HG1.34:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_006970-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_006971-RA	GPCRsecr.HG1.28:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_007026-RA	GPCRglut.HG1.45:like:GABBR1/GABBR2
HoiH23_PlH23_007027-RA	GPCRglut.HG1.45:like:GABBR1/GABBR2
HoiH23_PlH23_007048-RA	GPCRrhod.HG22.9:NA
HoiH23_PlH23_007068-RA	GPCRrhod.HG22.64:NA
HoiH23_PlH23_007109-RA	GPCRrhod.HG22.51:NA
HoiH23_PlH23_007125-RA	GPCRrhod.HG22.38:NA
HoiH23_PlH23_007145-RA	GPCRrhod.HG94.0:NA
HoiH23_PlH23_007148-RA	GPCRrhod.HG94.0:NA
HoiH23_PlH23_007152-RA	GPCRsecr.HG3.5:NA
HoiH23_PlH23_007153-RA	GPCRsecr.HG3.5:NA
HoiH23_PlH23_007155-RA	GPCRrhod.HG148.0:NA
HoiH23_PlH23_007215-RA	GPCRrhod.HG52.14:NA
HoiH23_PlH23_007216-RA	GPCRrhod.HG52.20:NA
HoiH23_PlH23_007217-RA	GPCRrhod.HG52.13:NA
HoiH23_PlH23_007218-RA	GPCRrhod.HG52.9:NA
HoiH23_PlH23_007219-RA	GPCRrhod.HG52.10:NA
HoiH23_PlH23_007257-RA	GPCRrhod.HG29.26:NA
HoiH23_PlH23_007263-RA	GPCRrhod.HG78.5:NA
HoiH23_PlH23_007279-RA	GPCRrhod.HG32.11:NA
HoiH23_PlH23_007353-RA	GPCRrhod.HG10.114:NA
HoiH23_PlH23_007354-RA	GPCRrhod.HG10.92:NA
HoiH23_PlH23_007364-RA	GPCRrhod.HG22.36:NA
HoiH23_PlH23_007369-RA	GPCRrhod.HG10.112:NA
HoiH23_PlH23_007370-RA	GPCRrhod.HG10.54:NA
HoiH23_PlH23_007371-RA	GPCRrhod.HG10.37:NA
HoiH23_PlH23_007382-RA	GPCRrhod.HG59.15:NA
HoiH23_PlH23_007384-RA	GPCRrhod.HG10.73:NA
HoiH23_PlH23_007411-RA	GPCRrhod.HG22.17:NA
HoiH23_PlH23_007450-RA	GPCRrhod.HG22.54:NA
HoiH23_PlH23_007453-RA	GPCRrhod.HG22.70:NA
HoiH23_PlH23_007454-RA	GPCRrhod.HG22.47:NA
HoiH23_PlH23_007501-RA	GPCRrhod.HG181.0:NA
HoiH23_PlH23_007520-RA	GPCRrhod.HG41.3:NA
HoiH23_PlH23_007529-RA	GPCRrhod.HG10.39:NA
HoiH23_PlH23_007530-RA	GPCRrhod.HG16.0:RXFP1/RXFP2
HoiH23_PlH23_007547-RA	GPCRrhod.HG41.3:NA
HoiH23_PlH23_007564-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007565-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007566-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007567-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007568-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007569-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007570-RA	GPCRrhod.HG36.26:NA
HoiH23_PlH23_007584-RA	GPCRglut.HG1.20:like:GABBR1/GABBR2
HoiH23_PlH23_007610-RA	GPCRrhod.HG173.0:NA
HoiH23_PlH23_007626-RA	GPCRrhod.HG41.9:NA
HoiH23_PlH23_007628-RA	GPCRrhod.HG41.10:NA
HoiH23_PlH23_007629-RA	GPCRrhod.HG41.17:NA
HoiH23_PlH23_007630-RA	GPCRrhod.HG41.13:NA
HoiH23_PlH23_007631-RA	GPCRrhod.HG41.12:NA
HoiH23_PlH23_007632-RA	GPCRrhod.HG41.16:NA
HoiH23_PlH23_007633-RA	GPCRrhod.HG41.18:NA
HoiH23_PlH23_007642-RA	GPCRrhod.HG41.1:NA
HoiH23_PlH23_007643-RA	GPCRrhod.HG41.15:NA
HoiH23_PlH23_007644-RA	GPCRrhod.HG41.14:NA
HoiH23_PlH23_007645-RA	GPCRrhod.HG41.11:NA
HoiH23_PlH23_007646-RA	GPCRrhod.HG41.11:NA
HoiH23_PlH23_007647-RA	GPCRrhod.HG37.7:NA
HoiH23_PlH23_007680-RA	GPCRrhod.HG10.97:NA
HoiH23_PlH23_007682-RA	GPCRrhod.HG10.96:NA
HoiH23_PlH23_007683-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_007684-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_007703-RA	GPCRrhod.HG10.72:NA
HoiH23_PlH23_007704-RA	GPCRrhod.HG10.48:NA
HoiH23_PlH23_007705-RA	GPCRrhod.HG10.71:NA
HoiH23_PlH23_007706-RA	GPCRrhod.HG10.47:NA
HoiH23_PlH23_007715-RA	GPCRrhod.HG10.49:NA
HoiH23_PlH23_007745-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_007746-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_007800-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_007816-RA	GPCRrhod.HG59.9:NA
HoiH23_PlH23_007823-RA	GPCRrhod.HG22.6:NA
HoiH23_PlH23_007828-RA	GPCRrhod.HG22.76:NA
HoiH23_PlH23_007831-RA	GPCRrhod.HG10.17:NA
HoiH23_PlH23_007832-RA	GPCRrhod.HG10.9:NA
HoiH23_PlH23_007866-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_007888-RA	GPCRrhod.HG54.14:NA
HoiH23_PlH23_007896-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_007897-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_007935-RA	GPCRglut.HG4.2:NA
HoiH23_PlH23_007937-RA	GPCRglut.HG4.2:NA
HoiH23_PlH23_007938-RA	GPCRglut.HG4.2:NA
HoiH23_PlH23_007957-RA	GPCRrhod.HG34.7:NA
HoiH23_PlH23_007960-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_007963-RA	GPCRrhod.HG34.7:NA
HoiH23_PlH23_007965-RA	GPCRrhod.HG34.7:NA
HoiH23_PlH23_007966-RA	GPCRrhod.HG34.7:NA
HoiH23_PlH23_007967-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_007987-RA	GPCRrhod.HG54.1:NA
HoiH23_PlH23_007988-RA	GPCRrhod.HG54.4:NA
HoiH23_PlH23_007989-RA	GPCRrhod.HG54.9:NA
HoiH23_PlH23_007990-RA	GPCRrhod.HG54.9:NA
HoiH23_PlH23_007996-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_007997-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_007998-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_007999-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_008014-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008015-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008016-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008017-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008018-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008019-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_008020-RA	GPCRrhod.HG10.8:NA
HoiH23_PlH23_008051-RA	GPCRrhod.HG1.28:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_008078-RA	GPCRrhod.HG10.87:NA
HoiH23_PlH23_008100-RA	GPCRrhod.HG22.44:NA
HoiH23_PlH23_008121-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_008122-RA	GPCRrhod.HG36.0:NA
HoiH23_PlH23_008128-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_008130-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_008131-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_008211-RA	GPCRrhod.HG45.10:NA
HoiH23_PlH23_008249-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_008250-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_008251-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_008252-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_008285-RA	GPCRglut.HG1.40:like:GABBR1/GABBR2
HoiH23_PlH23_008298-RA	GPCRrhod.HG1.18:like:GPR45/GPR63
HoiH23_PlH23_008322-RA	GPCRrhod.HG2.52:like:NPFFR1/NPFFR2
HoiH23_PlH23_008391-RA	GPCRrhod.HG1.41:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_008392-RA	GPCRglut.HG1.2:GPR156
HoiH23_PlH23_008420-RA	GPCRrhod.HG10.95:NA
HoiH23_PlH23_008421-RA	GPCRrhod.HG10.18:NA
HoiH23_PlH23_008423-RA	GPCRrhod.HG22.64:NA
HoiH23_PlH23_008464-RA	GPCRrhod.HG191.0:NA
HoiH23_PlH23_008468-RA	GPCRrhod.Unclassified
HoiH23_PlH23_008471-RA	GPCRrhod.HG101.1:NA
HoiH23_PlH23_008472-RA	GPCRrhod.HG80.0:NA
HoiH23_PlH23_008473-RA	GPCRrhod.HG80.4:NA
HoiH23_PlH23_008474-RA	GPCRrhod.HG80.5:NA
HoiH23_PlH23_008476-RA	GPCRrhod.HG80.6:NA
HoiH23_PlH23_008477-RA	GPCRrhod.HG80.8:NA
HoiH23_PlH23_008484-RA	GPCRrhod.HG10.12:NA
HoiH23_PlH23_008517-RA	GPCRglut.HG2.6:like:GRM1/GRM2/GRM3/GRM4/GRM5/GRM6/GRM7/GRM8
HoiH23_PlH23_008518-RA	GPCRglut.HG3.7:like:CASR/GPRC6A/TAS1R1/TAS1R2/TAS1R3
HoiH23_PlH23_008554-RA	GPCRrhod.HG10.104:NA
HoiH23_PlH23_008563-RA	GPCRrhod.HG10.77:NA
HoiH23_PlH23_008564-RA	GPCRrhod.HG10.79:NA
HoiH23_PlH23_008565-RA	GPCRrhod.HG10.92:NA
HoiH23_PlH23_008566-RA	GPCRrhod.HG10.93:NA
HoiH23_PlH23_008567-RA	GPCRrhod.HG10.78:NA
HoiH23_PlH23_008568-RA	GPCRrhod.HG10.78:NA
HoiH23_PlH23_008569-RA	GPCRrhod.HG10.78:NA
HoiH23_PlH23_008570-RA	GPCRrhod.HG10.79:NA
HoiH23_PlH23_008571-RA	GPCRrhod.HG10.79:NA
HoiH23_PlH23_008572-RA	GPCRrhod.HG10.93:NA
HoiH23_PlH23_008573-RA	GPCRrhod.HG10.92:NA
HoiH23_PlH23_008574-RA	GPCRrhod.HG10.92:NA
HoiH23_PlH23_008575-RA	GPCRrhod.HG10.113:NA
HoiH23_PlH23_008588-RA	GPCRrhod.HG36.22:NA
HoiH23_PlH23_008589-RA	GPCRrhod.HG36.19:NA
HoiH23_PlH23_008664-RA	GPCRrhod.HG59.6:NA
HoiH23_PlH23_008666-RA	GPCRrhod.HG59.6:NA
HoiH23_PlH23_008719-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_008722-RA	GPCRrhod.HG16.0:RXFP1/RXFP2
HoiH23_PlH23_008725-RA	GPCRrhod.HG32.22:NA
HoiH23_PlH23_008726-RA	GPCRrhod.HG32.23:NA
HoiH23_PlH23_008727-RA	GPCRrhod.HG32.23:NA
HoiH23_PlH23_008728-RA	GPCRrhod.HG32.23:NA
HoiH23_PlH23_008785-RA	GPCRrhod.HG22.19:NA
HoiH23_PlH23_008790-RA	GPCRglut.HG1.23:like:GABBR1/GABBR2
HoiH23_PlH23_008874-RA	GPCRrhod.HG104.1:NA
HoiH23_PlH23_008881-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_008893-RA	GPCRrhod.HG22.46:NA
HoiH23_PlH23_008894-RA	GPCRrhod.HG22.40:NA
HoiH23_PlH23_008895-RA	GPCRrhod.HG22.28:NA
HoiH23_PlH23_008905-RA	GPCRglut.HG1.20:like:GABBR1/GABBR2
HoiH23_PlH23_008907-RA	GPCRglut.HG1.20:like:GABBR1/GABBR2
HoiH23_PlH23_008908-RA	GPCRglut.HG1.20:like:GABBR1/GABBR2
HoiH23_PlH23_008937-RA	GPCRrhod.HG59.7:NA
HoiH23_PlH23_008942-RA	GPCRrhod.HG62.8:NA
HoiH23_PlH23_008943-RA	GPCRrhod.HG62.13:NA
HoiH23_PlH23_008944-RA	GPCRrhod.HG62.13:NA
HoiH23_PlH23_008945-RA	GPCRrhod.HG62.13:NA
HoiH23_PlH23_008946-RA	GPCRrhod.HG62.10:NA
HoiH23_PlH23_008948-RA	GPCRrhod.HG62.12:NA
HoiH23_PlH23_009002-RA	GPCRrhod.HG12.31:NA
HoiH23_PlH23_009003-RA	GPCRrhod.HG12.31:NA
HoiH23_PlH23_009011-RA	GPCRrhod.HG22.12:NA
HoiH23_PlH23_009099-RA	GPCRrhod.HG22.13:NA
HoiH23_PlH23_009125-RA	GPCRglut.HG1.30:like:GABBR1/GABBR2
HoiH23_PlH23_009136-RA	GPCRrhod.HG22.73:NA
HoiH23_PlH23_009141-RA	GPCRrhod.HG45.5:NA
HoiH23_PlH23_009151-RA	GPCRrhod.HG34.30:NA
HoiH23_PlH23_009161-RA	GPCRrhod.HG34.1:NA
HoiH23_PlH23_009162-RA	GPCRrhod.HG34.2:NA
HoiH23_PlH23_009168-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_009177-RA	GPCRrhod.Unclassified
HoiH23_PlH23_009201-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009202-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009203-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009204-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009205-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009214-RA	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_009215-RA	GPCRrhod.HG1.46:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_009216-RA	GPCRrhod.HG41.3:NA
HoiH23_PlH23_009228-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_009268-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_009270-RA	GPCRrhod.HG10.76:NA
HoiH23_PlH23_009271-RA	GPCRrhod.HG10.76:NA
HoiH23_PlH23_009277-RA	GPCRglut.HG1.41:like:GABBR1/GABBR2
HoiH23_PlH23_009278-RA	GPCRglut.HG1.42:like:GABBR1/GABBR2
HoiH23_PlH23_009279-RA	GPCRglut.HG1.42:like:GABBR1/GABBR2
HoiH23_PlH23_009282-RA	GPCRsecr.HG1.36:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009285-RA	GPCRsecr.HG1.37:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009290-RA	GPCRrhod.HG22.15:NA
HoiH23_PlH23_009295-RA	GPCRrhod.HG12.4:NA
HoiH23_PlH23_009309-RA	GPCRrhod.HG12.79:NA
HoiH23_PlH23_009310-RA	GPCRrhod.HG12.73:NA
HoiH23_PlH23_009311-RA	GPCRrhod.HG12.74:NA
HoiH23_PlH23_009312-RA	GPCRrhod.HG12.78:NA
HoiH23_PlH23_009314-RA	GPCRrhod.HG10.108:NA
HoiH23_PlH23_009317-RA	GPCRrhod.HG62.7:NA
HoiH23_PlH23_009318-RA	GPCRrhod.HG62.4:NA
HoiH23_PlH23_009319-RA	GPCRrhod.HG62.5:NA
HoiH23_PlH23_009320-RA	GPCRrhod.HG62.2:NA
HoiH23_PlH23_009323-RA	GPCRrhod.HG45.2:NA
HoiH23_PlH23_009324-RA	GPCRrhod.HG45.12:NA
HoiH23_PlH23_009325-RA	GPCRrhod.HG162.0:NA
HoiH23_PlH23_009326-RA	GPCRrhod.HG12.14:NA
HoiH23_PlH23_009327-RA	GPCRrhod.Unclassified
HoiH23_PlH23_009328-RA	GPCRrhod.HG12.15:NA
HoiH23_PlH23_009329-RA	GPCRrhod.HG12.13:NA
HoiH23_PlH23_009333-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009334-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_009370-RA	GPCRrhod.HG12.80:NA
HoiH23_PlH23_009371-RA	GPCRrhod.HG12.70:NA
HoiH23_PlH23_009372-RA	GPCRrhod.HG12.70:NA
HoiH23_PlH23_009373-RA	GPCRrhod.HG12.80:NA
HoiH23_PlH23_009374-RA	GPCRrhod.HG12.80:NA
HoiH23_PlH23_009375-RA	GPCRrhod.HG12.70:NA
HoiH23_PlH23_009376-RA	GPCRrhod.HG12.70:NA
HoiH23_PlH23_009377-RA	GPCRrhod.HG12.81:NA
HoiH23_PlH23_009407-RA	GPCRrhod.HG10.110:NA
HoiH23_PlH23_009408-RA	GPCRrhod.HG10.106:NA
HoiH23_PlH23_009411-RA	GPCRrhod.HG10.107:NA
HoiH23_PlH23_009431-RA	GPCRrhod.HG37.21:NA
HoiH23_PlH23_009432-RA	GPCRrhod.HG37.32:NA
HoiH23_PlH23_009433-RA	GPCRrhod.HG37.34:NA
HoiH23_PlH23_009434-RA	GPCRrhod.HG37.5:NA
HoiH23_PlH23_009435-RA	GPCRrhod.HG37.3:NA
HoiH23_PlH23_009437-RA	GPCRrhod.HG37.18:NA
HoiH23_PlH23_009438-RA	GPCRrhod.HG37.1:NA
HoiH23_PlH23_009439-RA	GPCRrhod.HG166.1:NA
HoiH23_PlH23_009440-RA	GPCRrhod.HG102.1:NA
HoiH23_PlH23_009441-RA	GPCRrhod.HG102.0:NA
HoiH23_PlH23_009442-RA	GPCRrhod.HG102.4:NA
HoiH23_PlH23_009443-RA	GPCRrhod.HG102.5:NA
HoiH23_PlH23_009444-RA	GPCRrhod.HG102.2:NA
HoiH23_PlH23_009445-RA	GPCRrhod.HG162.0:NA
HoiH23_PlH23_009449-RA	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
HoiH23_PlH23_009450-RA	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
HoiH23_PlH23_009451-RA	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
HoiH23_PlH23_009458-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_009459-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_009460-RA	GPCRrhod.HG10.56:NA
HoiH23_PlH23_009466-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_009470-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009527-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009537-RA	GPCRglut.HG4.2:NA
HoiH23_PlH23_009540-RA	GPCRrhod.HG22.37:NA
HoiH23_PlH23_009542-RA	GPCRrhod.HG22.37:NA
HoiH23_PlH23_009607-RA	GPCRrhod.HG29.6:NA
HoiH23_PlH23_009608-RA	GPCRrhod.HG29.7:NA
HoiH23_PlH23_009609-RA	GPCRrhod.HG29.8:NA
HoiH23_PlH23_009610-RA	GPCRrhod.HG29.5:NA
HoiH23_PlH23_009611-RA	GPCRrhod.HG29.4:NA
HoiH23_PlH23_009612-RA	GPCRrhod.HG29.25:NA
HoiH23_PlH23_009613-RA	GPCRrhod.HG29.39:NA
HoiH23_PlH23_009614-RA	GPCRrhod.HG29.15:NA
HoiH23_PlH23_009615-RA	GPCRrhod.HG29.14:NA
HoiH23_PlH23_009616-RA	GPCRrhod.HG29.16:NA
HoiH23_PlH23_009617-RA	GPCRrhod.HG29.11:NA
HoiH23_PlH23_009618-RA	GPCRrhod.HG29.9:NA
HoiH23_PlH23_009641-RA	GPCRrhod.HG2.49:like:NPFFR1/NPFFR2
HoiH23_PlH23_009645-RA	GPCRrhod.HG62.3:NA
HoiH23_PlH23_009649-RA	GPCRrhod.HG62.0:NA
HoiH23_PlH23_009653-RA	GPCRrhod.HG22.58:NA
HoiH23_PlH23_009678-RA	GPCRrhod.HG78.3:NA
HoiH23_PlH23_009679-RA	GPCRrhod.HG78.1:NA
HoiH23_PlH23_009681-RA	GPCRrhod.HG78.2:NA
HoiH23_PlH23_009694-RA	GPCRrhod.HG36.15:NA
HoiH23_PlH23_009696-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009697-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_009698-RA	GPCRrhod.HG51.0:NA
