HoiH23_hyp_clust10942.t1	GPCRrhod.HG12.20:NA
HoiH23_PlH23_001825-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_001924-RA	GPCRrhod.HG10.6:NA
HoiH23_PlH23_001992-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_001994-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_001996-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_002017-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_002027-RA	GPCRrhod.HG10.70:NA
HoiH23_PlH23_002041-RA	GPCRrhod.HG65.5:NA
HoiH23_PlH23_002042-RA	GPCRrhod.HG65.6:NA
HoiH23_PlH23_002043-RA	GPCRrhod.HG65.12:NA
HoiH23_PlH23_002044-RA	GPCRrhod.HG65.14:NA
HoiH23_PlH23_002045-RA	GPCRrhod.HG65.8:NA
HoiH23_PlH23_002046-RA	GPCRrhod.HG65.13:NA
HoiH23_PlH23_002047-RA	GPCRrhod.HG65.4:NA
HoiH23_PlH23_002062-RA	GPCRrhod.HG62.7:NA
HoiH23_PlH23_002071-RA	GPCRrhod.HG10.98:NA
HoiH23_PlH23_002072-RA	GPCRrhod.HG10.105:NA
HoiH23_PlH23_002073-RA	GPCRrhod.HG10.64:NA
HoiH23_PlH23_002074-RA	GPCRrhod.HG10.63:NA
HoiH23_PlH23_002077-RA	GPCRrhod.HG39.8:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
HoiH23_PlH23_002154-RA	GPCRrhod.HG36.5:NA
HoiH23_PlH23_002276-RA	GPCRglut.HG1.1:like:GABBR1/GABBR2/GPR156
HoiH23_PlH23_002284-RA	GPCRrhod.HG71.1:NA
HoiH23_PlH23_002285-RA	GPCRrhod.HG34.10:NA
HoiH23_PlH23_002286-RA	GPCRrhod.HG34.18:NA
HoiH23_PlH23_002287-RA	GPCRrhod.HG34.18:NA
HoiH23_PlH23_002289-RA	GPCRrhod.HG34.18:NA
HoiH23_PlH23_002290-RA	GPCRrhod.HG34.18:NA
HoiH23_PlH23_002291-RA	GPCRrhod.HG34.19:NA
HoiH23_PlH23_002292-RA	GPCRrhod.HG34.19:NA
HoiH23_PlH23_002323-RA	GPCRrhod.HG59.11:NA
HoiH23_PlH23_002328-RA	GPCRrhod.HG10.11:NA
HoiH23_PlH23_002338-RA	GPCRrhod.HG10.2:NA
HoiH23_PlH23_002344-RA	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
HoiH23_PlH23_002345-RA	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
HoiH23_PlH23_002346-RA	GPCRrhod.HG78.6:NA
HoiH23_PlH23_002664-RA	GPCRrhod.HG41.0:NA
HoiH23_PlH23_002693-RA	GPCRrhod.HG137.0:NA
HoiH23_PlH23_002694-RA	GPCRrhod.HG2.2:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
HoiH23_PlH23_002696-RA	GPCRrhod.HG2.2:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
HoiH23_PlH23_002702-RA	GPCRrhod.HG52.5:NA
HoiH23_PlH23_002703-RA	GPCRrhod.HG52.4:NA
HoiH23_PlH23_002794-RA	GPCRrhod.HG10.88:NA
HoiH23_PlH23_002839-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_002841-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_002884-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_003055-RA	GPCRrhod.HG52.8:NA
HoiH23_PlH23_003056-RA	GPCRrhod.HG52.6:NA
HoiH23_PlH23_003057-RA	GPCRrhod.HG52.7:NA
HoiH23_PlH23_003094-RA	GPCRrhod.HG2.43:like:NPFFR1/NPFFR2
HoiH23_PlH23_003153-RA	GPCRrhod.HG37.16:NA
HoiH23_PlH23_003247-RA	GPCRrhod.HG10.26:NA
HoiH23_PlH23_003405-RA	GPCRrhod.HG6.1:NA
HoiH23_PlH23_003408-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_003409-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_003416-RA	GPCRrhod.HG54.19:NA
HoiH23_PlH23_003452-RA	GPCRrhod.HG41.4:NA
HoiH23_PlH23_003455-RA	GPCRrhod.HG41.6:NA
HoiH23_PlH23_003456-RA	GPCRrhod.HG41.4:NA
HoiH23_PlH23_003529-RA	GPCRrhod.HG78.8:NA
HoiH23_PlH23_003530-RA	GPCRrhod.HG78.7:NA
HoiH23_PlH23_003565-RA	GPCRglut.HG1.30:like:GABBR1/GABBR2
HoiH23_PlH23_003635-RA	GPCRrhod.HG108.2:NA
HoiH23_PlH23_003636-RA	GPCRrhod.HG108.0:NA
HoiH23_PlH23_003664-RA	GPCRrhod.HG52.3:NA
HoiH23_PlH23_003839-RA	GPCRglut.HG1.30:like:GABBR1/GABBR2
HoiH23_PlH23_003840-RA	GPCRglut.HG1.30:like:GABBR1/GABBR2
HoiH23_PlH23_003841-RA	GPCRglut.HG1.30:like:GABBR1/GABBR2
HoiH23_PlH23_003884-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_003885-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_003886-RA	GPCRrhod.HG10.69:NA
HoiH23_PlH23_003945-RA	GPCRrhod.HG34.29:NA
HoiH23_PlH23_003953-RA	GPCRglut.HG1.22:like:GABBR1/GABBR2
HoiH23_PlH23_003976-RA	GPCRglut.HG1.33:like:GABBR1/GABBR2
HoiH23_PlH23_003979-RA	GPCRglut.HG1.39:like:GABBR1/GABBR2
