Hhon_g06121.t1	Ion_trans.HG2.7:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S;PKD_channel.HG2.11:CACNA1C/CACNA1D/CACNA1F/CACNA1S
Hhon_g03844.t1	Ion_trans.HG2.7:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S;PKD_channel.HG2.9:CACNA1A/CACNA1B/CACNA1E
Hhon_g05522.t1	Ion_trans.HG2.7:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S;PKD_channel.HG2.9:CACNA1A/CACNA1B/CACNA1E
Hhon_g01453.t1	Ion_trans.HG2.9:CACNA1G/CACNA1H/CACNA1I;PKD_channel.HG2.5:CACNA1G/CACNA1H/CACNA1I
Hhon_g10169.t1	Ion_trans.HG3.0:like:TRPA1
Hhon_g00366.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01430.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01432.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01623.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01625.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01626.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01627.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01630.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01631.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03476.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03477.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03478.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03479.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03761.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03845.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03846.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03847.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03848.t1	Ion_trans.HG3.1:TRPA1
Hhon_g03849.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05511.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05512.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05514.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05515.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05517.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05518.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05519.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05520.t1	Ion_trans.HG3.1:TRPA1
Hhon_g05521.t1	Ion_trans.HG3.1:TRPA1
Hhon_g07771.t1	Ion_trans.HG3.1:TRPA1
Hhon_g09824.t1	Ion_trans.HG3.1:TRPA1
Hhon_g01622.t1	Ion_trans.HG3.1:TRPA1;PKD_channel.HG1.13:like:TRPC3/TRPC6/TRPC7
Hhon_g01624.t1	Ion_trans.HG3.1:TRPA1;PKD_channel.HG1.13:like:TRPC3/TRPC6/TRPC7
Hhon_g03546.t1	Ion_trans.HG4.0:TRPC1/TRPC3/TRPC4/TRPC5/TRPC6/TRPC7
Hhon_g08481.t1	Ion_trans.HG5.17:like:PKD2/PKD2L1/PKD2L2;PKD_channel.HG1.16:like:PKD1/PKD1L1/PKD1L2/PKD1L3/PKDREJ
Hhon_g09270.t1	Ion_trans.HG5.22:PKD2/PKD2L1/PKD2L2;PKD_channel.HG1.3:PKD2/PKD2L1/PKD2L2
Hhon_g04417.t1	Ion_trans.HG7.0:like:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g09217.t1	Ion_trans.HG7.1:like:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g02682.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g04518.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g04519.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g06057.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g06535.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g06536.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g06878.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g07021.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g07344.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g09551.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g09552.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g09553.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g09554.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g10620.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g10621.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8
Hhon_g06058.t1	Ion_trans.HG7.2:TRPM1/TRPM2/TRPM3/TRPM4/TRPM5/TRPM6/TRPM7/TRPM8;PKD_channel.HG1.4:like:TRPC3/TRPC6/TRPC7
Hhon_g06282.t1	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Hhon_g06286.t1	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Hhon_g07266.t1	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Hhon_g10262.t1	Ion_trans.HG8.4:AL590132.1/KCNH1/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNH8
Hhon_g07798.t1	IRK.HG1.0:KCNJ1/KCNJ2/KCNJ3/KCNJ4/KCNJ5/KCNJ6/KCNJ8/KCNJ9/KCNJ10/KCNJ11/KCNJ12/KCNJ13/KCNJ14/KCNJ15/KCNJ16/KCNJ18
Hhon_g01988.t1	Lig_chan.HG1.1:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Hhon_g04079.t1	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Hhon_g02946.t1	Lig_chan.HG1.5:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Hhon_g02971.t1	Lig_chan.HG1.6:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Hhon_g02972.t1	Lig_chan.HG1.6:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Hhon_g03214.t1	Na_Ca_ex.HG1.0:like:SLC24A1/SLC24A2/SLC24A3/SLC24A4/SLC24A5
Hhon_g03642.t1	Na_Ca_ex.HG1.3:SLC8B1
Hhon_g05894.t1	Na_Ca_ex.HG1.4:SLC24A1/SLC24A2
Hhon_g05896.t1	Na_Ca_ex.HG1.4:SLC24A1/SLC24A2
Hhon_g01461.t1	Na_Ca_ex.HG1.5:like:SLC8B1
Hhon_g06581.t1	Na_Ca_ex.HG1.6:SLC24A3/SLC24A4
Hhon_g05907.t1	Na_Ca_ex.HG2.0:like:SLC8A1/SLC8A2/SLC8A3
Hhon_g07249.t1	Na_Ca_ex.HG2.1:SLC8A1/SLC8A2/SLC8A3
Hhon_g01519.t1	Na_Ca_ex.HG2.2:like:SLC8A1/SLC8A2/SLC8A3
Hhon_g00262.t1	Na_Ca_ex.HG3.0:NA
Hhon_g03619.t1	P2X_receptor.HG1.3:P2RX1/P2RX2/P2RX3/P2RX4/P2RX5/P2RX5-TAX1BP3/P2RX6/P2RX7
Hhon_g05782.t1	P2X_receptor.HG1.3:P2RX1/P2RX2/P2RX3/P2RX4/P2RX5/P2RX5-TAX1BP3/P2RX6/P2RX7
Hhon_g03502.t1	PKD_channel.HG4.1:MCOLN1/MCOLN2/MCOLN3
Hhon_g05654.t1	VGCC_alpha2.HG1.0:CACNA2D3/CACNA2D4
Hhon_g05648.t1	VGCC_alpha2.HG1.1:CACNA2D1/CACNA2D2
