Hsap	Bilateria
Bralan	Bilateria
Spur	Bilateria
Skow	Bilateria
Tcas	Bilateria
Dpul	Bilateria
Cscu	Bilateria
Ctel	Bilateria
Cgig	Bilateria
Acagra	Bilateria
Exapal	Cnidaria
Nvec	Cnidaria
Adig	Cnidaria
Amil	Cnidaria
Gfas	Cnidaria
Fspp	Cnidaria
Gasp	Cnidaria
Spis	Cnidaria
Pocdam	Cnidaria
Dgig	Cnidaria
Xesp	Cnidaria
Hvul	Cnidaria
Chem	Cnidaria
Aaur	Cnidaria
Nemnom	Cnidaria
Rhoesc	Cnidaria
Sanmal	Cnidaria
Morvir	Cnidaria
Tadh	Placozoa
TrH2	Placozoa
HoiH06	Placozoa
Hhon	Placozoa
HoiH04	Placozoa
HoiH11	Placozoa
HoiH23	Placozoa
Mlei	Ctenophora
Pbac	Ctenophora
Horcal	Ctenophora
Bolinf	Ctenophora
Vmul	Ctenophora
Coeast	Ctenophora
Coemet	Ctenophora
Drygla	Ctenophora
Eupdun	Ctenophora
Mertsp	Ctenophora
Lampan	Ctenophora
Beraby	Ctenophora
Aque	Porifera
Emue	Porifera
Tetwil	Porifera
Xestes	Porifera
Halamb	Porifera
Stycar	Porifera
Spolac	Porifera
Plespi	Porifera
Scil	Porifera
Lcom	Porifera
Clacor	Porifera
Gracom	Porifera
Leuniv	Porifera
Ocar	Porifera
Opea	Porifera
Plajan	Porifera
