to	similarity	from	from_sps	to_sps
Spolac|precursor	0.223880597014925	Tadh|fibre	Tadh	Spolac
Spolac|choanoblast	0.104477611940299	Tadh|fibre	Tadh	Spolac
Spolac|choanocyte	0.0895522388059701	Tadh|fibre	Tadh	Spolac
Spolac|apopylar_cell	0.0597014925373134	Tadh|fibre	Tadh	Spolac
Spolac|myopeptidocyte	0.0447761194029851	Tadh|fibre	Tadh	Spolac
Spolac|unknown	0.164179104477612	Tadh|fibre	Tadh	Spolac
Spolac|lophocyte	0.0597014925373134	Tadh|fibre	Tadh	Spolac
Spolac|pinacocyte	0.164179104477612	Tadh|fibre	Tadh	Spolac
Spolac|sclerophorocyte	0.298507462686567	Tadh|fibre	Tadh	Spolac
Spolac|sclerocyte	0.208955223880597	Tadh|fibre	Tadh	Spolac
Spolac|granulocyte	0.149253731343284	Tadh|fibre	Tadh	Spolac
Spolac|metabolocyte	0.0895522388059701	Tadh|fibre	Tadh	Spolac
Spolac|neuroid	0.194029850746269	Tadh|fibre	Tadh	Spolac
Spolac|amoebocyte	0.238805970149254	Tadh|fibre	Tadh	Spolac
Spolac|mesocyte	0	Tadh|fibre	Tadh	Spolac
Nvec|cnidocyte	0.121212121212121	TrH2|fibre	TrH2	Nvec
Nvec|muscle	0.303030303030303	TrH2|fibre	TrH2	Nvec
Nvec|gastrodermis_muscle	0.5	TrH2|fibre	TrH2	Nvec
Nvec|gastrodermis	0.393939393939394	TrH2|fibre	TrH2	Nvec
Nvec|digestive_filaments	0.166666666666667	TrH2|fibre	TrH2	Nvec
Nvec|epidermis	0.0909090909090909	TrH2|fibre	TrH2	Nvec
Nvec|precursors	0.0606060606060606	TrH2|fibre	TrH2	Nvec
Nvec|neuron	0.0909090909090909	TrH2|fibre	TrH2	Nvec
Nvec|gland	0.0757575757575758	TrH2|fibre	TrH2	Nvec
Hvul|cnidocyte	0.152173913043478	TrH2|fibre	TrH2	Hvul
Hvul|gastrodermis	0.543478260869565	TrH2|fibre	TrH2	Hvul
Hvul|epidermis	0.478260869565217	TrH2|fibre	TrH2	Hvul
Hvul|germline	0.130434782608696	TrH2|fibre	TrH2	Hvul
Hvul|precursors	0	TrH2|fibre	TrH2	Hvul
Hvul|neuron	0.173913043478261	TrH2|fibre	TrH2	Hvul
Hvul|gland	0.0217391304347826	TrH2|fibre	TrH2	Hvul
Spis|cnidocyte	0.181818181818182	TrH2|fibre	TrH2	Spis
Spis|gastrodermis	0.242424242424242	TrH2|fibre	TrH2	Spis
Spis|alga-hosting_cells	0.303030303030303	TrH2|fibre	TrH2	Spis
Spis|mitotic_host_cells	0.0303030303030303	TrH2|fibre	TrH2	Spis
Spis|germline	0.121212121212121	TrH2|fibre	TrH2	Spis
Spis|digestive	0.0454545454545455	TrH2|fibre	TrH2	Spis
Spis|epidermis	0.0606060606060606	TrH2|fibre	TrH2	Spis
Spis|calicoblast	0.166666666666667	TrH2|fibre	TrH2	Spis
Spis|neuron	0.0454545454545455	TrH2|fibre	TrH2	Spis
