4	5	6	18	8	11	12	19	1	2	3	9	16	14	17	22	21	7	10	20	15	13
Tadh_TriadG51255	0	1	3	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	2
Tadh_TriadG51256	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG51257	1	1	2	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1
Tadh_TriadG51262	3	2	3	0	0	0	0	0	0	0	1	1	0	0	0	2	1	1	0	1	0	0
Tadh_TriadG18273	0	0	2	2	2	0	0	1	0	0	0	0	0	1	1	1	1	0	2	6	0	1
Tadh_TriadG18815	0	0	12	2	4	0	2	2	2	1	1	1	0	0	5	1	2	4	0	3	0	2
Tadh_orphan_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG49541	0	1	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Tadh_TriadG51271	1	0	2	1	1	2	0	1	0	1	0	2	1	0	2	2	1	1	1	0	2	2
Tadh_orphan_3	2	0	3	3	5	9	3	6	3	7	4	5	6	0	2	3	4	4	5	2	1	6
Tadh_orphan_4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Tadh_TriadG18708	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG18392	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_hyp_clust10146	468	399	452	644	254	461	254	432	226	251	134	484	381	614	299	374	238	595	473	336	397	16095
Tadh_hyp_clust4566	543	224	230	235	73	356	146	121	178	82	100	162	249	54	102	176	105	83	200	67	141	625
Tadh_TriadG52113	0	0	10	14	3	13	6	5	13	2	3	8	10	0	5	7	1	6	6	1	6	6
Tadh_wf_g864	3	4	7	2	7	5	0	10	23	9	13	8	6	4	6	11	3	1	6	0	2	5
Tadh_orphan_5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Tadh_orphan_6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG52118	0	0	1	0	13	2	0	2	2	0	3	52	9	42	0	0	0	2	1	2	1	5738
Tadh_TriadG18200	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	5	1	0	2
Tadh_orphan_7	1	1	20	6	5	1	2	11	1	4	1	2	6	2	0	10	5	0	1	1	2	13
Tadh_TriadG5531	4	6	21	7	10	15	4	11	10	6	7	9	5	2	7	17	10	4	14	4	11	21
Tadh_TriadG52122	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0
Tadh_TriadG19436	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	0	0
Tadh_TriadG52127	8	7	4	5	3	3	1	5	1	5	0	7	8	2	0	7	2	2	2	0	9	3
Tadh_TriadG18249	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Tadh_TriadG52131	4	7	12	9	3	5	5	5	7	4	4	7	11	1	13	5	6	3	5	10	7	7
Tadh_TriadG19174	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	1	2
Tadh_TriadG52134	0	6	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0
Tadh_orphan_9	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_TriadG20152	3	4	6	5	2	2	0	8	4	2	2	4	3	3	3	6	7	1	7	4	1	1
Tadh_TriadG36979	8	5	8	6	3	5	6	4	4	4	0	7	4	6	3	7	2	3	8	3	8	4
Tadh_TriadG52139	1	1	2	3	2	2	0	2	1	4	0	5	1	2	0	5	3	3	4	0	1	3
Tadh_TriadG49708	3	2	4	1	0	1	0	0	0	1	0	4	0	0	1	1	4	0	4	5	1	0
Tadh_TriadG52144	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0
Tadh_TriadG63517	24	4	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
