peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000048	18	28	40	14	19	10	39	27	42	36	50	8	13
HoiH23_PlH23_000050	3	7	13	13	9	11	27	17	38	10	26	7	7
HoiH23_PlH23_000052	2	6	10	3	7	2	15	16	10	2	9	4	7
HoiH23_PlH23_000054	5	13	28	18	15	6	25	23	21	14	23	7	16
HoiH23_PlH23_000055	49	84	151	66	86	69	252	138	173	138	121	63	72
HoiH23_PlH23_000057	12	26	70	36	14	20	50	38	57	48	39	14	25
HoiH23_PlH23_000059	9	18	29	11	13	14	41	30	31	11	36	17	13
HoiH23_PlH23_000061	6	5	17	2	8	6	8	6	8	11	14	3	1
HoiH23_orphan_22	0	0	0	0	0	5	0	1	3	0	1	1	0
HoiH23_PlH23_000064	4	0	6	2	1	1	4	3	7	3	9	5	1
HoiH23_orphan_23	0	0	2	0	1	0	0	0	1	2	2	0	1
HoiH23_orphan_24	3	10	10	7	17	7	13	5	14	13	9	9	2
HoiH23_PlH23_000068	3	8	19	4	11	7	13	11	26	4	29	5	12
HoiH23_orphan_25	0	0	0	3	0	1	5	0	1	2	3	0	0
HoiH23_PlH23_000069	0	0	2	1	1	0	2	0	0	1	4	0	1
HoiH23_orphan_26	0	0	1	0	15	0	1	2	1	0	1	0	0
HoiH23_PlH23_000071	8	6	15	4	8	5	13	11	13	6	16	5	5
HoiH23_PlH23_000073	7	10	29	9	14	7	20	19	22	15	18	11	6
HoiH23_PlH23_000075	3	4	6	2	3	1	15	6	12	6	11	4	4
HoiH23_PlH23_000077	2	7	14	5	3	5	8	13	7	7	7	2	2
HoiH23_PlH23_000078	1	0	4	0	1	0	0	1	0	0	0	0	1
HoiH23_orphan_27	0	0	0	0	0	0	0	1	0	0	0	1	0
HoiH23_PlH23_000080	1	1	0	0	0	0	1	4	0	0	1	0	1
HoiH23_PlH23_000082	8	22	32	13	19	4	50	21	27	26	38	10	23
HoiH23_PlH23_000084	74	164	319	180	663	199	554	391	602	378	360	153	133
HoiH23_PlH23_000087	0	1	0	3	3	0	1	0	3	1	0	2	0
HoiH23_PlH23_000089	1	4	3	4	8	1	9	7	10	9	9	3	0
HoiH23_PlH23_000091	11	24	9	0	1	2	1	1	0	6	4	0	1
HoiH23_PlH23_000092	4	6	19	5	7	3	8	9	10	1	12	1	3
HoiH23_orphan_28	5	1	11	3	9	7	7	10	14	1	9	1	5
HoiH23_PlH23_000095	0	2	6	2	2	0	4	4	3	2	27	5	2
HoiH23_orphan_29	0	0	1	0	1	1	1	0	0	0	1	0	1
HoiH23_PlH23_000097	1	10	5	7	2	5	10	16	15	12	20	8	8
