peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_005809	1	1	10	6	11	8	20	10	17	11	10	6	3
HoiH23_PlH23_005812	3	3	9	6	15	13	19	10	33	33	8	3	3
HoiH23_PlH23_005815	0	3	7	0	2	2	1	4	6	5	6	3	0
HoiH23_PlH23_005817	9	14	27	4	17	16	33	23	46	23	15	5	6
HoiH23_PlH23_005819	0	1	2	2	1	2	10	5	2	2	3	3	0
HoiH23_PlH23_005822	0	0	96	120	6	9	98	75	148	38	44	0	36
HoiH23_PlH23_005823	1	0	10	14	3	6	12	6	2	1	1	3	2
HoiH23_PlH23_005824	0	0	4	3	2	0	6	0	2	1	0	2	1
HoiH23_PlH23_005708	0	0	0	0	0	0	2	0	0	1	3	0	0
HoiH23_PlH23_005710	2	6	4	6	7	9	5	12	4	3	5	1	0
HoiH23_PlH23_005712	1	0	12	3	2	0	13	6	8	4	18	7	1
HoiH23_PlH23_005713	0	0	5	2	0	0	4	3	2	0	2	1	3
HoiH23_PlH23_005715	1	0	1	0	1	2	7	5	1	2	2	3	3
HoiH23_orphan_894	0	1	1	0	0	0	1	0	1	1	0	0	0
HoiH23_PlH23_005718	1	0	6	1	1	1	8	3	4	0	3	0	0
HoiH23_PlH23_005720	1	0	1	0	3	1	2	1	1	2	3	3	0
HoiH23_PlH23_005721	0	1	4	1	0	1	5	5	0	1	4	3	0
HoiH23_PlH23_005723	0	2	1	0	1	0	3	0	0	0	3	0	1
HoiH23_PlH23_005725	2	5	3	7	3	2	11	7	5	1	7	1	3
HoiH23_PlH23_005727	0	0	4	4	1	0	5	1	4	2	9	0	3
HoiH23_PlH23_005729	16	45	63	12	50	24	82	45	68	56	62	27	20
HoiH23_PlH23_005731	0	1	3	0	1	0	0	0	1	1	0	1	0
HoiH23_PlH23_005732	0	3	6	1	5	2	4	3	3	1	2	0	3
HoiH23_PlH23_005733	0	0	1	0	2	0	1	3	3	1	4	1	0
HoiH23_orphan_895	0	0	1	0	0	0	1	0	1	0	0	0	0
HoiH23_PlH23_005735	1	2	2	1	1	0	3	2	2	1	4	0	1
HoiH23_PlH23_005737	8	2	11	10	23	5	33	26	23	13	11	6	5
HoiH23_PlH23_005709	2	7	6	1	2	3	8	3	3	3	6	0	1
HoiH23_PlH23_005711	1	1	2	3	4	0	2	1	0	0	1	0	1
HoiH23_PlH23_005714	0	0	0	0	1	0	0	2	2	0	0	0	0
HoiH23_PlH23_005716	3	4	16	13	15	6	62	29	66	47	26	17	8
HoiH23_PlH23_005717	42	85	117	52	72	43	141	108	133	100	165	70	88
HoiH23_PlH23_005719	0	1	3	0	2	0	1	3	1	2	4	0	1
HoiH23_PlH23_005722	0	0	0	0	1	0	0	0	0	1	0	0	0
HoiH23_orphan_896	0	0	0	0	1	1	1	0	0	0	2	0	0
HoiH23_PlH23_005724	0	0	0	0	1	0	0	0	1	0	1	0	0
HoiH23_PlH23_005726	0	1	0	2	0	1	1	0	3	0	0	0	0
HoiH23_PlH23_005728	1	5	8	2	9	4	20	9	8	5	7	3	2
HoiH23_PlH23_005730	0	1	1	0	3	0	1	0	8	2	1	0	0
HoiH23_PlH23_005734	1	2	4	0	2	2	8	1	6	2	6	5	1
HoiH23_PlH23_005736	0	0	3	4	1	1	3	3	3	3	6	0	0
HoiH23_PlH23_005738	0	4	1	2	2	1	1	3	2	1	3	2	1
HoiH23_PlH23_001055	4	11	18	3	11	6	36	29	121	62	25	5	15
HoiH23_PlH23_001056	71	123	270	109	47	37	351	150	205	139	194	42	74
HoiH23_PlH23_001058	1	1	7	0	7	3	22	12	18	19	25	12	13
HoiH23_orphan_899	1	1	2	1	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_001060	2	0	6	0	3	0	2	1	0	1	0	1	0
HoiH23_PlH23_001062	0	0	1	1	0	1	6	0	1	1	2	0	4
HoiH23_orphan_900	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_001066	3	10	10	2	1	3	13	7	13	2	10	2	1
HoiH23_PlH23_001069	0	0	4	1	2	1	1	2	0	1	4	2	2
HoiH23_PlH23_001070	5	7	15	7	16	1	6	4	6	3	8	0	0
HoiH23_orphan_902	0	0	0	2	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_001073	0	0	1	0	1	0	4	1	2	0	0	4	1
HoiH23_PlH23_001076	0	5	8	0	3	0	7	6	6	1	1	1	2
HoiH23_PlH23_001079	3	1	1	0	1	2	2	2	0	0	3	0	1
HoiH23_PlH23_001081	3	4	14	12	98	17	43	34	33	13	17	12	4
HoiH23_PlH23_001083	2	3	6	3	4	1	3	3	12	4	2	1	2
HoiH23_PlH23_001085	0	0	0	0	2	0	2	0	4	1	0	1	0
HoiH23_PlH23_001087	11	13	41	0	12	8	9	18	28	46	115	7	13
HoiH23_PlH23_001089	0	0	2	0	0	0	1	1	4	0	3	1	1
HoiH23_PlH23_001091	0	0	0	0	0	0	3	0	0	1	36	0	0
HoiH23_PlH23_001092	0	0	0	0	3	195	0	0	19	51	314	81	32
HoiH23_orphan_906	0	0	0	0	0	0	1	0	1	1	1	0	0
HoiH23_PlH23_001099	1	2	0	1	0	1	6	5	5	2	5	0	1
HoiH23_PlH23_001103	10	10	32	11	40	16	45	22	34	14	34	7	9
HoiH23_PlH23_001104	0	0	0	0	0	0	3	2	0	0	0	0	0
HoiH23_PlH23_001106	0	0	1	0	0	0	0	1	0	1	0	0	0
HoiH23_orphan_907	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_001108	0	0	4	1	2	3	8	4	3	2	2	1	3
HoiH23_PlH23_001110	0	0	5	1	1	0	1	6	2	1	1	0	0
HoiH23_orphan_908	0	0	0	1	0	0	1	0	1	1	0	0	0
HoiH23_PlH23_001112	1	6	8	2	4	2	14	7	3	3	7	1	6
HoiH23_PlH23_001114	0	1	0	0	0	0	0	0	1	1	1	0	0
HoiH23_orphan_909	0	0	0	0	0	0	0	1	2	0	1	0	0
HoiH23_PlH23_001117	0	6	13	3	1	1	14	6	8	4	9	8	4
HoiH23_PlH23_001053	0	0	3	0	0	0	0	0	0	0	0	1	0
HoiH23_orphan_911	0	1	2	0	0	0	1	0	1	0	1	0	1
HoiH23_PlH23_001054	0	3	7	1	0	3	6	0	5	2	8	1	0
HoiH23_PlH23_001057	0	3	5	0	5	0	7	2	6	2	4	4	1
HoiH23_PlH23_001059	12	18	40	9	3	3	15	6	15	4	35	39	6
HoiH23_PlH23_001061	1	0	2	0	0	0	2	0	4	1	2	0	1
HoiH23_PlH23_001063	0	0	0	0	0	1	1	0	2	0	0	0	4
HoiH23_PlH23_001064	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_001065	1	3	7	8	3	2	11	4	12	3	11	1	3
HoiH23_PlH23_001067	2	6	6	2	8	7	13	11	11	7	4	2	6
HoiH23_PlH23_001068	0	0	0	0	1	2	0	6	1	1	0	2	0
HoiH23_PlH23_001071	0	4	9	5	8	1	16	6	7	1	10	5	7
HoiH23_PlH23_001072	42	69	244	68	130	37	271	117	168	75	152	95	69
HoiH23_PlH23_001075	6	8	12	1	18	5	26	10	32	12	24	5	3
HoiH23_PlH23_001077	0	3	3	2	1	4	6	1	5	5	4	1	4
HoiH23_PlH23_001078	0	0	0	0	0	0	0	0	3	0	0	0	0
HoiH23_PlH23_001080	0	0	2	1	0	0	1	0	0	2	1	0	0
HoiH23_orphan_912	0	0	0	0	0	0	0	1	2	0	0	0	0
HoiH23_PlH23_001082	12	12	43	23	53	32	107	41	66	34	62	26	14
HoiH23_PlH23_001084	0	0	0	1	0	0	5	1	3	1	0	2	0
HoiH23_PlH23_001086	3	2	22	11	17	12	14	14	10	9	10	4	13
HoiH23_orphan_914	0	0	0	0	0	0	0	0	3	1	1	0	0
HoiH23_PlH23_001088	6	34	20	15	25	12	49	38	24	9	39	17	7
HoiH23_PlH23_001090	0	3	11	0	3	0	11	4	4	2	13	2	1
HoiH23_orphan_916	0	0	0	0	0	5	0	0	0	1	2	0	0
HoiH23_PlH23_001093	0	0	0	0	1	1	1	0	1	1	1	0	1
HoiH23_PlH23_001094	8	20	16	4	22	8	29	12	15	16	18	7	8
HoiH23_PlH23_001095	3	3	6	3	5	5	6	6	179	141	5	1	1
HoiH23_PlH23_001096	0	1	0	0	0	0	0	0	1	1	0	0	0
HoiH23_PlH23_001097	0	0	0	1	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_001098	2	36	19	8	23	9	52	43	51	21	46	42	52
HoiH23_PlH23_001101	6	2	2	2	5	5	9	3	8	0	4	5	1
HoiH23_PlH23_001102	0	5	7	1	7	1	3	2	8	2	6	1	0
HoiH23_PlH23_001105	0	0	1	0	2	0	0	0	0	0	1	1	0
HoiH23_PlH23_001107	4	6	7	3	9	9	10	12	10	14	13	4	7
HoiH23_orphan_917	0	0	0	2	0	1	0	1	1	3	0	1	1
HoiH23_PlH23_001111	11	6	8	5	7	3	6	4	10	5	7	2	1
HoiH23_PlH23_001113	70	419	369	145	405	579	24	10	121	49	430	18	62
HoiH23_orphan_918	2	6	15	3	10	19	0	0	2	0	16	0	1
HoiH23_PlH23_001115	17	25	52	16	52	21	98	76	76	41	57	31	20
HoiH23_PlH23_001116	67	120	264	92	181	99	332	120	263	152	295	114	61
HoiH23_orphan_919	1	1	1	0	2	2	3	1	3	2	4	1	1
HoiH23_PlH23_001118	2	11	15	2	3	2	15	5	11	0	1	4	1
HoiH23_orphan_920	0	1	0	0	1	2	3	2	6	0	1	0	3
HoiH23_PlH23_004691	2	4	4	8	5	2	13	12	12	3	10	1	3
HoiH23_PlH23_004693	83	163	368	137	612	244	804	490	611	392	420	234	125
HoiH23_orphan_921	0	0	0	0	0	1	2	1	0	1	2	0	1
HoiH23_PlH23_004695	6	5	11	4	5	4	11	2	5	4	8	2	9
HoiH23_PlH23_004696	5	16	8	1	37	20	41	25	79	46	16	19	10
HoiH23_PlH23_004697	3	7	11	6	8	2	16	5	11	4	9	10	3
HoiH23_PlH23_004701	1	4	3	1	2	2	11	3	7	4	10	5	5
HoiH23_PlH23_004702	2	5	3	0	1	0	2	4	6	0	2	0	2
HoiH23_PlH23_004704	8	13	16	2	6	11	30	10	26	15	19	2	7
HoiH23_PlH23_004707	2	2	9	3	4	5	9	8	13	9	4	0	0
HoiH23_PlH23_004710	0	0	3	1	3	0	1	1	1	0	4	0	0
HoiH23_PlH23_004712	2	2	9	4	1	0	17	5	3	0	9	5	2
HoiH23_PlH23_004690	0	2	13	7	8	1	26	8	12	2	4	5	2
HoiH23_PlH23_004692	0	0	1	1	0	0	0	2	2	1	1	2	0
HoiH23_PlH23_004694	0	0	3	3	2	1	10	2	10	3	5	3	3
HoiH23_orphan_922	1	0	0	0	0	0	0	0	1	0	1	0	0
HoiH23_PlH23_004698	13	21	42	11	30	14	45	15	33	19	28	14	15
HoiH23_PlH23_004699	12	19	21	10	23	10	34	22	41	19	36	13	19
HoiH23_PlH23_004700	3	9	6	7	8	10	21	27	19	6	27	5	14
HoiH23_PlH23_004703	2	7	7	1	10	7	11	8	5	9	10	3	8
HoiH23_PlH23_004705	4	3	11	6	6	6	10	7	10	5	7	7	5
HoiH23_PlH23_004706	0	5	11	1	1	0	5	5	11	6	5	6	0
HoiH23_PlH23_004708	1	2	6	5	1	1	7	2	11	4	10	5	2
HoiH23_PlH23_004709	4	4	5	2	3	4	5	8	4	3	6	7	1
HoiH23_PlH23_004711	0	0	1	2	0	0	0	0	0	0	5	0	0
HoiH23_PlH23_004713	3	6	10	3	5	2	5	7	9	2	12	2	2
HoiH23_orphan_923	0	0	1	0	5	1	5	1	1	0	1	1	0
HoiH23_PlH23_007110	0	0	2	0	5	1	6	1	2	0	5	2	0
HoiH23_orphan_924	0	0	0	0	0	2	1	0	2	0	0	0	1
HoiH23_PlH23_007114	0	0	0	0	0	0	0	1	1	2	0	0	1
HoiH23_PlH23_007116	1	2	5	0	0	0	0	0	0	0	1	1	0
HoiH23_orphan_925	1	0	2	0	1	4	0	0	1	0	6	0	0
HoiH23_PlH23_007122	0	0	1	0	1	1	2	0	2	2	0	0	2
HoiH23_PlH23_007123	3	1	11	0	8	6	13	7	15	4	25	6	2
HoiH23_PlH23_007124	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_007125	0	0	0	0	0	0	1	0	1	0	0	0	2
HoiH23_PlH23_007111	5	7	22	6	8	2	18	9	10	10	12	5	5
HoiH23_PlH23_007112	1	2	4	5	14	5	9	19	51	18	3	3	10
HoiH23_orphan_926	0	0	0	0	0	0	0	0	2	0	1	0	0
HoiH23_PlH23_007113	0	1	13	2	6	12	2	35	17	0	0	0	15
HoiH23_orphan_927	0	0	3	0	0	3	0	5	0	0	0	0	3
HoiH23_PlH23_007115	0	0	3	0	1	0	0	0	1	0	0	0	0
HoiH23_PlH23_007117	0	2	18	7	7	3	30	4	7	3	12	6	1
HoiH23_PlH23_007118	4	11	20	5	11	4	13	14	26	14	7	2	6
HoiH23_PlH23_007119	2	10	29	16	14	2	41	12	15	5	9	2	10
HoiH23_PlH23_007120	0	0	1	2	0	0	0	1	0	0	1	0	0
HoiH23_PlH23_007121	0	0	4	1	3	3	14	5	3	1	5	5	1
HoiH23_orphan_928	0	0	2	0	0	0	1	0	0	0	2	0	3
HoiH23_PlH23_006985	8	14	2	0	0	0	2	1	31	38	23	4	0
HoiH23_PlH23_006988	0	1	2	1	5	2	2	0	2	1	5	1	2
HoiH23_PlH23_006990	2	2	53	1	3	2	16	3	5	8	6	2	0
HoiH23_PlH23_006993	0	0	0	0	2	0	2	0	0	0	0	0	0
HoiH23_PlH23_006995	0	0	3	4	0	0	2	2	1	1	4	0	0
HoiH23_PlH23_006996	0	1	1	0	0	0	0	0	0	1	1	0	0
HoiH23_PlH23_006998	0	1	6	3	2	1	8	3	2	1	7	0	1
HoiH23_PlH23_007001	0	1	11	7	6	0	21	16	6	2	9	4	8
HoiH23_PlH23_007002	0	2	2	3	4	1	6	3	5	4	6	2	2
HoiH23_PlH23_007003	80	209	497	381	444	122	724	412	714	637	506	283	175
HoiH23_PlH23_007005	2	2	5	2	2	1	2	9	4	3	5	3	3
HoiH23_PlH23_007007	2	1	5	0	0	0	7	3	10	0	1	1	1
HoiH23_PlH23_006986	10	8	26	7	18	8	36	23	51	23	9	10	7
HoiH23_PlH23_006987	0	1	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006989	0	3	16	2	8	2	8	3	3	4	6	1	2
HoiH23_PlH23_006991	3	2	320	40	62	7	198	48	58	26	32	5	39
HoiH23_PlH23_006992	1	0	8	4	2	0	4	3	4	1	2	0	0
HoiH23_PlH23_006994	4	7	21	4	4	2	18	21	17	10	21	9	6
HoiH23_orphan_931	0	0	0	1	0	0	0	0	3	5	0	0	0
HoiH23_orphan_932	0	0	10	25	0	1	1	2	0	0	0	0	0
HoiH23_PlH23_006997	0	2	9	3	0	0	3	2	3	2	3	2	0
HoiH23_PlH23_006999	0	0	0	0	0	0	17	0	0	0	0	0	0
HoiH23_PlH23_007000	18	35	73	17	36	14	89	35	52	42	82	19	24
HoiH23_PlH23_007004	0	0	1	1	0	0	0	1	1	0	4	0	1
HoiH23_PlH23_007006	6	17	37	10	20	9	57	29	26	26	28	15	11
HoiH23_PlH23_007008	2	13	22	8	19	7	50	25	24	16	31	9	11
HoiH23_orphan_933	0	0	0	0	0	0	0	0	0	12	12	4	3
HoiH23_PlH23_009207	0	0	4	0	6	1	6	3	2	1	2	2	1
HoiH23_PlH23_009208	1	1	8	1	1	1	7	1	2	3	3	3	1
HoiH23_PlH23_009210	53	91	77	4	0	0	0	0	2	0	5	0	0
HoiH23_PlH23_009211	1	0	1	2	2	1	2	1	5	2	0	0	0
HoiH23_PlH23_009213	2	0	1	1	0	0	1	0	3	7	2	0	0
HoiH23_PlH23_009215	0	0	0	0	7	0	0	0	1	0	0	0	0
HoiH23_orphan_934	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_009216	0	0	1	0	0	1	1	1	12	1	2	2	4
HoiH23_orphan_935	0	0	1	0	0	0	0	1	5	1	0	0	0
HoiH23_PlH23_009217	1	6	4	0	6	8	21	11	18	13	25	17	8
HoiH23_PlH23_009218	1	1	3	0	1	1	6	2	3	1	4	2	2
HoiH23_PlH23_009219	7	12	26	8	13	3	19	18	24	12	37	5	11
HoiH23_PlH23_009202	0	0	3	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_009203	0	0	17	2	0	0	13	0	0	0	1	2	1
HoiH23_orphan_936	0	0	29	3	0	0	11	0	0	0	0	8	0
HoiH23_PlH23_009204	0	0	0	0	8	2	0	0	4	13	55	16	11
HoiH23_orphan_937	0	0	0	0	1	0	0	0	1	1	5	3	4
HoiH23_PlH23_009205	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_009206	0	0	1	0	0	0	1	0	0	0	2	0	0
HoiH23_PlH23_009212	6	11	4	12	14	5	5	12	15	11	20	3	2
HoiH23_PlH23_009214	0	0	0	0	0	0	0	0	19	0	0	0	8
HoiH23_PlH23_006023	4	0	7	5	0	1	7	4	7	2	8	3	4
HoiH23_PlH23_006026	0	0	0	0	0	0	0	0	4	1	1	0	0
HoiH23_PlH23_006027	0	0	5	2	2	1	9	5	21	3	8	5	6
HoiH23_PlH23_006028	2	0	6	0	8	4	19	4	8	12	0	3	2
HoiH23_PlH23_006029	1	2	1	0	0	4	3	4	0	3	0	1	1
HoiH23_PlH23_006030	1	1	0	0	4	0	4	2	1	0	0	2	0
HoiH23_PlH23_006032	0	1	5	1	5	2	6	4	7	2	1	5	0
HoiH23_PlH23_006034	9	16	43	12	33	14	40	23	36	27	45	17	8
HoiH23_PlH23_006037	82	103	61	1	43	39	40	60	60	64	62	21	38
HoiH23_PlH23_006040	33	36	76	53	6	3	7	2	24	17	2	0	5
HoiH23_orphan_939	0	0	0	0	0	0	1	0	2	0	0	0	0
HoiH23_PlH23_006042	0	0	1	0	2	1	3	10	6	3	0	0	2
HoiH23_PlH23_006021	2	2	2	0	2	1	4	6	3	1	2	2	2
HoiH23_PlH23_006022	3	2	8	5	1	3	7	6	10	2	5	2	4
HoiH23_PlH23_006025	0	1	0	1	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006031	0	5	2	3	5	0	5	5	6	0	11	2	3
HoiH23_PlH23_006033	0	2	4	3	5	1	6	5	7	3	2	2	2
HoiH23_PlH23_006035	0	1	1	0	1	0	0	0	0	0	3	0	0
HoiH23_PlH23_006038	3	3	8	4	1	2	6	3	14	6	4	1	0
HoiH23_PlH23_006039	8	17	30	6	11	2	17	7	10	6	9	2	2
HoiH23_PlH23_006041	0	0	6	0	3	0	1	0	0	1	3	1	0
HoiH23_PlH23_007737	0	0	2	0	3	0	12	1	4	0	0	0	0
HoiH23_PlH23_007739	2	2	8	1	3	2	9	4	2	3	3	2	4
HoiH23_PlH23_007740	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_007741	0	0	2	1	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007742	1	0	0	5	3	0	5	2	6	3	9	2	0
HoiH23_PlH23_007744	4	2	15	4	2	3	16	4	14	3	10	4	5
HoiH23_orphan_940	1	1	0	0	0	0	1	0	0	0	0	2	0
HoiH23_PlH23_007747	2	2	20	5	9	4	31	14	5	6	13	7	9
HoiH23_PlH23_007749	0	0	1	0	1	1	0	0	2	2	2	0	0
HoiH23_PlH23_007750	0	0	2	0	1	0	0	1	1	0	0	0	0
HoiH23_PlH23_007735	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_007736	1	0	0	1	1	0	8	2	2	0	0	1	1
HoiH23_PlH23_007738	0	2	0	0	3	1	6	0	4	1	6	0	0
HoiH23_PlH23_007743	1	1	2	0	3	1	7	3	2	1	6	1	3
HoiH23_PlH23_007745	0	0	5	0	1	3	5	0	0	0	1	0	1
HoiH23_PlH23_007746	1	0	20	5	0	0	23	0	12	6	68	31	18
HoiH23_orphan_942	1	0	6	0	0	0	6	0	2	0	11	8	1
HoiH23_PlH23_007748	2	2	3	1	8	7	9	4	14	5	6	4	7
HoiH23_PlH23_008222	1	2	6	2	3	2	8	2	0	0	6	3	1
HoiH23_PlH23_008223	2	3	6	3	5	0	6	7	5	4	8	1	1
HoiH23_PlH23_008225	11	3	14	1	2	0	9	8	22	6	15	2	2
HoiH23_PlH23_008226	0	1	0	0	0	0	1	1	0	0	0	0	0
HoiH23_PlH23_008228	0	1	2	1	4	1	4	2	4	4	4	1	0
HoiH23_PlH23_008231	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_008241	4	0	1	0	0	0	4	0	0	1	0	0	0
HoiH23_orphan_944	0	0	0	0	0	0	3	0	0	0	1	3	0
HoiH23_PlH23_008224	3	3	11	7	3	2	24	11	4	4	3	3	3
HoiH23_PlH23_008227	0	1	11	3	8	2	5	3	5	4	2	1	2
HoiH23_PlH23_008229	1	1	3	0	2	1	5	4	2	2	5	4	1
HoiH23_PlH23_008232	9	15	26	14	16	4	19	24	21	15	19	12	4
HoiH23_PlH23_008233	0	1	1	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_008235	0	0	1	0	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_008236	0	0	3	0	0	0	9	0	1	0	0	3	0
HoiH23_PlH23_008238	0	0	4	0	1	1	8	3	2	1	1	5	0
HoiH23_PlH23_008242	0	2	8	0	0	0	6	0	4	1	1	4	2
HoiH23_PlH23_008244	3	7	5	0	2	0	9	0	0	1	1	1	2
HoiH23_PlH23_008245	0	1	7	0	1	0	5	0	8	4	6	5	0
HoiH23_PlH23_008246	0	5	2	0	1	0	5	1	1	0	0	0	0
HoiH23_PlH23_008247	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_008248	0	2	7	0	1	0	4	1	4	4	2	5	1
HoiH23_PlH23_008511	0	0	8	2	1	0	18	2	15	3	47	3	0
HoiH23_PlH23_008514	3	4	6	9	3	2	8	7	5	3	4	5	1
HoiH23_orphan_945	1	2	3	0	0	0	0	0	0	8	1	1	2
HoiH23_PlH23_008516	18	33	24	3	1	0	9	9	14	14	37	20	8
HoiH23_PlH23_008517	0	0	1	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_008518	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_orphan_946	0	1	0	0	1	0	0	0	1	0	0	0	0
HoiH23_PlH23_008526	6	13	40	26	2	3	12	18	21	8	6	0	0
HoiH23_PlH23_008527	0	0	0	0	1	0	0	0	0	0	1	0	0
HoiH23_PlH23_008528	0	0	1	0	0	0	1	0	2	0	0	0	0
HoiH23_PlH23_008529	0	0	0	0	0	2	0	0	5	2	0	0	0
HoiH23_PlH23_008530	0	0	1	1	1	10	6	0	75	10	2	0	0
HoiH23_orphan_947	2	6	8	0	10	2	14	16	28	5	6	7	4
HoiH23_PlH23_008532	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_008533	1	0	0	0	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_008534	70	119	120	21	89	57	172	110	180	86	197	69	93
HoiH23_PlH23_008535	1	0	0	1	1	3	1	0	2	4	3	0	1
HoiH23_PlH23_008512	1	0	4	1	0	0	5	2	6	4	5	1	1
HoiH23_PlH23_008513	0	3	3	0	5	0	4	3	3	0	2	1	2
HoiH23_PlH23_008515	15	7	24	6	22	6	32	7	30	26	22	11	9
HoiH23_orphan_948	0	0	1	0	0	0	0	0	2	5	6	9	8
HoiH23_PlH23_008519	0	1	1	0	3	0	1	2	1	0	3	0	0
HoiH23_PlH23_008520	0	0	2	0	4	1	13	13	12	39	47	0	2
HoiH23_PlH23_008521	0	0	1	1	1	0	0	0	1	0	8	3	0
HoiH23_PlH23_008522	1	2	3	1	1	0	2	5	14	7	1	0	0
HoiH23_PlH23_008523	16	65	94	67	4	12	45	12	71	75	70	17	15
HoiH23_PlH23_008524	6	15	23	13	22	11	36	39	70	43	17	2	6
HoiH23_PlH23_008525	17	27	98	97	15	1	5	6	0	13	23	6	1
HoiH23_PlH23_008531	2	7	17	1	7	3	21	11	14	6	78	4	7
HoiH23_orphan_949	0	0	0	0	0	0	3	0	0	0	0	0	0
HoiH23_orphan_950	0	0	1	0	0	0	1	0	0	0	1	0	0
HoiH23_PlH23_007674	1	0	4	0	0	0	0	2	3	1	2	0	1
HoiH23_PlH23_007677	0	12	8	2	2	6	11	8	7	4	11	2	11
HoiH23_PlH23_007679	3	11	7	6	3	2	18	14	8	9	4	2	10
HoiH23_PlH23_007680	0	0	2	0	2	0	0	0	0	0	0	0	0
HoiH23_PlH23_007681	0	0	1	0	0	0	2	2	0	0	1	1	0
HoiH23_orphan_952	1	3	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007682	0	3	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007683	0	0	0	0	0	0	2	0	0	0	0	0	0
HoiH23_PlH23_007684	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_007669	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_007670	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007671	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_007675	0	2	1	2	1	0	4	5	1	1	3	1	0
HoiH23_PlH23_007678	0	0	0	0	1	1	3	5	1	0	0	1	0
HoiH23_orphan_955	2	13	47	0	1	0	76	1	7	12	18	67	1
HoiH23_PlH23_007955	0	0	12	0	0	0	2	0	0	0	0	0	7
HoiH23_PlH23_007957	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_007959	5	0	44	16	0	0	0	2	0	0	1	0	0
HoiH23_PlH23_007960	6	2	119	19	0	0	3	6	0	0	3	0	0
HoiH23_PlH23_007961	17	10	56	0	82	13	0	1	2	0	1	0	5
HoiH23_PlH23_007962	0	0	2	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007963	13	33	200	1	0	0	5	14	1	0	7	0	0
HoiH23_PlH23_007964	1	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007965	1	2	16	4	0	0	8	0	0	0	3	0	1
HoiH23_PlH23_007966	10	26	27	0	0	0	0	0	2	0	0	0	0
HoiH23_PlH23_007967	229	448	136	2	0	0	7	0	4	0	11	0	0
HoiH23_PlH23_007968	1	1	5	0	15	0	0	0	1	0	0	0	0
HoiH23_PlH23_007970	0	0	2	0	1	0	1	0	4	3	1	1	0
HoiH23_PlH23_007973	0	0	2	2	2	0	5	2	3	0	5	1	0
HoiH23_PlH23_007974	3	1	12	12	50	17	50	29	23	36	205	22	31
HoiH23_PlH23_007977	0	0	1	0	0	0	2	1	0	0	3	1	0
HoiH23_PlH23_007978	2	3	5	3	5	5	9	6	10	10	13	3	6
HoiH23_PlH23_007980	2	2	9	0	3	3	8	4	2	4	4	0	0
HoiH23_PlH23_007981	1	0	3	0	2	0	0	0	1	3	0	0	1
HoiH23_PlH23_007958	0	0	7	2	0	0	0	1	0	0	1	0	0
HoiH23_PlH23_007969	4	4	4	2	0	0	3	0	4	5	3	1	3
HoiH23_PlH23_007971	1	0	0	0	3	0	2	0	0	1	3	0	3
HoiH23_orphan_956	0	1	2	1	10	2	2	0	4	3	7	1	3
HoiH23_PlH23_007975	0	0	1	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_007976	0	1	1	2	0	0	3	1	0	0	2	0	1
HoiH23_PlH23_007979	11	47	63	39	32	24	155	65	75	59	74	27	23
