1	2	3	4	5	6	7	22	23	25	26	29	30	14	15	16	17	18	24	8	9	10	11	12	13	34	37	38	27	28	20	21	19	33	35	31	32	36
Hhon_g00010.t1	0	0	0	0	0	0	0	0	3	3	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	2	0	0	1	3	0
Hhon_g00012.t1	1	2	1	1	2	0	0	3	1	2	1	3	0	3	4	8	5	5	2	1	0	6	2	3	0	7	12	4	0	3	3	0	5	5	2	5	8	4
Hhon_orphan_3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0
Hhon_g00017.t1	22	184	25	16	8	27	23	60	77	102	234	53	18	46	88	45	102	47	10	12	8	9	10	10	9	70	161	119	20	48	6	3	27	20	27	26	50	45
Hhon_g00018.t1	0	3	4	6	5	0	7	1	1	1	2	3	1	4	0	7	4	4	4	0	0	2	4	7	1	26	6	5	6	8	3	3	4	0	7	1	4	4
Hhon_g00019.t1	3	1	1	4	0	0	7	0	0	1	7	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	6	10	0	1	1	0	2	0	0	1
Hhon_g00020.t1	0	1	0	1	0	0	4	0	0	1	1	3	2	0	0	1	2	4	0	0	0	2	0	0	0	2	1	2	0	1	0	0	4	2	5	2	2	4
Hhon_g00021.t1	0	2	0	0	0	0	2	11	6	4	6	0	12	0	0	0	2	0	8	0	0	4	4	7	2	0	0	0	8	52	2	0	2	2	3	0	0	3
Hhon_g00022.t1	0	1	1	0	0	0	1	0	1	0	2	0	1	0	0	1	2	1	2	0	0	1	0	0	0	0	2	2	1	1	1	0	1	1	0	0	2	1
Hhon_orphan_5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00026.t1	6	12	2	0	5	4	3	5	7	5	19	8	2	5	4	4	15	7	9	2	2	9	2	1	3	5	7	4	6	10	1	1	5	3	3	9	18	6
Hhon_g00028.t1	0	1	3	0	0	0	0	0	1	1	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	1	1	3	3	0	3	0	1	1	0	1	4	3
Hhon_g00029.t1	1	0	1	1	0	0	2	0	2	2	1	0	0	2	1	2	1	0	1	1	0	0	1	0	1	2	5	0	0	1	1	0	0	2	3	2	2	0
Hhon_g00031.t1	3	7	3	2	2	2	6	4	1	1	18	12	0	2	3	4	4	2	3	3	0	2	2	1	1	11	4	1	4	10	1	2	8	5	6	4	7	10
Hhon_g00034.t1	1	3	1	1	0	0	1	1	1	3	4	1	0	0	0	1	3	1	1	1	1	0	0	2	0	2	1	2	2	4	0	0	5	1	1	3	4	1
Hhon_orphan_6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Hhon_g00036.t1	0	11	3	6	1	4	13	4	2	2	5	4	1	0	6	0	2	4	3	0	0	1	0	1	1	3	1	1	1	2	2	0	2	8	2	1	2	2
Hhon_g00037.t1	0	1	1	0	2	1	3	2	1	5	5	6	2	2	0	2	2	3	4	0	1	6	1	2	0	0	2	1	2	3	0	0	3	0	0	2	3	1
Hhon_g00038.t1	1	0	3	1	0	1	1	0	1	2	1	5	0	2	0	2	2	3	0	0	0	0	2	0	0	3	0	0	1	3	1	0	6	1	1	3	5	2
Hhon_g00039.t1	14	7	11	13	30	9	32	10	10	11	10	11	5	3	3	8	10	9	8	1	10	23	8	9	13	10	6	4	5	15	6	5	14	5	10	8	18	8
Hhon_g00040.t1	1	2	6	2	4	0	10	0	0	0	1	0	0	1	0	1	0	2	2	1	3	2	2	0	2	0	0	1	0	0	0	0	2	0	2	3	0	0
Hhon_g00042.t1	4	0	0	1	0	0	1	8	6	7	11	13	5	4	9	1	7	0	2	4	6	5	4	4	3	5	3	0	6	7	5	5	8	2	6	4	8	7
Hhon_g00043.t1	1	1	1	1	1	0	4	1	1	1	4	1	0	1	1	1	1	1	3	0	0	2	0	0	1	2	1	1	0	2	3	0	3	3	1	4	1	1
Hhon_g00047.t1	1	0	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Hhon_orphan_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	1	1	0	5	0	0	0	0	0	0	0	1	4	5	1
Hhon_g00051.t1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0
Hhon_g00053.t1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	1
Hhon_g00056.t1	1	0	2	0	1	0	2	0	1	8	5	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	4	0	0	1	0	0	1	2	2	1	2	0
Hhon_g00058.t1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
Hhon_orphan_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	6	16	7	29	2	0	0	1	2	2	0	0	1	2	0	0	7
Hhon_g00065.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	7	17	13	11	7	0	0	0	1	3	0	0	0	0	1	0	0	11
Hhon_orphan_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Hhon_g00066.t1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	1	0	0
Hhon_g00068.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Hhon_g00071.t1	6	12	8	16	11	11	14	8	9	8	19	18	4	8	2	3	7	7	13	3	5	10	5	3	3	8	15	4	5	14	3	1	15	9	16	7	17	14
Hhon_g00073.t1	1	0	1	2	3	0	5	0	2	0	1	2	0	1	0	1	0	0	1	0	0	1	1	0	0	0	2	3	0	2	1	0	0	0	4	1	0	2
