peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000568	0.132459103251871	0.17252752828944	0.0591103886508054	0	0	0.237364306737981	0.0627569111048354	0.0278699032914356	0.0144793235260049	0.279479737719015	0	0.124134934673991	0	0	0
TrH2_TrispH2_000574	0.0883060688345807	0.0710407469427107	0.0295551943254027	0.102628762443737	0.0695297471434862	0.0158242871158654	0.0470676833286266	0.0139349516457178	0.0579172941040195	0.0591207137482532	0.0661837702687796	0.093101201005493	0.00521660654527623	0.0908241644176874	0
TrH2_TrispH2_000575	0	0	0	0	0	0	0.0470676833286266	0.0557398065828712	0.0289586470520097	0.128990648178007	0.00735375225208663	0.201719268845235	0.00782490981791435	0.0129748806310982	0
TrH2_TrispH2_000577	0.0441530344172903	0.192824884558786	0	0.0586450071107071	0.139059494286972	0.0316485742317309	0.14120304998588	0.139349516457178	0.202710529364068	0.0859937654520047	0.139721292789646	0.0620674673369953	0.023474729453743	0.103799045048786	0.216085396948874
TrH2_TrispH2_000579	0	0	0.0295551943254027	0.0146612517776768	0	0	0	0.0139349516457178	0.0579172941040195	0	0.00735375225208663	0	0	0	0
TrH2_TrispH2_000581	0	0	0	0	0	0	0	0.0139349516457178	0.0144793235260049	0	0	0	0	0	0
TrH2_TrispH2_000583	0.132459103251871	0.121784137616076	0.0886655829762081	0.117290014221414	0.0695297471434862	0.0632971484634617	0.188270733314506	0.153284468102896	0.0723966176300243	0.145114479200258	0.0808912747729529	0.170685535176737	0.0652075818159529	0.0908241644176874	0.0432170793897748
TrH2_TrispH2_000586	0	0.0202973562693459	0	0.0146612517776768	0	0	0.0156892277762089	0	0.0289586470520097	0.0053746103407503	0.0147075045041733	0	0.00260830327263812	0	0
TrH2_TrispH2_000587	0.132459103251871	0.0710407469427107	0.0295551943254027	0.0586450071107071	0.0463531647623242	0.0949457226951926	0	0	0.130313911734044	0.0644953240890035	0.0220612567562599	0.0155168668342488	0.0182581229084668	0.0259497612621964	0
TrH2_TrispH2_000590	0.507759895798839	0.730704825696453	1.32998374464312	1.15823889043647	0.579414559529052	0.474728613475963	0.658947566600772	0.863967002034503	0.912197382138306	0.784693109749543	1.13247784682134	0.713775874375446	0.568610113435109	0.765517957234793	1.08042698474437
TrH2_TrispH2_000592	0	0	0.0295551943254027	0	0	0	0	0	0	0	0.00735375225208663	0	0	0	0
TrH2_TrispH2_000595	0	0.0304460344040189	0.0886655829762081	0.0146612517776768	0.0927063295246483	0.0158242871158654	0.0156892277762089	0.292633984560074	0.521255646936175	0.0268730517037515	0.0441225135125198	0.0155168668342488	0.0156498196358287	0.0389246418932946	0
TrH2_orphan_9	0	0	0	0	0	0	0	0	0	0	0	0.0155168668342488	0	0	0
TrH2_TrispH2_000598	0.0220765172086452	0.0304460344040189	0.0591103886508054	0.0293225035553536	0.0231765823811621	0.0316485742317309	0.0313784555524177	0.0139349516457178	0.0289586470520097	0.0376222723852521	0.0294150090083465	0	0.00521660654527623	0.0129748806310982	0
TrH2_TrispH2_000601	0	0	0	0	0	0	0	0	0.0144793235260049	0	0	0	0	0.0129748806310982	0
TrH2_TrispH2_000603	0	0.010148678134673	0.0295551943254027	0	0	0	0.0156892277762089	0.0139349516457178	0	0	0	0.0155168668342488	0.00521660654527623	0	0
TrH2_TrispH2_000604	0	0	0.0591103886508054	0	0	0.0158242871158654	0	0.0278699032914356	0.0144793235260049	0.0107492206815006	0.0441225135125198	0	0.00260830327263812	0	0.0864341587795497
TrH2_TrispH2_000606	0	0	0	0	0	0	0	0.0139349516457178	0	0.0161238310222509	0	0.0155168668342488	0.00260830327263812	0	0
TrH2_TrispH2_000608	0	0	0	0	0	0	0	0	0.0144793235260049	0.0053746103407503	0	0.0155168668342488	0	0	0
TrH2_orphan_10	0	0	0	0	0.0231765823811621	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000617	0.0220765172086452	0.0608920688080378	0	0.0293225035553536	0.0231765823811621	0	0	0.0278699032914356	0.0144793235260049	0.0376222723852521	0.0735375225208663	0.0310337336684977	0.0208664261811049	0.0389246418932946	0.172868317559099
TrH2_orphan_11	0	0	0.0591103886508054	0.0293225035553536	0	0	0	0	0.0144793235260049	0	0.0147075045041733	0	0	0.0129748806310982	0
TrH2_TrispH2_000618	0	0.010148678134673	0.0295551943254027	0.102628762443737	0.0695297471434862	0.0791214355793271	0.0156892277762089	0.0139349516457178	0.0289586470520097	0.128990648178007	0.00735375225208663	0.0155168668342488	0.0130415163631906	0	0
TrH2_TrispH2_000620	0	0	0	0	0	0	0	0	0	0	0	0	0.00260830327263812	0	0
TrH2_TrispH2_000622	0	0	0	0	0.0231765823811621	0	0	0.0139349516457178	0.0144793235260049	0	0.00735375225208663	0	0.00521660654527623	0	0
TrH2_TrispH2_000624	0.0220765172086452	0.010148678134673	1.27087335599232	0.483821308663334	0.0695297471434862	0.0316485742317309	0.0784461388810443	0.111479613165742	0.0868759411560292	0.0429968827260024	0.0441225135125198	0.124134934673991	0.0260830327263812	0.0389246418932946	0.0864341587795497
TrH2_TrispH2_000625	0.132459103251871	0.0608920688080378	0	0.0439837553330303	0	0.0158242871158654	0.0470676833286266	0.0278699032914356	0.0289586470520097	0.0053746103407503	0.0220612567562599	0.0310337336684977	0.00521660654527623	0.0389246418932946	0
TrH2_TrispH2_000627	0.0220765172086452	0	0	0.0146612517776768	0	0	0	0	0	0	0.00735375225208663	0	0.00260830327263812	0	0.0432170793897748
TrH2_TrispH2_000630	0	0.010148678134673	0.0591103886508054	0.0146612517776768	0.0231765823811621	0.0158242871158654	0.0627569111048354	0.0278699032914356	0.0289586470520097	0.0053746103407503	0.0220612567562599	0	0.0104332130905525	0.0129748806310982	0
TrH2_orphan_12	0	0	0	0	0	0	0.0313784555524177	0	0	0	0	0	0	0	0
TrH2_TrispH2_000631	0	0.010148678134673	0	0	0	0	0.298095327747968	0	0	0.0053746103407503	0.0147075045041733	0	0.00260830327263812	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000632	0.110382586043226	0.0710407469427107	0	0.146612517776768	0.185412659049297	0.0632971484634617	0.0941353666572531	0.0696747582285889	0.159272558786054	0.0752445447705041	0.0661837702687796	0.0465506005027465	0.0130415163631906	0.0908241644176874	0.216085396948874
TrH2_TrispH2_000633	0.0441530344172903	0.0608920688080378	0	0	0.0927063295246483	0.0474728613475963	0.0784461388810443	0	0.0289586470520097	0.0268730517037515	0.00735375225208663	0	0.00260830327263812	0.0518995225243928	0
TrH2_orphan_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129748806310982	0
TrH2_TrispH2_000636	0.0220765172086452	0.010148678134673	0	0.0146612517776768	0	0	0	0.0139349516457178	0	0.0053746103407503	0.00735375225208663	0	0.00521660654527623	0.0259497612621964	0.0432170793897748
TrH2_TrispH2_000638	0.264918206503742	0.233419597097478	0.354662331904832	0.322547539108889	0.208589241430459	0.142418584042789	0.40791992218143	0.306568936205791	0.448859029306151	0.257981296356014	0.294150090083465	0.26378673618223	0.174756319266754	0.246522731990866	0.216085396948874
TrH2_TrispH2_000640	0	0.0304460344040189	0	0	0	0.0316485742317309	0	0.0557398065828712	0.0289586470520097	0.0214984413630012	0.0147075045041733	0.0155168668342488	0.00521660654527623	0.0389246418932946	0
TrH2_TrispH2_000642	0.0220765172086452	0.0405947125386918	0.0886655829762081	0.0733062588883839	0.0695297471434862	0	0.0627569111048354	0.0696747582285889	0.0868759411560292	0.0376222723852521	0.125013788285473	0.0465506005027465	0.0208664261811049	0.0129748806310982	0.0864341587795497
TrH2_TrispH2_000643	0.618142481842065	0.517582584868321	0	0.0439837553330303	0.0463531647623242	0.0158242871158654	0.0156892277762089	0.0418048549371534	0.173751882312058	0.134365258518757	0.0882450270250395	0.0465506005027465	0.00782490981791435	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000645	0.0441530344172903	0.010148678134673	0.118220777301611	0.0293225035553536	0.0927063295246483	0	0	0.0139349516457178	0	0.0214984413630012	0.00735375225208663	0	0.00260830327263812	0	0.0432170793897748
TrH2_TrispH2_000646	0.0220765172086452	0.010148678134673	0	0.0439837553330303	0	0	0.0627569111048354	0.0139349516457178	0.0144793235260049	0.0591207137482532	0.0367687612604331	0	0.00782490981791435	0.0389246418932946	0
TrH2_TrispH2_000647	0	0	0.0295551943254027	0	0	0	0	0.0278699032914356	0.0289586470520097	0.0053746103407503	0.0294150090083465	0.0155168668342488	0.00260830327263812	0	0.0432170793897748
TrH2_TrispH2_000650	0.0441530344172903	0.0710407469427107	0.32510713757943	0.278563783775859	0.0695297471434862	0.0316485742317309	0.0627569111048354	0.0975446615200245	0.246148499942083	0.0859937654520047	0.0882450270250395	0.0775843341712441	0.0625992785433148	0.0518995225243928	0.129651238169325
TrH2_TrispH2_000655	0	0.0202973562693459	0.0295551943254027	0.0879675106660607	0.0695297471434862	0.0158242871158654	0.0313784555524177	0.0278699032914356	0.0289586470520097	0.0268730517037515	0.0661837702687796	0	0.0130415163631906	0	0.0864341587795497
TrH2_TrispH2_000657	0.0220765172086452	0.0202973562693459	0.118220777301611	0.366531294441919	0.0231765823811621	0.0158242871158654	0.0156892277762089	0.0278699032914356	0.0723966176300243	0.053746103407503	0.0147075045041733	0.0310337336684977	0.023474729453743	0.0908241644176874	0.0432170793897748
TrH2_TrispH2_000658	0	0	0	0	0	0	0.0313784555524177	0.0278699032914356	0	0.0053746103407503	0	0	0	0.064874403155491	0
TrH2_TrispH2_000660	0.0220765172086452	0.010148678134673	0	0	0	0	0	0.0139349516457178	0.0723966176300243	0.0053746103407503	0.00735375225208663	0.0155168668342488	0	0.0129748806310982	0
TrH2_TrispH2_000664	0.0220765172086452	0.010148678134673	0	0	0.0463531647623242	0	0.0313784555524177	0	0.0289586470520097	0.053746103407503	0.0294150090083465	0	0.00260830327263812	0	0.0432170793897748
TrH2_orphan_14	0.0220765172086452	0	0.0295551943254027	0.0293225035553536	0	0	0	0.0139349516457178	0	0.0053746103407503	0.00735375225208663	0	0.00260830327263812	0	0
TrH2_TrispH2_000666	0.507759895798839	0.487136550464302	0.0295551943254027	0.146612517776768	0.0927063295246483	0.269012880969712	0.0941353666572531	0.111479613165742	0.144793235260049	0.18273675158551	0.154428797293819	0.356887937187723	0.0260830327263812	0	0
TrH2_TrispH2_000667	0	0	0	0	0	0	0	0	0	0	0.0220612567562599	0	0.00260830327263812	0	0
TrH2_TrispH2_000668	0	0	0	0.0293225035553536	0	0	0	0	0	0	0.00735375225208663	0	0	0	0
TrH2_orphan_15	0	0.010148678134673	0	0	0	0	0.0156892277762089	0	0.0144793235260049	0	0.0220612567562599	0	0.00782490981791435	0.0518995225243928	0
TrH2_TrispH2_000675	0	0.0304460344040189	0	0	0	0.0158242871158654	0.0156892277762089	0.0557398065828712	0.0144793235260049	0	0.0147075045041733	0	0	0	0.0432170793897748
TrH2_TrispH2_000676	0	0	0	0	0	0.0316485742317309	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000677	0	0.010148678134673	0	0	0	0	0	0.0139349516457178	0	0	0.00735375225208663	0	0	0.0129748806310982	0
TrH2_TrispH2_000678	0	0	0	1.0116263726597	0	0	0	0.0418048549371534	0	0	0.345626355848071	0	0.00521660654527623	0	0
TrH2_TrispH2_000680	0.375300792546968	0.405947125386918	0.206886360277819	0.249241280220505	0.394001900479755	0.395607177896636	0.282406099971759	0.404113597725816	0.246148499942083	0.424594216919273	0.419163878368938	0.418955404524718	0.130415163631906	0.311397135146357	0.129651238169325
TrH2_TrispH2_000681	0	0.010148678134673	0	0	0	0	0.0156892277762089	0	0.0289586470520097	0.0053746103407503	0	0	0.00260830327263812	0.0259497612621964	0
TrH2_TrispH2_000682	0	0	0	0	0.0231765823811621	0	0	0	0	0.0107492206815006	0.0147075045041733	0	0	0.0778492837865892	0.0432170793897748
TrH2_TrispH2_000466	0	0.0202973562693459	0.0295551943254027	0.0293225035553536	0.11588291190581	0.0158242871158654	0.0627569111048354	0.181154371394331	0.217189852890073	0.0322476620445018	0.0367687612604331	0	0.00782490981791435	0.0389246418932946	0
TrH2_TrispH2_000467	0	0	0.0591103886508054	0.0586450071107071	0	0.0158242871158654	0.0156892277762089	0.0278699032914356	0.0289586470520097	0.0053746103407503	0.0294150090083465	0	0.00260830327263812	0.064874403155491	0
TrH2_TrispH2_000468	0.0662295516259355	0.0608920688080378	0	0	0.11588291190581	0.0316485742317309	0.0470676833286266	0.0139349516457178	0.115834588208039	0.0107492206815006	0.0220612567562599	0.0155168668342488	0.0104332130905525	0.0389246418932946	0.0432170793897748
TrH2_TrispH2_000471	0.0441530344172903	0.0202973562693459	0.0886655829762081	0.322547539108889	0.0463531647623242	0.0158242871158654	0.470676833286266	0	0.0434379705780146	0.0107492206815006	0.56623892341067	0	0.0156498196358287	0	0.0864341587795497
TrH2_TrispH2_000473	0	0.0405947125386918	0	0	0.0231765823811621	0	0	0.0139349516457178	0	0.0161238310222509	0.0294150090083465	0.0310337336684977	0.00260830327263812	0	0
TrH2_TrispH2_000475	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129748806310982	0
TrH2_TrispH2_000476	0.0220765172086452	0.010148678134673	0	0	0	0.0158242871158654	0.0313784555524177	0.0418048549371534	0.0434379705780146	0.0214984413630012	0.0294150090083465	0.0155168668342488	0.0208664261811049	0.0259497612621964	0.0432170793897748
TrH2_TrispH2_000478	0	0	0	0	0	0	0	0	0	0	0.00735375225208663	0	0	0	0
TrH2_TrispH2_000479	0	0.010148678134673	0	0	0	0	0.0156892277762089	0	0	0.0053746103407503	0.0147075045041733	0	0	0	0
TrH2_TrispH2_000481	0	0.010148678134673	0	0.0146612517776768	0	0	0	0	0.0144793235260049	0	0	0	0.00260830327263812	0.0129748806310982	0
TrH2_TrispH2_000482	0.0220765172086452	0.0405947125386918	0	0.0146612517776768	0	0.0316485742317309	0.0156892277762089	0.0836097098743067	0.0434379705780146	0.0161238310222509	0.0220612567562599	0.0155168668342488	0.0182581229084668	0	0.0432170793897748
TrH2_TrispH2_000485	0.0441530344172903	0	0	0	0.0927063295246483	0.0158242871158654	0.0313784555524177	0	0.0144793235260049	0.0429968827260024	0.0147075045041733	0.0155168668342488	0.0104332130905525	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000486	0	0	0	0.0146612517776768	0	0	0	0	0.0289586470520097	0.0107492206815006	0.0147075045041733	0.0465506005027465	0	0	0
TrH2_TrispH2_000489	0	0	0	0.0439837553330303	0	0	0	0	0	0	0.0147075045041733	0	0	0	0
TrH2_TrispH2_000491	0.286994723712387	0.263865631501497	0.354662331904832	0.234580028442828	0.811180383340673	0.237364306737981	0.125513822209671	0.111479613165742	0.0723966176300243	0.214984413630012	0.0808912747729529	0.093101201005493	0.0417328523622099	0.181648328835375	0.0864341587795497
TrH2_TrispH2_000492	0.0441530344172903	0.0608920688080378	0.0591103886508054	0.0733062588883839	0.0463531647623242	0	0.0470676833286266	0.0139349516457178	0.0144793235260049	0.0322476620445018	0.0220612567562599	0	0.00521660654527623	0.0259497612621964	0
TrH2_TrispH2_000493	0.0220765172086452	0.0304460344040189	0	0.0146612517776768	0.0463531647623242	0	0.0156892277762089	0.0696747582285889	0.0434379705780146	0.0806191551112544	0.0367687612604331	0.0310337336684977	0.00521660654527623	0.0259497612621964	0.0432170793897748
TrH2_TrispH2_000494	0	0.010148678134673	0	0	0.0463531647623242	0	0	0.0139349516457178	0.0144793235260049	0.0322476620445018	0.0220612567562599	0	0.00260830327263812	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000495	0.662295516259355	0.679961435023088	0.0591103886508054	0.234580028442828	0.0927063295246483	0.55385004905529	0.376541466629013	0.167219419748613	0.188231205838063	0.333225841126518	0.227966319814685	0.217236135679484	0.0599909752706767	0.0908241644176874	0.302519555728424
TrH2_TrispH2_000496	0.0441530344172903	0.131932815750748	0.561548692182651	0.322547539108889	0.0231765823811621	0.0158242871158654	0.0941353666572531	0	0.0434379705780146	0.091368375792755	0.0955987792771262	0.0155168668342488	0.0573826719980386	0.168673448204277	0.0432170793897748
TrH2_orphan_16	0	0.0202973562693459	0.177331165952416	0.131951265999091	0	0	0.0156892277762089	0	0	0.0214984413630012	0.0514762657646064	0	0.0312996392716574	0.0259497612621964	0
TrH2_TrispH2_000497	0	0.0202973562693459	0	0	0.0463531647623242	0	0	0.0278699032914356	0.0144793235260049	0.0161238310222509	0	0	0	0.0778492837865892	0
TrH2_TrispH2_000500	0	0	0.0295551943254027	0.0146612517776768	0.0231765823811621	0.0158242871158654	0	0.0139349516457178	0.0144793235260049	0.0268730517037515	0.0147075045041733	0.0310337336684977	0.00521660654527623	0	0
