peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g03244.t1	0	3	1	0	1	2	2	1	2	1	2	1	2	4	0
Hhon_g03246.t1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Hhon_g03248.t1	0	13	54	0	1	2	27	4	21	2	4	2	0	1	0
Hhon_g03249.t1	3	13	1	1	3	2	0	1	6	1	4	8	2	4	0
Hhon_g03250.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03252.t1	0	50	177	0	1	2	1	2	6	0	3	0	5	0	0
Hhon_g03254.t1	1	3	2	0	3	1	6	2	11	1	4	1	0	5	0
Hhon_g03255.t1	5	4	4	1	0	4	7	6	10	2	6	4	3	4	0
Hhon_g03256.t1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Hhon_orphan_660	0	1	0	0	0	1	1	2	2	0	2	0	0	0	1
Hhon_orphan_661	0	1	0	0	1	0	5	1	16	0	4	0	3	2	0
Hhon_g03262.t1	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0
Hhon_orphan_662	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Hhon_g03263.t1	20	39	4	1	3	5	21	4	35	7	11	6	1	51	26
Hhon_orphan_664	4	4	0	1	0	2	15	0	0	0	0	0	0	0	0
Hhon_g03265.t1	18	74	213	29	41	96	88	47	220	6	17	25	13	6	21
Hhon_orphan_665	6	11	32	8	4	10	10	12	35	4	2	5	2	2	5
Hhon_orphan_666	45	30	57	16	11	15	39	18	78	1	7	3	1	2	1
Hhon_g03267.t1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Hhon_g03268.t1	4	8	2	0	5	0	7	2	8	3	5	1	2	1	0
Hhon_g03270.t1	12	34	20	2	9	13	26	18	52	13	9	9	8	6	2
Hhon_g03272.t1	0	6	0	0	0	0	0	0	0	0	1	11	0	0	0
Hhon_g03274.t1	17	42	32	7	9	11	37	20	61	12	25	15	14	14	3
Hhon_g03275.t1	156	495	140	41	109	109	223	82	471	59	130	182	125	118	37
Hhon_g03278.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g03280.t1	9	40	23	5	11	1	20	11	48	11	18	18	11	15	3
Hhon_g03284.t1	219	142	57	21	14	36	141	63	183	53	85	38	18	35	10
Hhon_orphan_667	6	1	0	0	0	0	10	0	0	5	1	1	0	0	0
Hhon_orphan_668	5	6	6	0	0	3	33	26	1	3	7	15	60	0	0
Hhon_orphan_669	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0
Hhon_orphan_670	0	0	2	11	23	27	15	9	3	0	0	0	0	0	4
Hhon_g03291.t1	25	52	13	4	4	6	16	9	96	10	14	8	5	10	4
Hhon_g03295.t1	0	0	2	1	0	0	1	0	1	0	0	1	0	1	0
Hhon_g03297.t1	9	10	8	0	3	1	10	3	10	1	2	5	0	1	2
Hhon_g03299.t1	1	3	1	0	0	1	2	1	5	0	3	4	0	3	0
Hhon_g03301.t1	0	5	3	1	2	3	4	5	14	0	4	8	4	1	2
Hhon_orphan_673	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Hhon_g03303.t1	31	14	1	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03305.t1	5	26	24	0	10	15	42	12	80	8	20	8	5	25	5
Hhon_g03306.t1	1	0	0	0	1	0	0	1	1	0	0	2	1	0	0
Hhon_orphan_675	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03311.t1	0	9	10	0	3	1	7	1	6	0	1	2	1	2	1
Hhon_g03314.t1	2	14	11	3	5	7	16	9	15	5	12	5	1	3	1
Hhon_g03317.t1	40	88	62	10	25	24	81	62	188	19	40	68	37	16	27
Hhon_g03318.t1	13	41	31	12	14	11	45	23	88	14	27	43	25	25	13
Hhon_g03322.t1	2	10	8	1	2	4	10	3	19	5	11	22	0	3	3
Hhon_g03324.t1	8	35	17	2	10	5	21	20	35	8	14	13	19	9	6
Hhon_g03326.t1	5	23	5	5	9	7	21	13	39	4	5	8	4	6	4
Hhon_orphan_677	7	25	5	1	2	3	16	8	15	2	4	6	6	6	1
Hhon_g03329.t1	11	34	27	11	6	5	25	14	52	2	18	13	11	12	7
Hhon_g03331.t1	4	9	12	0	3	2	13	6	9	5	3	7	1	4	3
Hhon_orphan_678	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0
Hhon_g03333.t1	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0
Hhon_g03335.t1	4	3	4	3	4	3	5	5	7	1	1	4	0	1	2
Hhon_g03337.t1	17	49	21	3	12	11	27	13	61	3	28	15	11	12	3
Hhon_orphan_679	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0
Hhon_g03339.t1	13	29	20	4	14	3	29	11	62	7	22	20	12	21	3
Hhon_g03342.t1	2	18	8	2	5	7	14	8	28	5	7	12	5	9	5
Hhon_g03344.t1	11	25	18	1	14	4	31	15	43	9	19	12	10	13	1
Hhon_g03347.t1	9	14	5	1	0	1	8	3	9	3	9	8	2	3	1
Hhon_g03350.t1	2	10	1	0	0	0	6	1	12	0	9	5	1	4	0
Hhon_g03352.t1	6	56	33	12	17	13	35	23	60	8	22	25	9	11	4
Hhon_g03354.t1	10	34	12	7	4	2	27	4	42	11	7	17	4	3	4
Hhon_g03357.t1	12	28	15	5	11	8	35	12	71	3	15	15	13	13	4
Hhon_g03358.t1	0	7	17	2	6	8	29	4	24	5	9	4	10	9	3
Hhon_g03360.t1	72	216	85	15	35	33	109	93	216	17	52	67	38	48	17
Hhon_g03362.t1	60	188	157	18	29	58	195	96	285	28	75	43	74	49	36
Hhon_g03363.t1	24	69	31	11	19	10	47	29	66	25	33	37	9	30	3
Hhon_g03365.t1	0	12	10	3	8	2	17	5	41	4	7	7	4	2	0
Hhon_g03366.t1	1	7	6	3	7	7	15	4	43	3	5	7	15	1	1
Hhon_orphan_681	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03368.t1	8	45	40	7	10	7	40	24	57	14	23	27	17	16	5
Hhon_g03369.t1	6	27	20	6	7	12	45	12	42	7	14	14	22	18	5
Hhon_g03371.t1	2	17	21	8	14	12	27	8	22	4	10	9	5	13	3
Hhon_g03373.t1	3	12	4	3	4	2	5	2	11	2	3	6	4	3	0
Hhon_g03375.t1	23	28	30	9	20	15	32	16	89	6	19	12	7	11	7
Hhon_g03376.t1	3	12	15	2	5	3	17	7	23	8	8	9	3	9	3
Hhon_g03378.t1	12	39	24	11	16	7	30	15	58	11	19	26	13	11	4
Hhon_orphan_683	1	2	0	0	0	0	0	0	1	0	0	2	0	1	0
Hhon_g03380.t1	4	23	7	0	8	3	27	6	28	5	8	7	6	6	4
Hhon_g03383.t1	0	14	6	2	2	1	15	4	26	0	6	10	3	5	0
Hhon_g03387.t1	14	54	27	11	20	9	31	13	95	6	22	22	8	4	3
Hhon_g03389.t1	29	97	40	7	22	17	61	34	99	3	15	36	18	21	13
Hhon_g03391.t1	25	65	38	8	20	12	50	21	77	9	25	21	12	15	6
Hhon_g03392.t1	5	32	19	2	7	6	22	15	39	6	20	17	12	16	5
Hhon_g03396.t1	4	7	12	2	4	1	13	4	20	3	8	8	9	2	2
Hhon_g03399.t1	3	4	3	3	2	2	7	3	10	3	2	1	1	5	1
Hhon_g03401.t1	2	11	5	0	4	2	16	0	9	6	6	11	3	6	2
Hhon_g03402.t1	1	2	1	0	1	1	3	2	4	0	3	8	0	1	0
Hhon_g03404.t1	6	18	11	1	5	6	11	3	27	3	5	6	4	8	5
Hhon_g03406.t1	1	5	5	0	1	2	7	1	5	1	5	3	1	5	1
Hhon_g03407.t1	7	15	22	4	7	10	22	5	33	12	9	4	5	7	2
Hhon_g03412.t1	0	8	2	1	1	1	5	1	16	2	8	9	6	2	4
Hhon_g03418.t1	1	3	2	0	0	2	3	0	8	0	3	0	3	1	2
Hhon_g03419.t1	3	14	5	0	2	2	70	1	31326	1	373	1	4	7	0
Hhon_g03309.t1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Hhon_g03310.t1	4	8	6	4	1	3	4	6	14	2	7	3	4	3	0
Hhon_g03312.t1	0	6	6	1	1	1	2	2	7	3	0	5	2	5	0
Hhon_g03313.t1	1	6	2	0	0	0	0	3	4	0	1	4	0	1	0
Hhon_g03315.t1	2	6	2	0	2	2	3	4	7	2	3	4	1	7	5
Hhon_g03316.t1	14	30	30	6	8	11	26	17	55	8	23	22	9	13	7
Hhon_g03319.t1	5	14	8	5	1	3	19	6	20	4	8	5	5	3	1
Hhon_g03320.t1	0	2	2	1	3	0	5	1	4	2	3	1	1	1	0
Hhon_g03321.t1	4	34	14	3	5	5	20	5	28	2	13	12	4	5	5
Hhon_g03323.t1	2	16	6	4	4	4	23	11	29	3	9	6	6	10	2
Hhon_g03325.t1	0	10	2	1	1	1	7	1	12	2	7	3	1	0	0
Hhon_g03327.t1	1	3	1	0	1	0	3	2	6	0	2	4	0	0	0
Hhon_g03328.t1	7	15	4	4	9	1	15	8	25	6	6	14	7	6	2
Hhon_g03330.t1	4	10	13	1	1	3	5	8	20	3	5	4	4	3	1
Hhon_g03332.t1	10	29	17	11	9	8	22	16	36	5	3	13	6	6	2
Hhon_g03334.t1	6	37	41	4	10	18	27	24	67	14	36	17	12	7	6
Hhon_g03336.t1	8	13	13	0	5	6	13	8	15	1	4	9	8	11	4
Hhon_g03338.t1	14	60	29	7	8	14	38	21	97	11	23	20	14	19	8
Hhon_orphan_685	0	2	2	0	0	0	2	0	7	1	2	1	1	1	0
Hhon_g03340.t1	0	1	0	1	0	0	0	0	3	0	2	2	0	5	1
Hhon_g03343.t1	5	29	22	4	10	7	27	8	41	7	16	18	1	11	7
Hhon_g03345.t1	0	0	0	0	0	0	0	33	1	0	0	0	2	255	0
Hhon_g03346.t1	6	22	10	4	5	4	18	7	44	3	15	19	4	5	4
Hhon_g03348.t1	0	5	3	0	0	2	8	2	10	3	2	3	2	2	1
Hhon_g03349.t1	10	41	22	4	8	13	40	19	47	9	14	14	6	11	9
Hhon_g03351.t1	14	34	19	4	7	4	31	8	47	6	15	15	2	12	0
Hhon_g03353.t1	7	24	17	4	6	5	29	17	44	7	15	15	6	10	4
Hhon_g03355.t1	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0
Hhon_g03356.t1	17	57	54	8	25	27	77	44	157	12	32	37	24	17	9
Hhon_g03359.t1	15	40	23	6	7	6	19	17	32	8	12	16	7	7	4
Hhon_g03361.t1	17	41	30	5	13	7	33	14	26	7	15	21	4	10	10
Hhon_g03364.t1	0	10	58	13	28	15	73	34	108	11	24	37	35	25	4
Hhon_orphan_686	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0
Hhon_g03367.t1	16	60	37	9	16	13	46	28	63	9	13	21	16	10	6
Hhon_g03370.t1	15	56	38	10	10	5	43	26	70	18	36	41	21	18	8
Hhon_g03372.t1	3	42	24	7	23	18	64	11	66	2	27	37	29	15	3
Hhon_g03374.t1	18	44	15	1	6	1	30	17	59	3	20	24	9	12	3
Hhon_g03377.t1	18	73	43	11	23	10	56	21	105	23	29	38	24	21	10
Hhon_g03379.t1	3	8	1	2	1	1	7	6	24	2	3	3	2	2	3
Hhon_g03381.t1	6	24	16	2	6	7	21	7	36	6	17	13	12	14	3
Hhon_g03382.t1	40	96	101	16	44	44	125	41	221	45	75	39	42	35	10
Hhon_g03384.t1	2	16	10	6	8	2	5	3	21	4	5	10	7	7	7
Hhon_g03385.t1	12	46	27	6	10	10	64	80	40	9	14	15	15	16	6
Hhon_g03386.t1	32	130	93	17	22	37	118	69	218	12	52	36	29	26	7
Hhon_g03388.t1	3	28	17	0	5	8	10	6	24	3	8	2	4	10	3
Hhon_g03390.t1	20	89	39	6	18	21	48	36	120	13	36	42	20	14	11
Hhon_g03393.t1	8	20	19	1	10	2	14	17	49	4	9	15	7	10	1
Hhon_g03394.t1	15	35	14	4	7	13	25	13	50	6	6	14	9	5	4
Hhon_g03395.t1	12	33	7	2	4	7	15	12	60	6	9	8	2	8	0
Hhon_g03397.t1	1	5	5	0	0	0	2	9	1	0	1	1	0	0	0
Hhon_g03398.t1	55	47	35	4	6	14	55	42	52	11	34	20	7	10	4
Hhon_g03400.t1	1	7	7	5	11	5	16	5	30	0	5	7	7	4	3
Hhon_g03403.t1	0	0	1	13	18	20	61	23	78	5	17	9	17	7	2
Hhon_g03405.t1	8	31	10	2	4	2	19	10	28	3	11	9	6	4	2
Hhon_g03409.t1	3	5	1	0	0	0	4	0	5	2	4	2	0	2	1
Hhon_g03410.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g03411.t1	1	9	1	2	5	4	5	0	10	0	2	6	1	2	1
Hhon_g03413.t1	8	14	3	1	3	1	7	5	30	2	10	7	3	5	3
Hhon_g03414.t1	0	0	0	0	0	1	3	0	1	0	1	2	0	0	0
Hhon_orphan_687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hhon_g03415.t1	0	2	13	0	0	1	891	31	4	0	126	0	5722	0	0
Hhon_g03416.t1	0	1	1	0	1	0	126	8	3	0	117	1	4839	0	0
Hhon_g03417.t1	4	5	2	0	0	0	2	2	4	1	2	0	12	0	0
Hhon_g03421.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g03428.t1	0	3	3	1	4	2	2	1	6	3	4	4	4	7	0
Hhon_g03432.t1	2	7	3	1	0	2	1	1	11	1	0	0	1	0	1
Hhon_g03435.t1	0	2	4	1	1	2	5	0	4	2	1	0	1	0	0
Hhon_g03436.t1	7	20	2	1	0	1	4	8	21	1	3	4	1	3	2
Hhon_g03439.t1	0	0	0	2	5	0	1	0	0	0	0	0	2	0	0
Hhon_g03440.t1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Hhon_g03441.t1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Hhon_orphan_688	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
Hhon_g03457.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03459.t1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03460.t1	2	5	0	0	0	0	0	0	0	1	1	0	0	0	0
Hhon_orphan_691	0	3	0	0	0	1	1	0	1	0	1	0	1	0	0
Hhon_orphan_692	0	2	0	0	0	5	10	9	33	1	1	0	7	3	3
Hhon_g03466.t1	233	253	17	3	6	0	37	89	357	5	28	84	5	61	28
Hhon_g03469.t1	0	3	0	0	1	0	0	1	2	0	2	2	0	1	0
Hhon_g03472.t1	4	14	2	1	2	3	4	3	13	0	3	3	1	2	1
Hhon_g03474.t1	2	15	18	2	6	6	14	7	28	1	4	19	6	11	1
Hhon_orphan_693	0	0	0	0	0	1	2	0	1	0	0	0	1	2	0
Hhon_g03480.t1	9	13	0	1	0	5	8	2	10	1	0	1	1	1	1
Hhon_g03482.t1	0	0	2	0	1	0	2	1	0	0	2	0	3	0	0
Hhon_g03483.t1	96	196	12	2	3	4	31	3	23	1	6	1	14	3	3
Hhon_g03485.t1	2	10	4	0	1	3	9	3	24	1	8	6	2	5	2
Hhon_g03488.t1	0	8	22	0	0	1	1	0	4	0	2	4	1	0	0
Hhon_g03489.t1	0	2	3	0	1	0	1	3	3	0	1	2	0	2	0
Hhon_g03420.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03423.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Hhon_g03424.t1	1	2	1	1	0	1	3	0	2	0	1	0	3	3	0
Hhon_g03425.t1	1	2	2	1	1	3	5	1	6	0	2	0	0	2	0
Hhon_g03426.t1	12	46	25	7	13	9	41	26	89	13	32	19	17	17	4
Hhon_g03427.t1	1	5	1	1	3	1	0	1	5	0	3	4	1	1	0
Hhon_g03429.t1	2	12	9	2	5	1	12	7	25	3	12	11	6	9	2
Hhon_g03430.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_g03431.t1	0	3	24	0	1	2	7	5	8	0	1	0	1	0	0
Hhon_g03433.t1	1	4	4	1	5	0	7	3	6	1	0	2	7	0	0
Hhon_g03434.t1	1	13	2	1	0	2	5	5	26	3	3	4	3	3	2
Hhon_orphan_695	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Hhon_g03437.t1	25	57	19	13	22	8	23	26	38	2	13	29	12	5	4
Hhon_g03438.t1	1	0	0	13	7	0	7	18	35	0	0	0	0	0	0
Hhon_g03442.t1	0	0	2	0	0	0	0	0	5	0	0	0	6	0	0
Hhon_orphan_697	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g03444.t1	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0
Hhon_g03445.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03455.t1	0	1	0	0	0	1	9	0	0	0	1	0	0	0	0
Hhon_g03458.t1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g03462.t1	134	322	109	32	42	44	205	207	688	33	108	119	87	59	25
Hhon_g03463.t1	6	23	62	7	24	45	206	3	150	10	65	14	63	30	8
Hhon_g03464.t1	2	3	16	2	4	12	45	0	20	7	15	3	10	9	5
Hhon_orphan_700	0	1	0	0	0	1	6	2	10	1	9	1	10	0	6
Hhon_g03465.t1	11	28	18	6	6	4	26	12	43	3	7	15	7	5	1
Hhon_g03467.t1	4	13	11	3	6	0	31	26	66	0	38	6	7	4	1
Hhon_g03468.t1	1	5	2	1	1	2	3	1	4	0	0	2	0	3	0
Hhon_g03470.t1	0	1	6	0	0	1	0	0	4	0	1	4	1	0	0
Hhon_g03471.t1	1	5	3	1	3	0	9	5	14	2	4	4	2	1	1
Hhon_g03473.t1	1	8	3	0	1	1	6	4	18	3	7	12	2	5	0
Hhon_g03475.t1	0	3	1	0	1	1	2	1	2	0	0	2	0	3	0
Hhon_g03476.t1	0	3	0	0	1	1	11	5	2	0	1	0	1	0	0
Hhon_g03477.t1	0	0	0	0	0	3	18	31	8	0	0	0	1	0	0
Hhon_g03478.t1	0	0	0	0	0	0	19	26	27	0	0	2	0	0	0
Hhon_g03479.t1	1	5	0	0	0	2	11	11	39	0	0	0	2	0	1
Hhon_g03481.t1	0	2	2	0	0	0	1	0	1	0	1	1	2	2	0
Hhon_orphan_701	6	2	2	1	0	0	0	0	2	0	1	1	0	0	0
Hhon_g03484.t1	1	6	0	0	0	0	3	1	5	0	2	3	1	2	1
Hhon_g03486.t1	0	2	1	0	1	1	3	0	4	0	1	2	0	1	1
Hhon_g03487.t1	117	218	71	15	41	30	169	165	521	28	108	102	62	76	22
Hhon_orphan_702	7	1	2	0	0	0	0	0	3	2	1	0	0	0	1
Hhon_g03491.t1	0	0	0	0	0	0	0	2	30	0	2	0	0	0	0
Hhon_g03493.t1	3	18	5	1	0	2	42	25	13	0	0	4	2	5	1
Hhon_g03496.t1	1	0	0	2	0	0	2	0	8	0	5	1	0	1	1
Hhon_g03499.t1	6	13	12	2	7	10	10	7	25	4	7	11	9	5	4
Hhon_orphan_704	0	6	1	2	1	0	17	7	18	0	0	1	3	6	3
Hhon_g03500.t1	1	15	15	0	9	5	11	8	18	0	0	0	3	2	0
Hhon_g03502.t1	0	3	6	1	0	2	2	2	3	0	2	2	0	4	1
Hhon_g03504.t1	0	0	0	1	1	0	5	1	33	3	1	2	0	0	1
Hhon_orphan_705	0	5	7	0	1	3	12	9	6	0	0	3	4	0	3
Hhon_g03508.t1	0	2	0	0	0	0	0	1	1	1	3	0	0	1	0
Hhon_g03510.t1	3	9	5	1	1	1	2	0	12	1	6	3	4	2	0
Hhon_g03513.t1	0	1	0	0	0	0	2	0	4	0	0	0	1	0	1
Hhon_g03514.t1	0	6	2	1	2	0	25	11	2	2	2	1	1	4	1
Hhon_g03515.t1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0
Hhon_g03516.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g03517.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g03520.t1	3	14	4	1	1	1	50	12	2	2	1	4	0	7	0
Hhon_g03521.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03524.t1	139	328	66	25	40	38	186	89	301	19	62	90	44	63	30
Hhon_g03526.t1	1	5	3	0	1	0	3	0	2	0	0	0	1	1	1
Hhon_orphan_706	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0
Hhon_g03527.t1	0	0	3	0	0	2	0	10	0	23	13	0	0	0	0
Hhon_g03529.t1	1	20	2	1	2	0	5	3	7	0	1	2	0	5	1
Hhon_g03531.t1	1	4	2	0	6	1	3	5	6	3	3	3	0	3	3
Hhon_g03533.t1	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0
Hhon_g03538.t1	10	65	5	2	2	5	12	5	21	2	7	22	1	4	3
Hhon_g03539.t1	24	120	88	27	49	27	109	78	200	14	49	136	46	30	13
Hhon_g03541.t1	2	5	11	3	3	0	6	5	23	1	5	1	2	5	6
Hhon_orphan_707	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0
Hhon_g03543.t1	0	1	1	0	1	1	1	1	3	2	4	3	0	0	1
Hhon_g03545.t1	0	1	0	0	1	0	1	0	5	2	0	0	2	1	0
Hhon_g03548.t1	4	16	6	1	0	4	8	2	19	4	4	2	1	2	0
Hhon_orphan_708	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0
Hhon_g03551.t1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0
Hhon_g03552.t1	1	6	12	1	2	1	5	3	11	2	3	8	1	2	0
Hhon_g03555.t1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0
Hhon_g03556.t1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g03558.t1	2	7	3	4	4	5	6	3	10	2	2	6	5	4	0
Hhon_g03561.t1	0	1	4	0	0	0	3	5	0	0	0	0	0	1	1
Hhon_orphan_710	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g03563.t1	13	37	9	6	4	10	71	49	259	2	53	18	33	22	9
Hhon_g03565.t1	4	11	9	1	2	1	2	6	11	1	0	5	4	1	0
Hhon_g03567.t1	2	1	1	0	0	1	3	1	8	0	1	0	0	0	0
Hhon_orphan_711	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0
Hhon_g03569.t1	15	38	17	59	134	80	104	26	93	12	35	22	18	26	9
Hhon_g03571.t1	1	6	1	1	1	1	3	3	11	2	1	7	4	0	1
Hhon_g03573.t1	0	0	0	0	1	0	6	12	0	0	0	0	1	0	0
Hhon_orphan_713	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Hhon_g03495.t1	0	0	0	1	0	1	4	2	3	1	2	1	8	0	0
Hhon_orphan_714	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0
Hhon_g03497.t1	0	1	0	0	2	0	1	2	2	0	10	0	2	1	0
Hhon_g03498.t1	0	17	18	5	15	10	35	10	46	7	10	5	7	3	3
Hhon_orphan_715	0	0	1	1	6	1	15	3	17	1	0	2	0	0	0
Hhon_orphan_716	0	3	5	0	0	0	8	0	0	0	0	0	1	2	2
Hhon_g03501.t1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2
Hhon_g03503.t1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Hhon_orphan_717	0	0	0	0	0	0	2	0	1	0	0	0	0	1	2
Hhon_g03505.t1	2	15	13	3	5	2	15	17	25	4	9	21	3	7	4
Hhon_g03506.t1	0	8	6	2	2	1	4	0	5	0	2	10	2	4	3
Hhon_orphan_718	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Hhon_g03507.t1	2	9	2	1	0	0	8	1	7	0	1	2	4	0	0
Hhon_g03509.t1	147	386	136	41	78	65	300	256	938	67	196	185	135	109	46
Hhon_g03523.t1	10	42	8	0	4	3	30	20	73	10	17	20	6	15	4
Hhon_g03525.t1	2	6	4	0	2	2	3	2	6	0	2	1	1	1	3
Hhon_orphan_719	0	0	0	0	0	0	0	4	0	7	1	0	0	0	0
Hhon_orphan_720	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
Hhon_g03528.t1	3	5	4	1	1	1	4	1	3	0	1	0	1	0	0
Hhon_g03530.t1	0	0	0	0	1	0	1	0	4	1	1	0	0	1	0
Hhon_g03532.t1	1	6	6	3	1	6	9	1	8	1	4	0	3	3	0
Hhon_g03536.t1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
Hhon_g03537.t1	1	5	1	3	1	3	5	1	6	0	3	2	3	3	1
Hhon_g03540.t1	1	8	2	1	1	2	3	3	6	1	3	3	0	2	1
Hhon_g03542.t1	0	10	35	4	16	14	39	9	23	7	12	9	12	11	18
Hhon_orphan_722	0	1	6	3	2	3	8	2	4	1	1	3	0	0	0
Hhon_g03544.t1	0	1	4	1	0	0	2	2	10	0	1	1	2	1	0
Hhon_g03546.t1	0	0	0	1	0	1	5	0	5	1	2	1	1	0	0
Hhon_g03547.t1	3	9	6	1	1	1	8	5	11	1	2	5	3	2	0
Hhon_g03549.t1	4	13	12	5	10	10	19	3	36	1	6	6	5	3	1
Hhon_g03550.t1	0	3	0	0	0	1	4	1	10	0	7	4	3	0	0
Hhon_g03553.t1	6	7	7	4	2	2	11	4	9	2	3	9	1	2	3
Hhon_g03554.t1	133	314	550	93	126	183	737	169	811	133	212	120	130	203	42
Hhon_g03557.t1	11	40	24	6	11	11	33	16	94	5	25	22	8	11	5
Hhon_g03559.t1	0	7	5	1	2	3	8	1	14	5	5	4	9	0	0
Hhon_g03560.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03562.t1	3	4	2	0	3	0	1	3	4	0	1	3	0	0	0
Hhon_orphan_724	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03564.t1	17	74	30	6	7	12	58	22	113	7	26	39	14	17	5
Hhon_g03566.t1	0	0	1	0	1	1	1	0	3	0	1	1	0	0	0
Hhon_g03568.t1	2	2	7	2	10	7	20	6	43	2	11	14	3	1	0
Hhon_g03570.t1	5	12	9	2	17	4	15	4	20	4	7	17	10	5	6
Hhon_g03572.t1	3	6	0	1	1	1	4	0	15	0	3	4	0	1	2
Hhon_g03576.t1	1	1	3	0	1	0	3	2	6	0	3	3	1	3	0
Hhon_g03578.t1	5	13	10	1	6	2	17	4	33	2	7	0	4	3	3
Hhon_g03581.t1	6	22	18	7	8	13	34	8	57	2	14	18	10	8	7
Hhon_g03583.t1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Hhon_g03585.t1	19	56	23	3	4	5	31	9	50	6	10	0	12	7	0
Hhon_g03587.t1	0	3	4	1	0	1	1	0	2	0	2	0	0	3	1
Hhon_g03589.t1	1	4	3	1	1	5	9	10	9	2	5	3	3	0	2
Hhon_g03591.t1	7	14	8	0	0	2	9	11	22	2	5	5	4	10	3
Hhon_orphan_726	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g03594.t1	0	3	2	1	0	1	1	0	5	2	1	3	1	5	1
Hhon_g03595.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g03597.t1	0	1	1	0	0	0	1	0	3	0	2	0	0	2	1
Hhon_orphan_728	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
Hhon_g03601.t1	2	2	0	1	0	0	2	2	1	0	1	1	3	0	2
Hhon_orphan_729	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0
