peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00068.t1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
Hhon_g00071.t1	18	68	21	8	5	7	34	22	68	7	26	24	14	15	4
Hhon_g00073.t1	1	11	2	1	1	0	1	3	5	1	0	4	2	2	3
Hhon_g00074.t1	0	4	4	1	0	5	4	3	5	3	1	1	2	1	1
Hhon_g00078.t1	0	0	2	0	1	1	4	3	4	0	1	4	0	0	0
Hhon_orphan_11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00079.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00082.t1	9	69	15	3	18	14	34	20	86	5	27	26	9	18	9
Hhon_g00084.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_g00086.t1	1	3	5	0	0	2	7	0	5	2	1	1	4	0	1
Hhon_g00088.t1	3	9	6	2	1	2	4	4	30	3	8	5	1	3	0
Hhon_g00089.t1	1	5	2	3	6	4	12	6	11	2	3	4	7	2	0
Hhon_g00091.t1	2	11	11	1	24	7	22	6	46	3	9	10	7	7	2
Hhon_g00092.t1	352	401	203	68	154	276	687	332	993	63	185	128	162	106	56
Hhon_g00094.t1	1	1	1	0	0	2	4	1	3	8	5	4	0	1	1
Hhon_g00095.t1	0	2	2	1	2	2	4	1	7	0	1	2	2	1	2
Hhon_g00097.t1	2	1	1	0	0	0	3	0	8	2	0	1	0	2	0
Hhon_g00100.t1	0	2	0	0	0	0	2	0	2	0	0	2	0	1	0
Hhon_orphan_12	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
Hhon_g00103.t1	2	19	12	6	8	2	12	8	25	7	6	14	14	8	0
Hhon_g00104.t1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
Hhon_g00106.t1	1	5	1	1	0	6	5	0	13	0	0	1	2	11	6
Hhon_g00108.t1	2	4	1	0	0	0	2	0	7	0	1	1	0	2	1
Hhon_g00110.t1	2	6	3	0	3	4	10	2	18	0	6	13	1	4	4
Hhon_g00112.t1	0	12	19	4	3	7	23	2	18	9	14	17	5	3	4
Hhon_g00115.t1	3	14	33	1	6	8	41	16	72	11	22	20	18	16	5
Hhon_g00116.t1	0	9	8	0	0	1	74	0	4	7	17	4	23	2	13
Hhon_g00117.t1	0	0	1	0	0	1	0	0	6	1	1	1	0	1	0
Hhon_g00118.t1	0	1	0	0	0	0	0	0	1	0	5	1	1	0	0
Hhon_g00119.t1	214	396	145	49	72	74	333	262	1618	64	219	185	129	137	61
Hhon_g00120.t1	0	1	2	0	2	1	4	0	210	0	2	0	0	0	0
Hhon_orphan_13	0	2	1	0	0	3	0	0	1	0	0	0	0	1	1
Hhon_g00122.t1	2	11	3	0	2	4	18	9	11	1	3	0	1	5	1
Hhon_g00124.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Hhon_g00126.t1	0	12	49	0	8	17	142	6	90	18	43	12	95	0	0
Hhon_g00128.t1	3	3	0	0	0	0	2	2	6	0	1	3	1	1	1
Hhon_g00132.t1	7	16	9	3	2	1	26	4	28	3	11	9	5	6	3
Hhon_g00134.t1	1	7	3	1	0	3	6	0	5	2	0	4	0	2	1
Hhon_g00136.t1	0	2	0	0	0	2	3	0	3	0	1	0	1	3	0
Hhon_g00138.t1	0	14	10	0	1	2	6	0	11	2	4	3	1	5	6
Hhon_g00141.t1	21	75	21	4	21	16	45	19	93	5	19	31	10	22	10
Hhon_g00144.t1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hhon_g00145.t1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0
Hhon_orphan_14	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
Hhon_g00149.t1	2	5	3	0	0	6	1	2	8	2	3	4	0	2	0
Hhon_g00152.t1	0	3	0	0	0	0	1	2	4	3	3	3	3	1	0
Hhon_orphan_15	0	4	4	0	0	0	3	1	2	2	5	6	1	1	0
Hhon_g00156.t1	12	31	26	0	2	8	31	9	38	2	12	12	7	3	3
Hhon_g00159.t1	69	184	135	26	35	46	154	124	295	26	73	53	51	76	22
Hhon_g00161.t1	3	9	4	1	0	3	7	2	8	1	7	9	1	4	0
Hhon_g00162.t1	2	5	2	1	1	1	6	4	12	4	15	1	3	4	0
Hhon_g00164.t1	3	31	7	1	4	2	10	14	28	3	13	8	5	4	1
