lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_orphan_694	7	0	0	0	1	0	0	1	1	1	0	0	7	0	1	1	4	4	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
HoiH23_orphan_695	5	0	0	0	0	2	0	1	0	1	1	1	10	0	0	5	4	3	10	0	2	0	0	0	0	0	0	2	0	1	0	1	1	1	0
HoiH23_PlH23_007832	3	0	0	0	0	5	2	0	0	1	1	0	8	3	0	1	5	1	17	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0
HoiH23_orphan_696	0	0	0	0	0	2	0	0	0	0	1	0	8	0	0	0	5	0	10	0	0	1	1	0	1	0	2	3	0	0	0	0	0	0	0
HoiH23_PlH23_007833	21	1	2	0	1	1	1	0	5	7	3	0	44	1	1	20	30	19	40	0	6	2	2	1	2	1	4	3	1	4	2	2	1	0	2
HoiH23_PlH23_007835	10	1	2	2	2	3	3	3	1	4	0	1	25	1	0	5	11	6	11	0	1	1	0	0	1	0	3	1	2	1	1	1	1	1	0
HoiH23_orphan_697	3	1	1	0	0	0	0	1	0	1	2	1	9	1	0	2	4	3	4	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
HoiH23_PlH23_007837	59	0	13	1	1	15	18	1	9	29	4	4	158	4	2	52	105	55	125	3	6	5	0	1	1	2	11	6	7	10	10	2	4	1	1
HoiH23_PlH23_007838	38	1	3	1	1	14	9	2	5	10	5	5	112	6	2	33	67	29	72	0	0	3	5	6	2	1	9	2	6	7	3	6	5	1	2
HoiH23_PlH23_007839	21	0	3	0	1	8	4	2	7	12	2	1	60	4	3	15	27	23	34	0	4	1	4	1	0	3	8	1	0	3	4	3	3	1	1
HoiH23_PlH23_007841	69	1	11	0	1	22	17	0	10	30	11	4	169	6	3	79	106	55	133	4	4	8	3	2	6	2	14	11	3	7	4	5	3	4	0
HoiH23_PlH23_007843	114	3	18	2	5	40	50	2	22	47	19	4	308	10	5	118	214	95	236	9	8	12	7	4	10	12	32	10	8	23	16	16	11	9	5
HoiH23_orphan_699	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
HoiH23_PlH23_007845	33	1	5	3	1	11	11	0	4	13	6	2	70	3	3	38	49	25	65	2	2	0	5	2	1	2	6	3	3	4	9	1	2	2	0
HoiH23_PlH23_007848	57	1	14	0	4	15	9	1	15	33	8	4	150	4	7	59	97	43	120	1	6	4	3	6	2	2	18	9	3	7	12	3	9	8	2
HoiH23_PlH23_005513	59	4	16	2	3	10	18	3	6	26	7	4	189	10	4	43	93	40	92	3	9	5	3	5	4	1	10	14	2	4	2	0	5	2	0
HoiH23_PlH23_005514	131	7	22	1	6	20	36	3	11	52	10	11	300	8	1	60	167	66	117	4	22	12	5	1	9	6	21	3	6	9	5	10	9	5	0
HoiH23_PlH23_005516	67	2	8	8	1	15	18	0	10	45	15	7	191	5	5	55	100	44	80	1	7	9	3	2	4	1	10	9	4	15	6	6	5	2	2
HoiH23_PlH23_005518	38	0	8	0	0	11	22	2	6	10	11	4	99	3	0	41	69	33	105	4	6	3	5	1	1	2	19	4	3	7	3	4	2	4	0
HoiH23_PlH23_005521	84	3	4	3	5	15	25	6	20	25	8	3	182	6	3	69	137	61	136	8	7	12	3	2	1	6	28	10	4	7	9	16	4	2	2
HoiH23_orphan_700	15	0	2	1	1	4	8	0	2	3	6	1	33	0	0	10	19	14	27	1	2	0	0	1	0	2	3	3	1	3	3	2	2	0	0
HoiH23_PlH23_005525	63	1	13	4	2	27	29	4	10	20	10	7	183	9	3	76	121	56	179	3	8	10	5	4	5	6	20	7	10	12	3	7	4	3	1
HoiH23_PlH23_005527	110	2	9	7	2	48	30	2	22	28	23	0	316	11	2	153	226	106	220	14	14	17	7	8	8	12	36	20	19	16	3	9	16	6	7
HoiH23_PlH23_005529	84	1	14	1	3	25	33	4	15	33	20	5	249	9	3	105	158	69	184	3	9	9	0	5	6	3	31	5	5	12	13	11	4	11	3
HoiH23_PlH23_005531	207	6	23	5	16	62	69	6	52	78	43	5	534	13	4	222	423	175	393	19	19	23	8	11	7	24	56	28	17	46	16	20	29	15	7
HoiH23_PlH23_005532	65	2	12	4	0	20	29	1	26	38	7	1	206	3	3	65	125	67	108	4	7	8	5	2	9	4	15	9	6	10	4	3	3	11	1
HoiH23_PlH23_005515	79	2	3	1	1	24	19	0	9	19	7	4	163	2	4	50	89	52	115	5	9	11	1	1	6	4	15	11	6	7	7	7	8	3	1
HoiH23_PlH23_005517	48	0	1	2	0	7	7	2	9	17	2	2	83	1	1	26	59	33	71	0	3	5	3	3	2	1	8	5	3	5	2	5	0	0	1
HoiH23_PlH23_005519	8	0	1	1	0	3	3	0	1	8	2	0	16	0	1	10	12	4	16	2	1	0	0	1	0	0	5	0	0	0	3	1	1	0	0
HoiH23_PlH23_005520	33	1	5	2	0	8	6	1	3	9	6	1	65	2	0	22	33	18	47	1	0	4	0	0	1	1	7	4	0	2	1	0	0	2	0
HoiH23_PlH23_005522	123	3	13	4	7	31	44	0	35	47	15	10	349	9	4	122	217	122	218	7	11	14	4	7	11	5	35	15	13	17	11	8	15	12	1
HoiH23_PlH23_005523	34	1	1	0	1	11	13	0	10	15	4	3	83	4	1	24	48	25	54	2	3	0	0	0	0	0	9	8	4	2	1	1	4	1	0
HoiH23_PlH23_005524	79	4	20	0	7	29	34	2	15	37	11	8	248	15	2	61	138	70	151	4	5	13	6	4	3	4	29	11	4	11	9	8	10	5	2
HoiH23_PlH23_005526	32	1	4	1	1	5	6	3	8	17	5	3	64	6	1	18	56	19	35	2	1	3	2	2	2	4	6	2	1	5	0	4	2	1	0
HoiH23_PlH23_005528	196	7	32	4	5	69	45	8	32	56	24	14	448	16	9	177	288	119	265	11	9	11	6	4	9	6	39	30	6	21	10	16	13	6	4
HoiH23_PlH23_005530	141	8	7	4	5	37	41	6	26	51	21	10	357	8	10	141	229	113	260	4	16	9	7	5	9	12	37	14	6	17	13	10	10	8	3
HoiH23_PlH23_005533	22	1	4	1	2	12	7	1	1	11	2	1	36	9	5	12	29	13	35	0	1	1	3	0	2	2	8	0	3	3	1	1	0	2	3
HoiH23_PlH23_005534	2	0	0	0	0	2	0	0	0	1	0	0	1	0	0	2	3	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
HoiH23_PlH23_005535	8	3	2	0	0	1	1	1	1	6	0	0	23	1	0	8	8	3	10	0	3	1	0	0	1	1	1	0	0	0	0	1	1	1	0
HoiH23_PlH23_005536	11	1	4	0	1	3	4	0	2	10	0	2	24	0	0	3	16	11	15	0	3	0	0	2	2	0	2	0	1	0	0	0	2	0	0
HoiH23_PlH23_008080	1288	39	191	37	56	321	303	56	236	506	189	83	3018	96	47	1009	1984	831	1959	71	130	109	41	53	57	81	284	115	90	124	106	95	98	68	18
HoiH23_PlH23_008082	1	0	0	1	0	1	0	0	1	1	2	0	6	0	0	6	3	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_008083	107	5	12	7	7	14	28	3	14	39	13	5	271	12	2	67	126	64	135	4	7	3	3	1	3	8	12	9	4	11	11	8	2	5	0
HoiH23_PlH23_008085	78	5	10	6	3	25	16	3	22	23	11	6	204	8	3	85	139	67	132	0	7	7	5	4	5	7	28	12	4	14	11	8	12	1	5
HoiH23_PlH23_008086	81	3	23	4	4	12	15	4	5	47	3	7	159	12	0	34	74	32	60	0	11	2	3	0	4	4	6	6	8	1	2	2	2	2	0
HoiH23_PlH23_008088	64	3	6	0	4	18	17	5	7	28	3	6	131	7	5	38	95	26	84	4	2	4	0	1	3	1	10	5	2	8	6	4	5	1	1
HoiH23_orphan_701	13	0	0	0	0	1	2	0	0	1	2	0	18	1	1	4	8	6	7	1	0	0	0	0	0	0	2	0	0	0	0	2	1	1	0
HoiH23_PlH23_008091	20	2	6	0	0	4	3	0	2	13	2	2	40	0	1	15	32	12	21	2	1	1	1	3	1	1	8	2	1	2	0	0	1	2	0
HoiH23_PlH23_008092	130	2	13	5	6	31	35	3	25	44	16	4	292	7	3	94	163	104	193	9	14	10	4	4	8	7	27	15	8	14	9	9	8	9	0
HoiH23_orphan_702	4	0	1	0	0	0	0	0	1	3	1	1	10	0	0	2	8	6	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_008094	29	0	3	0	2	24	7	2	2	30	4	6	158	3	0	57	93	21	53	4	8	0	4	0	0	1	27	9	3	4	4	1	1	5	0
HoiH23_orphan_703	16	0	0	1	0	5	6	0	2	11	2	1	34	0	2	24	25	8	26	1	3	3	0	1	0	2	2	2	3	1	3	4	0	1	0
HoiH23_PlH23_008095	1	0	0	1	0	2	0	1	0	0	2	0	5	1	0	5	4	4	5	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_008097	133	7	22	3	1	49	44	5	39	56	20	3	378	16	4	140	283	116	291	9	7	18	5	5	8	15	47	17	13	20	15	20	11	8	4
HoiH23_PlH23_008099	278	20	16	6	5	109	99	7	71	46	37	2	581	17	10	257	405	224	514	12	16	21	7	8	18	27	95	21	29	44	31	45	13	7	8
HoiH23_orphan_704	9	0	1	0	0	4	6	0	3	5	4	1	50	2	0	15	16	14	31	3	1	3	0	0	1	3	8	2	0	2	1	5	3	0	0
HoiH23_PlH23_008081	205	5	40	9	7	68	70	9	40	88	32	12	509	28	12	185	353	156	382	12	24	18	9	8	10	11	43	13	16	36	13	21	17	9	4
HoiH23_PlH23_008084	163	7	27	2	5	52	59	4	41	63	24	9	372	6	11	156	261	128	318	12	17	13	8	16	12	9	43	16	8	19	20	15	9	6	4
HoiH23_PlH23_008087	111	1	19	7	4	25	42	4	26	50	15	8	258	8	5	92	155	88	184	5	14	10	3	4	5	10	22	14	7	9	8	6	14	7	2
HoiH23_orphan_705	3	1	0	1	0	1	0	0	0	1	0	0	3	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_008089	45	6	20	3	2	3	9	3	3	29	0	10	133	10	1	19	58	26	43	0	7	2	1	0	4	2	6	1	3	4	3	3	5	7	3
HoiH23_orphan_706	13	0	0	0	1	1	2	0	1	1	0	0	14	4	0	2	9	1	6	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_008090	170	7	33	4	1	19	29	5	19	70	24	16	340	16	3	92	188	65	123	9	16	6	0	2	3	5	23	6	7	7	5	5	11	13	0
HoiH23_orphan_707	5	0	0	2	0	2	1	0	0	1	0	0	9	1	0	7	11	6	5	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0
HoiH23_PlH23_008093	1189	41	200	41	72	280	293	45	182	491	112	78	2913	101	38	800	1673	766	1753	58	90	92	37	36	51	77	238	113	92	95	84	92	78	77	24
HoiH23_orphan_708	5	0	3	0	0	0	1	0	0	2	0	1	12	0	0	2	5	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
HoiH23_orphan_709	3	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	4	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
HoiH23_PlH23_008096	37	1	5	3	2	12	9	1	7	11	9	1	102	4	2	37	60	45	64	4	3	7	3	2	4	4	16	3	4	5	4	3	4	7	2
HoiH23_PlH23_008098	65	2	15	1	4	29	19	4	10	17	11	1	160	8	4	54	118	37	129	2	2	10	0	3	4	5	18	10	2	10	6	9	7	3	4
HoiH23_orphan_710	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_711	1	0	0	0	0	1	0	0	1	0	0	0	8	0	0	5	4	3	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_008100	15	0	0	0	0	4	4	0	2	4	11	1	40	2	2	15	21	13	23	0	0	1	0	0	0	0	2	3	1	1	0	0	0	2	1
HoiH23_PlH23_008101	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_008102	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_008103	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007982	16	0	3	0	2	7	8	0	6	5	3	0	39	1	0	26	28	20	36	2	0	5	0	0	1	0	5	7	0	1	2	3	0	0	0
HoiH23_PlH23_007985	178	8	28	6	4	49	65	9	29	68	32	12	521	41	10	201	345	150	379	8	14	23	5	6	14	8	61	13	17	27	15	19	25	3	2
HoiH23_orphan_712	2	0	0	0	0	0	0	1	1	0	0	0	13	0	0	0	3	2	3	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0
HoiH23_orphan_713	19	1	1	0	0	7	3	3	1	10	6	1	49	2	0	19	39	18	45	0	5	3	1	4	1	1	6	2	1	0	0	4	5	2	0
HoiH23_PlH23_007992	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_007993	35	0	8	2	2	13	13	0	7	11	8	2	111	3	1	42	62	35	73	2	5	6	1	3	3	2	8	4	1	8	4	4	2	1	0
HoiH23_PlH23_007995	68	0	8	1	2	25	21	2	13	37	12	2	170	5	5	72	127	61	141	2	8	7	4	4	7	6	21	8	5	6	6	8	3	3	2
HoiH23_PlH23_008000	54	4	9	2	1	17	16	1	7	23	8	4	135	0	6	53	100	37	105	3	4	1	3	2	5	3	19	6	4	14	6	11	7	2	0
HoiH23_PlH23_007983	46	2	9	1	4	16	10	1	7	18	7	2	132	1	3	51	62	29	62	3	6	2	2	4	3	5	19	4	3	5	3	3	2	2	1
HoiH23_PlH23_007984	636	17	100	27	20	199	202	19	124	225	88	34	1740	66	35	660	1108	532	1210	51	60	77	24	33	41	60	196	88	49	91	51	73	53	44	17
HoiH23_PlH23_007986	22	0	0	0	0	8	7	1	4	6	6	0	87	2	3	31	65	21	61	3	2	3	2	0	0	1	5	4	1	1	3	5	2	4	1
HoiH23_PlH23_007987	11	0	1	0	0	2	0	1	2	5	2	0	21	1	0	9	9	6	24	0	0	0	0	2	0	0	2	1	0	0	0	1	2	0	0
HoiH23_PlH23_007988	2	0	2	0	0	2	6	0	1	3	0	0	4	0	0	2	8	5	9	1	0	1	0	0	1	0	2	1	0	1	0	0	0	0	1
HoiH23_PlH23_007990	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_007991	45	3	8	1	0	9	15	0	7	18	11	2	117	5	1	39	50	29	70	2	3	3	2	2	1	3	13	4	5	2	5	2	4	1	0
HoiH23_PlH23_007994	321	15	41	9	9	81	98	15	49	112	30	15	658	27	11	235	418	194	423	9	29	24	14	9	18	11	80	29	20	25	21	22	23	13	5
HoiH23_PlH23_007996	33	0	6	3	2	19	19	3	17	24	13	4	106	7	3	59	77	41	129	0	7	4	2	4	0	6	5	7	5	4	3	8	3	6	3
HoiH23_PlH23_007997	5	0	0	0	1	1	2	0	1	1	0	0	14	1	0	6	10	12	7	1	0	0	0	0	0	1	4	2	0	1	1	3	1	1	0
HoiH23_orphan_714	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007998	10	0	0	0	1	5	5	0	4	4	2	0	21	0	1	16	15	5	22	3	1	0	0	3	0	2	4	5	3	5	2	2	1	2	1
HoiH23_PlH23_007999	37	0	8	2	0	7	18	0	7	20	1	3	103	4	2	35	56	32	58	2	1	3	2	1	2	1	4	10	5	9	3	4	4	3	0
HoiH23_PlH23_008001	118	3	17	2	5	27	53	5	36	28	7	2	286	12	5	115	200	89	251	10	15	13	4	4	7	9	36	16	11	17	9	20	18	7	1
HoiH23_PlH23_006249	21	0	5	0	0	7	7	1	5	7	2	1	45	0	2	25	36	29	42	1	2	0	1	0	4	1	12	4	0	2	3	2	0	2	1
HoiH23_PlH23_006250	24	1	0	1	1	2	8	0	6	9	4	2	36	2	1	16	31	12	40	0	1	1	3	2	2	1	7	3	0	4	3	2	0	1	1
HoiH23_PlH23_006251	13	1	3	0	2	1	3	0	2	3	6	0	19	1	1	10	18	17	16	2	0	1	0	0	0	1	7	1	1	8	3	1	0	0	0
HoiH23_orphan_715	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006252	60	1	10	2	3	17	21	3	13	27	7	7	142	9	1	51	99	30	104	2	1	6	4	4	2	4	20	4	4	5	4	7	8	3	5
HoiH23_PlH23_006256	514	11	71	18	12	173	154	21	94	147	68	20	1162	42	20	461	816	359	861	25	42	51	18	27	21	33	146	50	34	61	30	65	35	29	20
HoiH23_PlH23_006258	36	2	1	2	2	22	14	3	14	22	14	2	95	2	2	49	59	18	81	0	5	3	2	5	3	0	11	5	4	1	3	3	3	2	1
HoiH23_orphan_716	0	0	0	0	0	1	0	0	1	0	1	0	4	0	0	1	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
HoiH23_PlH23_006260	83	4	9	3	9	35	30	2	17	35	15	8	239	9	9	60	157	67	164	2	7	8	4	6	7	5	22	13	2	18	9	14	5	5	2
HoiH23_PlH23_006261	89	2	8	4	0	19	23	3	21	20	11	3	207	6	2	59	142	52	147	7	11	9	2	2	3	4	24	5	11	13	7	8	6	0	2
HoiH23_PlH23_006263	93	2	15	4	1	26	33	3	24	34	12	2	208	13	2	88	140	55	143	3	5	7	0	7	6	6	33	12	5	14	6	9	9	5	1
HoiH23_PlH23_006247	3	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_006248	39	1	12	3	3	20	11	4	4	15	8	0	100	3	2	47	82	32	107	1	0	1	4	1	5	4	11	10	1	5	2	7	0	1	2
HoiH23_orphan_717	3	0	0	0	0	1	0	0	0	0	0	0	4	1	0	3	2	1	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0
HoiH23_orphan_719	9	1	0	0	1	4	8	0	3	5	5	0	22	0	0	9	7	5	13	0	1	0	0	0	0	0	4	3	0	1	1	4	0	0	0
HoiH23_orphan_720	1	0	0	1	0	1	0	0	0	1	0	0	17	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0
HoiH23_PlH23_006253	124	6	15	5	6	40	34	2	29	50	23	11	371	5	12	135	219	95	241	11	19	15	6	3	10	5	29	14	6	9	13	13	14	11	7
HoiH23_PlH23_006254	1	0	0	0	0	0	2	0	1	0	0	0	2	1	0	1	1	4	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
HoiH23_PlH23_006255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006257	70	6	16	3	4	21	24	4	17	39	10	9	220	4	4	59	115	64	111	3	6	2	5	2	6	5	16	7	7	8	5	9	0	3	1
HoiH23_PlH23_006259	27	0	1	1	2	13	13	0	10	10	6	2	72	3	0	30	49	17	52	0	2	1	2	2	1	3	9	5	1	5	1	4	2	0	0
HoiH23_PlH23_006262	75	3	15	1	3	17	15	0	8	26	21	4	169	3	3	66	117	51	128	3	3	7	4	3	6	6	15	5	9	10	9	7	14	4	1
HoiH23_PlH23_006264	38	2	3	2	2	10	8	2	12	17	6	2	115	2	1	50	66	33	96	0	5	7	1	1	3	1	12	4	2	3	2	3	3	4	1
HoiH23_orphan_721	2	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	5	0	3	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0
HoiH23_PlH23_007094	76	2	5	0	4	28	24	3	18	15	11	1	155	9	2	57	125	74	118	6	6	3	4	5	4	3	27	13	8	5	4	9	7	2	0
HoiH23_PlH23_007097	97	3	14	4	6	27	23	4	22	46	10	8	258	10	6	91	172	73	161	9	9	7	3	3	3	9	42	9	10	10	8	8	6	4	2
HoiH23_PlH23_007101	407	7	62	6	16	137	164	10	92	145	68	25	1182	35	23	445	760	345	888	28	47	52	14	32	18	35	115	71	40	69	42	63	29	23	15
HoiH23_PlH23_007104	37	0	9	3	0	9	10	1	6	16	1	2	70	4	1	23	43	23	37	1	1	2	0	0	1	3	4	2	3	1	4	3	1	0	2
HoiH23_PlH23_007105	48	1	12	1	1	16	17	2	13	19	7	0	135	3	1	41	77	44	74	4	6	4	0	1	2	2	12	5	3	7	4	3	3	2	0
HoiH23_orphan_722	3	0	1	0	0	3	2	0	1	1	0	0	20	0	0	7	7	2	9	1	2	0	0	0	0	2	0	0	0	3	0	1	0	0	0
HoiH23_PlH23_007108	27	2	2	2	0	7	8	3	1	8	3	1	56	3	1	12	44	17	23	2	3	1	0	0	1	1	4	1	4	0	2	1	3	2	0
HoiH23_PlH23_007091	343	10	44	9	23	60	79	15	53	126	34	26	725	31	10	222	476	214	457	19	37	27	11	7	17	13	79	35	31	26	20	23	17	20	2
HoiH23_PlH23_007092	24	3	7	1	2	6	9	1	4	14	1	1	64	1	2	25	38	24	37	5	3	0	0	1	2	0	10	2	2	0	3	2	0	1	0
HoiH23_PlH23_007093	50	0	2	2	2	15	13	3	9	21	6	1	111	5	1	52	81	29	85	3	4	7	4	6	1	5	15	7	5	4	7	6	2	5	1
HoiH23_PlH23_007095	26	0	6	1	1	6	8	0	11	9	7	1	74	3	0	21	49	20	45	1	2	1	0	0	1	2	4	4	0	1	5	5	5	1	0
HoiH23_PlH23_007096	39	2	9	0	1	8	11	1	5	13	2	2	96	4	0	21	82	28	61	1	3	2	3	0	2	1	6	6	3	8	2	1	5	2	0
HoiH23_PlH23_007098	41	2	8	1	3	16	12	1	11	17	11	4	118	7	6	39	94	49	106	2	6	6	4	5	5	5	13	8	7	5	4	6	1	4	2
HoiH23_PlH23_007099	34	1	6	1	1	4	2	0	4	21	0	4	94	4	0	14	40	20	25	3	6	1	0	0	1	0	2	0	2	2	2	1	4	1	1
HoiH23_PlH23_007100	632	26	105	25	16	207	211	24	142	253	122	32	1707	64	33	687	1109	543	1261	46	87	78	38	28	38	53	191	80	38	96	64	87	65	40	18
HoiH23_PlH23_007102	21	1	2	0	1	3	13	0	0	5	3	0	48	2	1	17	24	9	39	3	0	0	0	2	1	3	4	4	3	4	1	0	2	2	0
HoiH23_PlH23_007106	72	2	12	5	7	21	23	3	12	36	11	4	251	15	5	64	141	65	129	7	8	10	2	8	3	4	20	8	3	12	7	7	9	5	0
HoiH23_PlH23_007107	55	0	9	5	3	16	17	0	13	27	3	6	140	5	4	61	103	45	93	2	5	7	3	4	4	3	12	8	7	4	5	9	4	9	2
HoiH23_orphan_723	3	0	0	0	0	0	1	0	0	2	0	2	11	0	0	5	6	6	7	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0
HoiH23_orphan_724	34	1	5	1	2	14	8	0	4	24	2	1	94	7	1	38	54	24	49	4	7	3	2	2	3	2	11	5	1	4	4	5	3	3	2
HoiH23_orphan_725	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_726	1	0	0	0	0	0	4	1	0	2	0	0	5	1	0	1	1	3	8	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0
HoiH23_PlH23_007804	984	15	139	26	41	386	371	25	241	363	144	47	2694	90	54	1142	1969	799	2213	51	98	113	73	46	75	95	306	164	81	155	138	123	88	61	33
HoiH23_orphan_727	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_728	4	0	2	0	0	1	0	0	2	1	0	1	11	1	0	5	7	3	7	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0
HoiH23_orphan_729	5	0	4	0	0	0	2	0	3	0	1	0	16	1	0	9	16	5	19	0	2	1	0	0	1	0	2	0	2	0	0	0	0	1	2
HoiH23_PlH23_007806	5	0	0	2	2	0	0	0	0	2	0	0	9	1	0	3	6	2	2	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0
HoiH23_PlH23_007807	220	7	38	5	10	33	69	9	38	121	26	16	612	23	9	175	385	143	341	10	29	24	11	8	16	14	60	29	21	23	15	14	15	17	2
HoiH23_PlH23_007809	328	3	50	11	14	94	81	19	44	142	40	22	767	38	10	282	531	216	490	21	21	24	14	6	21	17	83	28	24	31	21	33	20	15	4
HoiH23_PlH23_007811	53	3	7	0	1	10	13	1	12	11	6	1	119	8	4	40	90	38	98	6	3	7	2	3	4	4	9	7	4	9	5	3	9	3	2
HoiH23_PlH23_007812	106	4	23	2	2	21	34	1	24	50	11	3	239	11	6	69	129	62	144	1	10	13	5	3	5	6	27	8	4	5	6	10	4	5	1
HoiH23_orphan_730	1	1	0	0	0	1	0	0	0	0	0	0	7	0	0	1	3	2	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
HoiH23_PlH23_007819	33	1	3	1	1	6	6	4	4	10	7	0	64	5	1	32	47	27	57	1	5	3	2	1	1	3	10	0	0	7	6	2	2	1	1
HoiH23_orphan_731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_732	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007805	454	14	80	23	23	93	100	11	55	237	42	45	1141	65	18	368	675	278	580	20	32	50	18	10	30	21	74	42	19	36	29	40	25	25	4
HoiH23_orphan_733	7	0	3	1	0	4	3	0	2	5	2	2	28	1	1	5	13	5	9	0	1	0	0	0	1	0	3	1	0	1	1	1	1	1	0
HoiH23_PlH23_007808	137	5	17	6	6	41	40	8	17	38	12	8	321	12	6	106	192	89	234	5	10	11	3	4	4	10	25	24	13	15	10	7	11	5	5
HoiH23_PlH23_007810	573	7	67	22	18	178	202	22	125	191	86	26	1505	51	32	599	1054	470	1149	38	52	62	34	32	43	35	143	72	48	82	67	86	41	41	13
HoiH23_PlH23_007813	17	0	1	0	1	7	15	1	3	18	0	0	61	3	0	23	45	27	46	0	2	4	2	4	1	2	6	3	2	3	3	3	1	2	0
HoiH23_PlH23_007814	13	5	4	0	0	8	8	1	4	6	2	0	59	2	0	12	38	17	23	0	2	1	1	1	1	1	2	2	1	2	3	2	4	1	0
