lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000056	145	3	28	3	5	50	43	3	26	52	15	5	408	15	2	127	233	91	250	6	13	14	5	6	18	10	30	16	13	13	9	21	11	5	4
HoiH23_PlH23_000058	214	6	27	9	8	61	57	1	40	92	33	3	568	20	8	198	343	182	369	10	15	23	11	11	15	24	64	31	19	24	22	24	13	14	7
HoiH23_PlH23_000060	148	4	16	11	3	54	59	8	34	72	22	6	491	11	9	165	280	141	265	11	32	18	10	3	9	6	35	21	8	24	19	25	19	14	3
HoiH23_PlH23_000062	121	14	35	3	3	29	26	5	16	63	15	10	283	13	14	84	180	72	170	7	12	8	3	3	4	7	22	13	9	7	9	10	11	9	2
HoiH23_PlH23_000063	274	7	50	13	7	87	100	10	49	120	34	10	694	24	8	232	471	203	509	11	29	30	12	14	13	16	72	42	19	32	26	28	20	23	6
HoiH23_orphan_7	51	1	2	6	2	12	9	1	6	27	5	3	126	6	1	35	66	26	62	2	4	4	0	0	2	0	6	3	3	6	3	3	5	4	0
HoiH23_PlH23_000065	901	38	125	21	34	285	248	28	182	306	146	42	2315	91	33	835	1476	683	1630	52	74	84	39	51	53	90	242	117	73	111	77	94	64	53	21
HoiH23_PlH23_000066	335	7	61	13	16	91	123	8	73	141	57	18	876	30	18	344	574	243	599	27	34	36	15	25	26	31	83	45	31	47	41	33	28	21	5
HoiH23_PlH23_000067	102	5	21	5	7	25	40	6	17	54	27	5	314	19	5	101	225	92	188	8	10	20	4	5	8	8	35	14	12	15	11	10	10	16	2
HoiH23_orphan_8	1	1	0	0	0	1	4	1	1	0	0	0	10	0	0	2	4	3	5	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
