lipophil	trans	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Tadh_TriadG52252	31	23	5	14	29	8	103	33
Tadh_TriadG52253	121	72	14	41	117	40	264	105
Tadh_TriadG19828	31	13	3	9	42	17	61	26
Tadh_TriadG52259	10	8	2	7	13	4	32	8
Tadh_orphan_24	4	2	0	4	8	0	20	5
Tadh_TriadG52260	43	38	2	17	57	19	142	44
Tadh_TriadG52263	280	221	31	102	359	98	567	211
Tadh_TriadG63529	358	234	40	158	498	135	869	349
Tadh_TriadG52267	89	31	10	23	90	28	127	52
Tadh_wf_g1014	4	3	0	1	0	0	6	3
Tadh_orphan_25	10	7	1	4	19	5	32	14
Tadh_TriadG18774	152	86	19	52	170	51	345	161
Tadh_TriadG52272	60	33	10	22	99	22	151	60
Tadh_TriadG52275	56	35	10	28	75	25	168	45
Tadh_TriadG52276	56	37	10	35	55	21	112	55
Tadh_TriadG20232	43	25	4	17	52	17	93	46
Tadh_orphan_26	1	0	0	1	2	1	5	1
Tadh_orphan_27	0	0	0	0	1	1	6	2
Tadh_orphan_28	1	1	0	0	7	0	3	1
Tadh_TriadG52284	14	9	2	7	15	1	43	18
Tadh_orphan_29	1	1	1	1	3	1	3	1
Tadh_TriadG8076	68	51	7	31	70	23	176	73
Tadh_TriadG52287	98	40	6	41	82	30	202	91
Tadh_TriadG52288	74	41	7	30	87	30	160	56
Tadh_TriadG18823	0	0	0	0	0	0	1	2
Tadh_orphan_30	30	20	1	7	35	12	79	17
Tadh_TriadG18262	145	84	14	42	141	48	372	105
Tadh_TriadG18943	25	22	6	12	43	18	70	35
Tadh_TriadG52294	0	0	0	0	2	0	0	0
Tadh_wf_g1039	12	4	0	1	10	5	7	4
Tadh_orphan_31	2	5	1	0	5	0	7	4
Tadh_TriadG52295	45	22	7	24	44	8	111	32
Tadh_orphan_32	7	2	0	3	8	1	27	7
Tadh_TriadG52298	190	116	24	89	239	72	492	182
Tadh_TriadG52300	193	126	25	82	233	92	478	196
Tadh_orphan_33	1	2	0	2	3	0	6	2
Tadh_TriadG52303	90	73	10	31	151	37	259	90
Tadh_TriadG52305	21	27	3	17	35	10	68	38
Tadh_TriadG63531	3485	2324	382	1412	4621	1355	9071	3362
Tadh_TriadG18529	11	4	1	5	7	2	25	11
Tadh_TriadG20075	4	2	0	7	8	0	10	8
