lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00059.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_8	1	1	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_orphan_9	6	0	0	0	0	2	13	0	34	1	2	0	7	62	6	1	11	2	9	3	2	2	1	0	0	4	1	1	0	4	2	1	2	0	4	0	0	0
Hhon_g00065.t1	12	3	2	2	1	4	15	3	31	1	3	0	19	61	6	2	14	2	5	3	2	1	4	0	1	3	3	2	0	3	0	1	0	2	2	3	0	0
Hhon_orphan_10	6	1	2	0	1	3	12	1	40	1	2	1	10	73	10	1	16	1	11	4	2	3	1	1	3	0	1	2	0	1	2	1	1	4	0	1	0	1
Hhon_g00066.t1	44	3	1	11	12	19	61	4	109	1	3	5	46	164	21	10	51	5	17	14	4	1	6	1	3	4	11	7	2	6	2	6	3	7	12	3	1	3
Hhon_g00068.t1	7	2	0	3	3	1	9	0	26	0	1	2	14	40	5	2	14	3	2	2	3	1	1	1	1	1	4	0	1	1	0	0	0	1	1	1	0	0
Hhon_g00071.t1	604	45	27	123	116	175	669	46	1288	22	41	35	609	1590	260	158	722	32	163	115	23	30	63	17	25	32	124	47	17	128	22	41	61	89	122	28	24	27
Hhon_g00073.t1	87	4	7	22	18	28	106	4	183	4	6	4	100	238	30	25	114	10	23	24	6	4	9	3	7	7	23	11	1	22	1	3	2	14	16	2	4	2
Hhon_g00074.t1	41	3	2	10	13	19	32	1	95	4	2	0	40	141	28	7	50	4	17	8	3	3	2	2	3	6	6	2	0	10	1	4	5	5	8	2	2	1
Hhon_g00078.t1	53	2	0	15	8	16	39	3	63	2	1	3	31	122	14	13	61	1	4	11	3	2	5	0	3	7	11	2	3	9	1	6	3	4	2	5	1	3
Hhon_orphan_11	4	0	0	1	0	1	6	0	8	0	1	0	4	8	4	1	0	0	0	1	0	1	1	1	0	1	2	1	0	1	0	0	1	0	1	0	0	0
Hhon_g00079.t1	42	5	2	8	8	9	55	5	86	3	2	1	44	92	17	8	40	1	5	9	2	2	2	0	5	3	9	5	2	10	0	4	5	5	2	2	1	1
Hhon_g00080.t1	2	1	0	0	1	0	6	0	9	1	0	0	1	13	3	2	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	3	1	0	0	1
