lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00752.t1	29	1	4	6	12	5	39	1	70	2	2	3	27	88	20	9	36	3	8	8	3	3	4	0	0	0	6	5	2	5	2	2	5	9	5	1	1	2
Hhon_g00757.t1	51	5	3	16	5	19	54	1	120	2	5	6	62	133	23	13	70	2	13	12	0	7	4	1	4	3	5	8	0	19	1	3	1	5	10	2	3	1
Hhon_g00759.t1	10	3	0	5	3	5	34	0	61	1	1	3	20	66	10	5	22	1	7	1	2	0	4	0	1	0	4	2	1	3	0	0	3	2	3	0	0	1
Hhon_g00760.t1	3	1	1	0	1	1	11	0	16	1	0	0	4	20	4	3	4	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00762.t1	726	61	38	191	146	208	995	65	1660	38	67	45	805	2089	293	221	1026	37	221	174	45	65	93	28	30	55	163	65	22	170	13	38	66	121	143	26	17	39
Hhon_g00763.t1	17	0	0	4	3	4	23	1	40	1	3	1	31	55	8	6	36	2	3	3	0	2	3	0	1	1	3	0	1	5	1	0	1	1	1	1	0	1
Hhon_orphan_140	4	1	0	0	0	4	13	0	25	1	1	0	10	54	9	3	14	1	8	4	0	1	5	1	1	2	8	3	2	5	0	1	0	1	2	1	0	1
Hhon_g00765.t1	82	4	5	25	21	17	97	6	215	0	6	3	83	378	45	24	111	9	35	17	5	4	12	0	6	9	35	11	5	20	2	4	8	7	12	4	1	7
Hhon_orphan_141	0	0	0	0	0	2	7	0	4	1	0	0	2	8	0	1	7	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
Hhon_orphan_142	115	14	8	36	18	36	162	14	191	4	4	13	138	229	47	30	168	4	33	23	13	9	6	2	6	6	14	14	8	30	5	8	5	25	35	6	2	3
Hhon_g00769.t1	55	4	2	9	12	9	60	4	113	2	7	2	55	162	28	20	63	5	11	8	2	4	4	1	1	2	12	1	0	8	0	1	4	8	8	1	1	5
Hhon_g00771.t1	30	2	0	6	4	9	35	1	76	2	5	3	33	89	19	7	35	2	10	8	1	1	3	1	2	1	4	3	0	6	1	1	2	1	4	3	1	4
Hhon_g00773.t1	1	0	0	0	0	2	2	0	3	0	0	0	2	6	2	0	6	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0
Hhon_g00777.t1	572	53	39	131	78	175	823	53	1319	22	37	41	662	1647	237	195	757	37	148	113	14	33	61	10	45	48	126	53	18	156	13	49	44	89	114	19	15	18
Hhon_g00781.t1	102	3	2	22	17	27	113	6	222	4	8	7	116	243	49	27	132	8	27	22	6	8	7	0	6	5	20	9	1	13	1	8	6	10	20	2	1	2
Hhon_orphan_145	4	0	0	0	0	0	2	0	5	0	0	1	8	7	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00783.t1	15	1	0	1	4	5	21	1	24	1	2	1	18	43	8	6	11	0	3	4	0	1	2	0	0	1	3	2	0	4	0	1	1	3	4	0	0	2
Hhon_g00785.t1	13	1	0	3	8	4	20	0	49	1	2	0	27	64	7	7	24	1	9	6	1	0	1	0	0	1	3	1	1	4	2	1	2	4	4	2	0	0
Hhon_g00786.t1	24	2	3	5	6	9	45	2	62	2	2	2	30	92	13	7	42	0	8	10	0	1	4	1	0	2	10	2	2	9	0	1	2	4	4	2	1	2
Hhon_g00787.t1	32	3	4	9	3	7	39	8	61	1	3	2	33	90	14	8	37	4	11	7	2	0	6	2	1	1	7	0	0	6	1	1	8	5	10	1	1	1
Hhon_g00789.t1	64	2	5	11	19	17	92	7	161	6	8	7	92	202	28	22	84	2	12	22	3	3	5	1	3	8	20	7	2	17	3	6	5	13	19	0	1	5
Hhon_g00791.t1	16	0	1	4	4	4	18	5	38	1	1	4	18	61	13	3	25	1	8	10	0	1	0	0	0	3	9	0	0	6	1	3	1	2	4	1	2	1
Hhon_g00792.t1	18	2	1	2	11	11	31	2	59	0	7	1	25	69	16	5	30	6	4	6	0	1	1	3	2	0	5	0	1	5	2	4	5	2	1	0	1	1
Hhon_orphan_146	5	0	0	3	3	3	8	0	26	2	0	0	4	29	6	2	10	0	5	2	0	0	3	0	0	0	3	1	0	2	0	0	1	4	1	2	0	0
Hhon_g00794.t1	155	11	4	34	36	41	152	17	326	12	12	7	145	425	60	49	181	19	46	19	5	8	16	6	7	6	34	12	10	37	6	14	10	22	31	8	2	10
Hhon_g00796.t1	14	0	0	2	3	2	19	0	32	1	0	0	21	37	9	1	16	1	9	0	1	1	2	0	0	0	2	3	0	3	0	1	3	2	1	1	1	0
Hhon_g00797.t1	160	11	9	36	48	45	176	8	367	9	18	5	171	466	69	38	176	11	39	40	7	10	14	5	9	8	27	19	3	42	5	17	9	24	30	8	4	8
Hhon_g00798.t1	1	1	0	2	2	1	7	1	13	0	0	1	3	18	0	3	9	0	2	2	2	0	2	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0
Hhon_g00799.t1	56	3	0	5	15	17	59	4	82	4	5	0	53	137	28	10	55	8	17	8	1	2	4	0	0	2	11	8	0	9	3	1	6	3	6	1	5	4
Hhon_g00801.t1	69	5	9	14	17	20	98	5	196	6	10	5	88	296	43	22	113	8	20	26	5	5	7	2	4	0	18	15	2	29	2	2	7	10	17	6	8	6
Hhon_orphan_147	4	1	0	1	1	1	7	0	12	0	0	0	6	33	2	1	6	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0
Hhon_g00802.t1	452	49	28	87	96	101	567	41	1060	35	29	19	475	1408	189	128	558	39	131	83	21	27	59	14	25	33	100	49	19	114	16	24	55	43	97	13	15	25
Hhon_g00807.t1	40	5	0	14	11	10	58	1	110	5	0	1	47	134	18	12	53	4	12	13	3	1	3	1	1	2	6	8	0	10	0	1	6	4	14	2	1	4
Hhon_g00810.t1	42	1	3	7	6	15	54	3	79	0	4	0	30	98	20	8	39	3	9	4	0	2	1	2	2	1	6	3	2	13	0	2	2	4	8	0	1	4
Hhon_g00812.t1	140	12	7	28	38	23	146	10	244	4	7	6	116	326	46	31	136	12	32	29	5	6	11	3	7	4	20	7	7	17	4	9	8	10	28	5	7	5
Hhon_g00813.t1	53	5	4	15	7	7	49	4	82	1	4	0	47	102	12	15	68	4	11	16	1	1	6	1	2	7	11	4	1	11	2	3	3	2	3	3	2	2
Hhon_g00815.t1	21	0	0	3	3	5	14	2	46	0	2	0	17	49	9	6	19	2	5	3	0	0	4	2	0	1	4	0	0	5	0	0	0	3	4	2	0	2
Hhon_g00816.t1	244	19	9	68	44	76	337	16	592	11	18	19	244	762	90	72	286	21	89	47	17	11	26	10	11	20	52	31	6	69	11	15	27	29	55	12	3	20
Hhon_g00817.t1	42	10	1	4	14	9	39	3	85	1	2	1	45	116	12	11	45	2	12	3	2	4	3	1	6	1	5	4	1	9	0	2	4	5	8	0	1	2
Hhon_g00821.t1	19	2	0	1	2	0	22	0	33	0	0	0	13	40	3	2	16	0	3	6	0	3	3	1	0	1	2	0	0	3	1	0	0	2	2	0	1	1
Hhon_g00822.t1	9	1	0	2	1	0	13	0	20	0	0	1	11	31	3	0	16	0	1	3	1	0	3	3	0	0	1	0	0	2	3	0	0	0	1	2	1	0
Hhon_orphan_149	9	2	0	3	0	3	15	0	19	2	0	0	12	27	0	4	12	2	4	5	1	0	0	1	0	1	2	1	0	1	0	0	0	1	1	2	0	0
Hhon_g00823.t1	15	6	0	3	1	2	23	0	40	1	0	0	21	35	6	3	27	0	4	5	2	0	4	0	0	0	4	3	0	4	2	0	1	2	2	0	0	0
Hhon_g00824.t1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_g00825.t1	17	1	0	9	5	3	31	0	54	2	3	2	29	121	19	8	38	2	10	8	4	1	2	3	1	7	12	0	1	11	1	1	0	4	3	1	0	4
Hhon_orphan_150	1	0	0	0	1	0	0	0	0	0	1	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Hhon_g00829.t1	0	0	0	0	0	0	1	0	1	0	0	0	3	5	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0
Hhon_g00830.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00832.t1	162	14	7	49	38	55	227	10	401	7	20	9	171	594	75	57	203	15	50	38	11	16	18	2	9	14	41	20	11	48	7	10	20	25	29	6	9	6
Hhon_g00833.t1	284	15	12	60	77	73	356	17	674	14	37	8	278	1023	132	93	349	22	95	54	17	23	48	20	13	22	64	23	11	80	11	19	36	31	50	17	10	14
Hhon_g00834.t1	233	16	23	82	38	71	291	14	413	4	15	17	270	479	79	66	267	9	57	66	12	14	9	3	5	28	38	32	5	63	6	19	19	33	54	8	9	1
Hhon_g00835.t1	42	2	0	12	4	5	29	5	70	4	1	3	33	87	11	7	34	4	9	2	3	0	5	1	1	2	7	4	3	10	0	1	0	8	9	1	0	2
Hhon_g00836.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_g00837.t1	17	2	2	5	3	5	20	2	48	0	1	0	23	48	5	7	19	2	2	1	0	1	0	0	0	0	0	1	1	6	0	2	3	3	10	1	2	3
Hhon_g00838.t1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Hhon_g00839.t1	21	0	0	4	4	5	16	1	42	0	1	1	18	35	9	5	34	2	3	0	0	0	2	0	1	0	2	1	0	6	0	1	2	0	1	1	0	3
Hhon_g00840.t1	1	0	0	3	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00841.t1	1	0	0	1	0	0	3	0	1	0	0	0	1	3	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_orphan_151	1	0	0	0	0	0	2	0	3	0	0	1	1	2	2	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00843.t1	5	0	0	1	0	0	1	0	10	0	2	0	3	19	0	2	4	6	1	0	1	0	0	0	0	0	7	0	0	1	0	0	1	0	0	0	0	0
Hhon_g00845.t1	33	2	1	10	5	7	26	0	81	2	5	0	25	78	14	4	44	2	5	6	6	0	2	1	0	0	3	4	1	3	4	4	4	3	2	0	0	0
Hhon_g00846.t1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00847.t1	2	0	0	2	0	2	5	0	9	0	0	0	8	8	0	0	5	0	2	0	0	0	0	0	1	0	1	0	0	3	0	0	2	0	2	0	0	0
Hhon_orphan_152	3	0	3	0	0	1	3	0	8	0	0	0	4	18	0	0	4	2	0	0	2	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_153	6	1	0	5	0	0	2	0	7	0	0	0	0	10	0	2	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Hhon_g00852.t1	14	0	1	2	4	1	17	1	27	2	2	1	16	41	7	1	19	0	2	1	0	0	1	1	1	3	4	0	0	5	0	0	0	0	2	0	2	0
Hhon_g00853.t1	13	0	1	0	3	2	16	0	19	0	1	1	11	33	2	4	9	0	2	4	1	0	2	0	0	0	4	1	0	3	0	0	0	1	2	0	0	1
Hhon_orphan_154	5	0	0	1	0	1	7	0	8	0	0	0	3	15	2	0	3	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00855.t1	118	9	7	32	24	27	162	7	260	5	8	4	147	368	67	20	157	12	31	28	8	13	16	8	5	7	25	14	5	33	8	7	12	16	29	8	2	7
Hhon_g00857.t1	41	2	4	14	8	14	46	3	88	1	6	2	43	121	19	11	76	5	9	13	1	0	5	0	0	4	10	9	2	12	1	2	5	3	5	0	1	2
Hhon_g00859.t1	5	0	0	0	0	1	6	0	16	0	1	0	4	12	2	0	2	0	1	2	0	0	1	0	0	0	1	1	0	2	0	0	1	2	1	0	0	0
Hhon_g00861.t1	26	2	2	6	6	9	21	0	61	0	3	2	22	62	10	6	30	3	9	7	0	1	2	0	2	4	0	1	1	4	2	2	3	6	4	0	0	2
Hhon_g00862.t1	5	0	0	1	0	3	5	0	11	0	2	0	12	17	1	2	10	1	0	3	1	0	1	0	0	0	0	0	0	3	0	0	0	2	2	1	0	0
Hhon_g00863.t1	50	3	2	9	8	15	52	3	95	2	5	3	48	164	24	15	60	7	25	17	2	3	7	0	5	3	5	7	4	14	2	3	3	3	13	2	1	5
Hhon_g00867.t1	608	36	39	196	67	194	849	47	1147	25	29	32	721	1391	210	182	827	19	157	130	37	18	20	26	10	62	116	106	6	147	28	18	32	131	103	20	38	6
Hhon_g00870.t1	311	27	21	69	61	81	376	19	768	20	26	20	407	1003	158	79	438	30	110	81	19	29	40	10	7	17	61	36	13	67	8	24	39	50	64	23	14	16
Hhon_g00877.t1	111	10	7	34	24	33	173	15	287	4	12	6	160	405	57	43	200	17	28	31	3	12	3	4	3	6	28	14	5	26	3	9	13	25	33	7	5	3
Hhon_g00879.t1	53	9	2	14	11	12	48	5	101	3	4	4	50	144	28	15	45	1	15	12	3	4	3	0	0	5	11	4	2	13	2	5	5	10	9	1	0	0
Hhon_g00880.t1	28	5	2	4	8	9	32	2	64	3	4	2	35	69	15	12	40	2	9	10	1	0	1	0	2	4	4	5	1	8	0	3	0	5	5	3	1	5
Hhon_g00882.t1	4	0	0	3	0	4	2	1	12	0	0	0	5	13	3	3	4	0	1	0	0	0	1	0	2	1	1	0	0	1	0	0	0	2	1	1	0	1
Hhon_g00699.t1	3	0	0	0	1	0	1	0	9	0	0	0	0	15	0	2	6	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1
Hhon_g00701.t1	24	1	0	8	6	4	33	1	55	0	4	1	19	81	10	6	26	4	9	5	1	3	5	3	2	0	6	4	1	8	1	0	1	5	6	1	1	3
Hhon_g00703.t1	16	2	1	6	6	12	33	4	58	3	1	0	40	105	13	5	36	3	8	6	0	3	1	3	0	1	9	4	3	9	0	2	3	3	6	1	0	1
Hhon_g00708.t1	18	3	1	4	4	0	17	2	29	0	2	2	15	47	6	6	18	0	5	7	0	1	3	0	2	2	3	1	1	5	0	0	1	2	4	0	0	1
Hhon_g00709.t1	123	5	7	37	21	49	178	8	342	7	6	8	150	353	73	40	188	5	46	30	2	5	16	2	2	15	28	16	6	35	1	3	8	21	20	4	5	11
Hhon_g00711.t1	22	5	1	7	14	4	38	3	49	1	1	4	28	83	8	7	21	4	7	4	0	3	2	0	1	0	4	2	2	10	1	0	5	4	5	1	1	1
Hhon_g00712.t1	79	4	3	23	14	29	110	4	209	6	8	2	75	271	55	31	133	19	29	16	6	3	7	3	6	10	24	7	4	21	4	3	13	7	17	5	1	5
Hhon_orphan_155	16	2	0	5	5	5	18	2	50	0	0	0	14	35	9	2	21	0	2	3	0	1	1	0	0	1	2	0	2	5	2	1	0	3	1	0	0	1
Hhon_g00715.t1	46	4	0	12	7	9	60	1	116	3	5	3	39	208	25	11	70	4	26	12	3	0	6	2	2	5	8	5	1	21	0	1	5	12	4	2	1	2
Hhon_g00716.t1	26	2	0	7	4	6	30	0	67	2	2	4	30	144	21	4	45	3	18	11	1	2	8	1	0	1	5	4	3	8	1	2	8	7	9	1	1	1
Hhon_orphan_156	2	1	0	0	1	4	10	0	7	0	1	1	5	10	2	0	4	0	1	1	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0
Hhon_g00717.t1	6	0	0	0	2	2	3	0	12	0	0	0	0	11	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
Hhon_g00718.t1	78	11	2	13	15	21	83	8	180	8	8	6	87	234	45	30	91	7	31	14	1	5	6	0	5	7	13	3	6	12	0	2	6	17	14	0	1	7
Hhon_orphan_157	5	0	0	0	1	3	5	0	13	0	0	0	8	25	4	3	6	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0
Hhon_g00722.t1	11	1	1	3	3	2	11	2	33	1	1	2	17	38	3	2	11	0	7	1	0	0	1	0	5	0	7	1	0	1	0	2	3	0	3	0	1	3
Hhon_g00724.t1	37	4	2	8	11	17	51	4	102	4	4	4	30	110	18	7	53	4	12	6	0	3	8	2	4	4	7	1	2	12	2	3	5	4	7	2	0	0
Hhon_g00726.t1	5	1	0	1	0	1	5	0	11	0	0	0	1	11	1	1	8	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	0	0	0
Hhon_orphan_158	6	0	0	1	0	0	5	1	6	0	0	1	7	10	1	0	5	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1
Hhon_g00729.t1	11	0	0	3	4	2	12	1	9	1	0	0	5	19	2	1	7	1	1	0	1	0	0	2	0	0	0	0	0	5	0	0	2	0	0	0	1	2
Hhon_g00730.t1	5	1	0	3	0	0	9	0	17	0	1	0	6	21	0	1	9	0	1	1	1	1	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0
Hhon_g00731.t1	358	25	14	82	77	84	438	19	828	20	29	14	331	890	148	139	419	26	84	67	18	20	38	17	11	18	75	31	9	82	4	23	29	36	67	23	12	14
Hhon_g00735.t1	27	3	3	8	7	10	21	4	57	0	3	1	37	109	11	9	36	2	6	8	2	1	2	1	4	4	10	2	2	5	0	4	0	2	4	0	1	2
Hhon_g00737.t1	43	7	1	15	15	13	73	5	143	2	10	3	78	144	28	10	74	6	10	12	3	5	7	6	0	2	16	4	0	9	0	3	5	11	13	5	1	4
Hhon_g00739.t1	182	26	11	44	26	56	250	15	515	9	10	8	238	586	87	65	260	11	55	45	8	16	30	10	15	9	58	18	4	50	5	13	28	31	39	16	4	13
Hhon_g00741.t1	12	0	1	3	5	3	24	1	31	0	0	0	22	54	7	5	18	1	5	7	0	0	2	1	1	2	3	2	0	3	0	0	1	3	2	1	0	0
Hhon_g00743.t1	24	3	3	7	6	4	46	2	70	2	5	0	49	95	19	5	34	4	10	11	1	4	4	0	4	6	7	2	2	7	1	1	3	5	3	4	0	1
Hhon_orphan_159	5	0	0	1	1	0	9	0	23	1	1	0	4	25	4	2	5	0	4	2	0	1	1	0	1	0	0	0	2	0	0	0	2	0	1	2	1	0
Hhon_orphan_160	12	1	1	2	0	1	7	0	16	0	2	1	8	40	3	3	9	0	0	1	1	0	0	2	1	1	2	1	1	1	1	0	0	0	0	0	1	0
Hhon_g00745.t1	7	0	1	0	0	1	8	0	21	2	2	2	11	19	2	4	3	1	4	2	0	0	0	0	0	2	1	1	0	0	0	0	1	2	5	0	0	1
Hhon_g00747.t1	338	38	19	82	64	105	422	20	821	11	41	22	346	1069	175	91	470	33	91	66	18	27	35	17	12	22	63	40	13	91	8	16	30	65	61	13	9	19
Hhon_orphan_161	0	0	0	0	0	1	4	1	10	0	0	0	3	9	0	0	5	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0
Hhon_g00749.t1	57	8	1	22	19	21	75	5	123	4	4	2	71	171	27	14	79	2	18	16	4	2	4	0	2	4	18	7	1	13	0	3	6	8	10	3	2	3
Hhon_g00751.t1	102	2	4	29	20	19	123	3	209	5	9	7	110	329	46	20	117	6	43	28	6	5	14	2	6	4	28	13	1	27	6	7	5	11	22	4	8	4
Hhon_g00753.t1	17	2	2	10	9	9	34	3	65	0	2	3	16	63	4	14	27	3	9	4	1	1	1	1	0	4	2	2	3	7	1	2	1	2	6	0	0	0
Hhon_g00754.t1	113	11	4	25	30	30	123	4	274	5	15	4	103	345	53	48	153	12	43	27	4	8	16	2	5	8	24	6	2	26	5	8	7	19	22	4	5	9
Hhon_g00755.t1	10	1	0	1	2	4	16	0	35	4	0	1	17	40	5	6	15	0	2	0	1	0	1	0	1	2	3	4	0	1	0	2	2	1	5	0	0	1
Hhon_g00756.t1	63	0	1	17	16	10	64	5	135	4	1	2	57	173	17	10	79	8	17	11	3	2	9	2	4	6	7	4	3	9	4	0	6	5	7	1	2	5
Hhon_g00758.t1	238	22	17	49	32	63	274	16	462	6	18	20	229	517	94	67	302	8	61	47	9	8	22	4	10	19	42	21	5	49	4	10	15	26	47	15	6	11
Hhon_g00761.t1	85	6	5	16	19	19	112	5	200	3	2	1	79	251	23	25	96	7	23	22	5	4	4	2	3	4	16	13	0	29	4	4	10	8	21	1	2	3
Hhon_g00764.t1	124	11	8	34	30	33	148	9	314	7	9	14	161	391	56	27	151	13	38	29	5	11	15	2	9	8	27	16	1	29	6	6	15	27	19	6	2	6
Hhon_g00766.t1	53	4	2	13	9	15	65	2	124	1	10	5	52	158	31	13	71	3	8	12	4	0	2	3	2	4	10	4	3	15	4	3	3	3	5	1	2	3
Hhon_g00767.t1	1161	103	91	292	219	297	1404	102	2072	41	59	85	1266	2060	352	328	1428	30	200	211	60	77	40	27	18	93	168	114	15	305	26	65	49	220	290	34	30	14
Hhon_orphan_162	4	0	0	2	0	0	1	1	4	0	0	1	5	4	0	2	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00768.t1	3	0	0	0	0	0	2	0	4	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_hyp_clust4158	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00770.t1	128	10	10	26	25	45	170	9	317	6	9	3	157	408	57	39	182	10	32	31	11	18	15	1	12	11	23	17	3	46	5	4	7	17	32	7	2	7
Hhon_g00772.t1	92	3	3	19	26	18	112	7	198	3	9	2	93	295	32	23	116	7	30	20	5	3	13	2	2	3	27	10	2	27	4	5	3	10	23	2	6	9
Hhon_g00774.t1	53	5	2	16	19	17	82	1	153	5	13	1	65	194	27	13	88	2	21	10	2	6	10	1	5	5	9	3	1	11	0	6	5	8	14	3	2	3
Hhon_g00775.t1	770	63	29	193	166	215	942	63	1846	57	69	48	796	2486	324	238	981	57	191	158	34	45	111	22	53	56	175	65	16	167	26	54	55	131	142	50	35	55
Hhon_g00776.t1	1146	109	59	268	259	307	1470	93	2918	62	101	77	1282	3599	568	315	1579	102	350	254	60	60	117	39	64	81	244	116	38	299	30	92	124	169	242	36	54	74
Hhon_g00778.t1	547	58	35	133	104	147	742	36	1227	28	30	40	709	1453	267	156	792	42	148	109	21	19	58	13	16	49	111	53	20	138	22	48	35	100	112	24	22	25
Hhon_g00779.t1	86	8	2	16	12	25	95	4	195	7	6	2	95	192	36	26	104	2	26	14	1	5	5	1	4	3	13	8	5	15	2	7	4	4	9	4	2	3
Hhon_g00780.t1	65	8	0	7	11	2	71	0	96	10	5	0	30	127	28	10	87	1	8	9	0	1	2	3	0	1	6	1	0	30	0	1	10	9	11	7	0	1
Hhon_g00782.t1	7	1	0	3	4	3	12	0	21	0	0	0	10	45	6	11	7	0	4	4	1	2	0	0	0	0	1	0	0	3	1	0	0	2	2	0	0	0
Hhon_orphan_163	4	0	0	0	0	3	1	0	8	0	0	0	2	10	1	2	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
Hhon_orphan_164	1	0	0	0	0	1	6	0	4	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_165	16	0	0	1	6	2	21	1	34	0	1	2	23	68	10	2	19	1	7	0	1	2	1	0	0	0	2	3	1	2	0	1	0	2	5	0	0	2
Hhon_g00784.t1	12	0	1	7	9	3	26	1	64	1	1	2	29	71	8	6	34	3	6	6	2	3	0	3	1	2	5	1	3	4	2	2	3	3	2	0	4	1
Hhon_g00788.t1	75	3	10	24	20	19	116	2	177	1	12	3	82	225	48	30	102	2	21	17	4	6	7	2	2	4	16	9	2	14	1	6	3	6	12	1	3	4
Hhon_orphan_166	0	1	0	1	2	0	1	0	4	1	0	0	4	8	3	0	2	0	1	2	1	0	0	1	0	0	0	1	0	0	1	1	1	1	2	0	0	0
Hhon_g00790.t1	9	1	0	4	0	0	10	0	10	0	1	0	6	18	4	1	6	1	1	1	2	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0
Hhon_orphan_167	2	0	0	0	0	0	1	0	3	0	0	0	4	10	2	1	6	2	3	3	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1
Hhon_g00793.t1	6	1	2	3	3	3	5	0	16	1	1	2	5	26	3	6	8	1	5	7	0	0	1	0	0	2	3	0	0	2	2	0	0	1	2	0	0	0
Hhon_orphan_168	3	0	0	1	0	0	5	0	6	0	0	0	7	9	2	0	3	0	1	1	0	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0
Hhon_g00795.t1	21	2	0	3	8	6	37	1	67	3	5	1	25	84	13	13	46	0	11	5	0	4	7	0	0	2	6	5	2	6	1	0	1	2	5	1	0	2
Hhon_orphan_169	0	0	0	2	0	1	3	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Hhon_g00800.t1	4759	486	250	904	1110	1248	6055	421	11155	292	448	262	4704	13587	1791	1351	6018	338	1237	974	192	322	598	103	281	308	1063	341	136	1109	109	332	351	570	850	201	131	256
Hhon_orphan_170	8	1	1	3	2	2	16	0	44	1	3	0	9	82	18	4	26	1	7	2	2	1	6	1	2	1	4	1	0	1	2	0	3	2	8	2	3	0
Hhon_g00803.t1	36	4	0	6	6	7	35	2	83	1	3	2	40	78	14	12	53	5	11	4	1	2	5	2	1	7	15	4	0	9	2	1	1	7	5	0	2	0
Hhon_g00804.t1	45	4	0	6	8	11	38	1	86	0	2	4	30	118	10	11	47	4	12	5	1	2	4	0	2	2	6	1	0	6	0	1	2	6	4	0	3	4
Hhon_g00806.t1	121	11	7	46	26	32	167	14	335	5	10	0	126	479	59	52	191	9	37	44	6	5	22	4	15	9	34	8	4	54	6	7	12	17	24	6	1	10
Hhon_g00808.t1	50	2	1	7	10	10	54	4	109	2	3	2	47	152	17	12	47	4	20	4	1	2	5	5	0	6	11	5	4	6	1	3	5	6	9	2	2	1
Hhon_g00809.t1	28	4	1	9	10	14	45	2	75	0	4	1	41	94	14	13	36	1	10	14	3	3	0	0	1	2	4	3	0	4	1	1	0	4	1	0	0	1
Hhon_g00811.t1	82	7	0	19	9	20	114	4	181	3	10	8	83	206	22	25	95	2	23	21	2	1	8	5	5	6	21	7	4	25	3	4	8	12	12	4	1	1
