lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG62561	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62562	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_orphan_530	8	0	0	0	0	0	0	8	1	4	0	1	2	11	2	4	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	1
Tadh_TriadG62839	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Tadh_wf_g12181	6	1	0	0	2	2	0	7	1	0	0	1	1	4	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0
Tadh_TriadG34350	1	0	0	0	1	9	0	7	0	1	0	9	0	8	3	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Tadh_orphan_532	91	0	1	0	1	78	0	198	8	56	0	84	62	142	18	143	1	27	28	0	0	1	0	1	20	7	12	0	8	0	39	15	0
Tadh_TriadG62564	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_534	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG60126	52	7	0	2	2	21	0	56	4	13	1	6	8	47	13	45	0	3	1	0	0	0	2	2	4	0	8	1	0	3	4	0	2
Tadh_TriadG50808	345	42	16	15	18	174	23	461	36	136	7	89	58	313	122	313	21	21	23	9	1	16	11	18	33	9	37	18	12	3	36	10	11
Tadh_orphan_535	45	3	1	0	5	14	6	38	8	15	1	5	9	30	16	45	3	6	5	3	0	1	0	2	1	2	6	0	4	6	4	2	2
Tadh_TriadG30634	103	11	3	2	4	51	10	137	13	34	2	41	36	109	32	103	8	11	7	5	0	4	3	7	6	8	15	5	6	5	9	4	2
Tadh_orphan_536	1	0	0	0	0	0	0	0	0	3	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_537	80	10	1	1	7	29	3	75	3	26	1	34	14	56	12	61	3	5	5	2	0	2	1	9	3	0	6	4	7	1	14	3	1
Tadh_TriadG30486	312	28	14	10	20	105	17	392	33	89	5	108	60	263	93	267	11	18	18	8	2	10	4	11	26	15	38	12	23	7	33	14	9
Tadh_TriadG60132	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG30602	22	0	1	2	0	7	3	27	3	5	0	5	1	21	6	13	0	1	1	1	0	1	0	1	4	0	3	0	1	0	3	0	0
Tadh_orphan_538	1	1	0	0	1	1	0	4	1	1	2	1	0	3	0	3	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
Tadh_TriadG30735	31	0	3	4	7	12	3	37	4	10	0	7	4	20	12	40	3	1	5	3	1	0	2	4	4	0	3	0	1	0	1	1	1
Tadh_orphan_539	10	1	0	1	0	1	0	5	2	2	1	4	1	8	2	12	2	1	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0
Tadh_TriadG60138	45	6	7	2	13	18	6	54	5	22	0	19	16	52	22	63	3	6	9	1	1	2	1	0	2	1	10	3	6	0	5	2	0
Tadh_TriadG60139	236	18	10	6	18	91	13	245	24	80	4	63	48	242	83	185	10	12	16	5	2	7	8	9	14	8	27	9	9	5	28	5	6
Tadh_TriadG63390	1846	139	110	102	114	684	91	2209	164	731	49	454	366	1637	637	1630	95	118	125	28	10	83	28	116	136	58	196	65	73	36	144	48	75
Tadh_TriadG60142	3956	348	256	213	249	1499	232	4835	434	1468	99	1035	741	3843	1334	3442	194	270	261	73	24	178	114	248	317	109	392	163	192	90	339	90	175
Tadh_TriadG30551	286	21	20	8	18	107	24	365	37	109	13	67	49	274	100	237	19	20	17	10	0	13	1	18	19	9	30	6	17	6	27	7	5
Tadh_TriadG30536	3	2	0	0	0	1	1	3	0	1	0	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
Tadh_TriadG60148	27	0	1	0	2	8	2	16	0	3	0	7	0	25	3	12	1	2	1	1	0	1	0	2	0	2	2	0	0	0	6	0	0
Tadh_orphan_540	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG30465	70	7	4	1	2	20	4	61	9	23	1	14	12	63	14	66	3	2	4	1	1	1	2	4	5	0	7	2	4	2	2	0	1
Tadh_TriadG60150	99	13	4	0	7	42	8	140	14	48	2	34	11	99	14	96	4	12	7	2	0	5	1	2	6	4	14	5	3	3	9	0	6
Tadh_TriadG50816	195	24	2	7	13	83	13	268	18	60	10	48	35	182	49	165	3	10	15	5	0	9	4	8	17	3	19	3	15	4	26	4	10
Tadh_TriadG30605	43	4	2	2	2	17	2	49	4	14	1	10	18	51	18	47	0	6	7	0	0	0	0	8	5	6	6	0	3	0	4	1	4
Tadh_orphan_541	12	0	1	2	4	1	3	13	0	4	0	2	0	7	3	7	0	0	0	0	0	0	2	1	2	0	0	0	0	1	1	0	0
Tadh_TriadG30586	85	12	1	1	3	24	3	85	9	32	2	19	16	49	20	60	8	4	6	1	0	4	1	4	2	1	9	3	5	0	2	1	4
Tadh_TriadG63138	3714	339	202	217	336	1350	198	4698	410	1268	162	1160	760	3527	1095	3279	181	217	199	104	34	178	102	209	343	108	441	124	194	133	391	104	134
Tadh_TriadG60160	278	30	19	8	27	113	13	348	30	114	7	67	63	280	80	239	19	18	17	5	0	12	6	15	12	9	40	4	15	5	21	9	16
Tadh_TriadG50818	132	20	7	6	12	42	7	166	10	46	2	35	32	115	44	136	11	6	10	3	1	5	6	6	13	5	12	8	7	3	15	5	0
Tadh_wf_g9124	14	1	0	0	2	8	0	20	2	10	0	7	3	18	4	14	0	4	2	1	0	2	1	3	0	1	2	1	0	1	1	0	0
Tadh_wf_g9127	105	11	10	3	7	50	5	120	13	32	3	18	20	89	24	109	5	7	9	1	0	2	3	11	11	1	13	2	3	2	12	4	3
Tadh_TriadG60167	67	10	9	3	6	23	6	62	4	32	0	18	23	68	24	68	0	5	3	0	0	1	4	2	5	2	10	6	5	1	4	1	1
Tadh_TriadG60169	467	36	40	24	27	134	28	568	53	176	13	111	89	400	152	426	26	31	30	12	8	20	8	38	42	20	46	28	25	12	47	22	24
Tadh_TriadG30653	306	37	32	11	19	109	25	346	29	114	15	83	55	272	82	265	18	22	15	7	4	18	10	10	31	6	26	10	17	6	27	9	9
Tadh_TriadG60176	36	6	1	1	1	9	1	31	4	10	3	14	13	26	11	44	0	0	3	0	0	2	0	2	3	1	2	2	2	2	1	0	1
Tadh_TriadG60177	51	3	3	1	2	23	2	42	5	11	0	5	2	39	12	30	5	3	1	0	1	1	1	0	3	2	8	1	3	0	6	2	1
Tadh_orphan_542	12	0	0	1	0	3	0	21	0	3	1	5	1	18	4	10	3	0	1	0	0	0	0	1	1	0	0	0	1	0	1	2	0
Tadh_TriadG30575	79	6	9	7	7	36	6	118	7	36	6	24	14	92	16	86	4	5	7	4	5	2	3	3	2	2	7	2	3	4	10	4	2
Tadh_TriadG30732	139	15	8	6	13	57	9	171	28	36	3	35	19	144	41	110	5	8	10	7	1	7	0	9	9	2	21	1	7	3	11	1	7
Tadh_TriadG50825	240	13	9	8	14	76	4	260	19	80	7	57	38	192	76	191	12	13	15	1	2	8	12	8	14	6	28	7	18	5	38	5	5
Tadh_orphan_544	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g9148	2918	121	11	158	434	1026	293	4071	147	521	16	1067	725	2883	1206	2391	118	182	320	37	254	182	6	178	236	83	491	3	57	313	259	25	47
Tadh_TriadG60185	459	114	26	40	7	219	86	933	41	43	46	307	219	624	383	391	38	118	5	0	23	8	20	54	72	22	55	0	1	5	31	54	54
Tadh_TriadG7160	45	6	7	7	8	21	2	73	13	20	1	20	10	40	10	49	0	5	6	2	1	2	2	2	3	1	13	2	2	0	3	3	3
Tadh_orphan_545	47	4	3	0	5	15	3	38	6	13	1	15	8	51	16	42	0	0	2	5	0	3	1	4	3	0	8	0	3	4	5	1	2
Tadh_TriadG60189	43	8	2	4	5	16	4	53	12	13	0	19	4	55	12	63	4	4	2	3	1	1	0	3	2	0	10	1	2	4	8	0	0
Tadh_TriadG50830	38	8	1	1	3	12	1	44	4	20	1	16	3	32	13	36	2	1	4	3	2	2	1	4	3	1	5	2	1	1	2	1	1
Tadh_TriadG60196	1	0	0	1	0	1	0	3	2	4	0	1	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG30629	97	11	9	2	4	42	7	103	10	45	1	28	11	84	38	102	3	6	9	1	2	4	1	11	12	6	6	5	2	6	9	2	5
Tadh_TriadG60200	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Tadh_TriadG60201	21	2	3	6	4	8	7	37	3	10	1	18	5	20	8	35	3	2	4	2	1	2	2	1	2	1	10	2	1	1	0	1	0
Tadh_TriadG60203	36	1	2	3	0	13	0	41	4	10	0	5	2	20	7	27	0	1	1	0	0	2	1	2	1	0	2	1	1	0	3	0	1
Tadh_TriadG30669	190	21	7	8	15	73	15	242	20	82	7	41	46	186	54	175	7	11	15	8	1	7	3	16	14	4	16	5	9	3	14	10	5
Tadh_TriadG60206	4	0	0	0	3	1	0	7	6	5	2	2	0	4	1	12	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Tadh_TriadG60210	49	3	2	2	2	10	1	58	5	17	5	14	8	43	10	40	2	1	1	3	0	2	0	1	4	2	8	2	1	2	1	0	5
Tadh_TriadG38231	1331	113	99	61	98	484	77	1733	128	624	36	266	203	1132	440	1203	70	55	88	33	8	38	31	54	94	54	133	27	73	27	113	30	37
Tadh_TriadG60212	550	59	26	19	40	196	41	650	56	218	17	145	106	513	176	511	25	34	40	17	4	21	9	37	32	15	58	26	29	19	52	11	28
Tadh_orphan_546	8	0	0	0	0	1	0	3	0	4	0	3	0	8	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
Tadh_TriadG64255	217	18	14	18	18	97	22	338	28	66	6	93	45	235	81	198	13	16	31	5	6	14	4	17	16	6	22	7	13	10	25	4	11
Tadh_orphan_547	5	0	0	0	0	4	0	3	0	3	0	6	0	1	3	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0
Tadh_TriadG60216	50	7	3	4	4	22	3	66	6	20	1	16	18	59	13	46	1	3	3	1	1	2	3	2	2	2	8	1	1	0	11	1	1
Tadh_orphan_548	32	5	0	3	1	12	2	46	2	14	2	15	7	30	10	36	1	2	6	0	0	1	3	6	3	1	7	2	3	4	7	2	4
Tadh_TriadG60218	217	8	13	10	15	77	5	212	16	69	5	55	46	190	51	172	16	22	9	3	5	10	4	14	25	5	18	14	13	6	17	4	8
Tadh_wf_g9182	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_549	2	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Tadh_TriadG60224	42	6	1	2	2	30	5	49	2	15	0	7	14	53	13	51	2	7	4	4	1	2	2	5	2	1	3	2	3	5	4	2	0
Tadh_TriadG60225	364	34	29	18	10	135	17	416	38	158	6	84	47	303	113	288	25	21	28	9	1	16	4	18	21	12	41	4	24	6	32	8	15
Tadh_TriadG50836	16	3	1	1	1	11	1	41	3	7	0	5	6	34	6	26	1	3	0	1	0	4	1	4	0	1	5	2	3	0	2	1	2
Tadh_TriadG50837	192	16	12	7	12	81	11	208	22	85	9	73	37	186	60	217	24	16	12	4	4	8	5	6	16	4	11	7	11	4	29	9	9
Tadh_orphan_550	90	6	3	5	9	34	6	119	10	29	5	19	14	77	34	77	4	6	8	4	1	9	1	11	7	2	6	6	3	2	5	5	4
Tadh_TriadG30693	51	2	2	3	1	19	3	66	7	19	2	15	5	36	11	52	4	5	2	1	0	1	0	1	8	1	3	1	2	1	5	0	0
Tadh_wf_g9198	132	15	12	4	11	48	4	190	18	51	7	51	34	161	53	107	9	7	12	1	1	8	6	13	15	7	20	4	8	6	22	3	8
Tadh_TriadG30639	70	10	3	3	5	20	6	90	6	27	2	24	19	78	23	71	2	5	7	3	0	4	1	4	9	2	8	2	4	4	15	1	2
Tadh_TriadG60244	34	6	3	1	6	9	1	38	7	11	1	7	5	38	14	37	4	5	0	0	3	3	1	0	6	0	8	0	5	3	4	0	3
Tadh_orphan_551	19	1	2	0	0	2	1	22	4	9	0	1	2	10	13	14	1	0	0	0	0	1	0	1	0	2	1	1	0	0	3	0	0
Tadh_TriadG30529	125	5	8	7	6	57	2	214	5	72	0	38	26	165	63	122	13	4	11	0	2	7	7	2	15	6	31	7	15	0	21	2	0
Tadh_orphan_552	12	1	0	2	0	8	1	18	2	5	3	4	6	9	1	13	0	0	1	0	0	1	1	0	1	1	2	1	0	0	0	0	0
Tadh_TriadG30509	15	2	1	0	1	11	0	26	3	8	0	3	2	20	14	16	3	2	3	0	0	1	0	1	2	4	2	0	1	0	1	1	0
Tadh_TriadG60250	57	9	4	0	5	18	10	75	9	19	2	15	8	45	26	51	4	4	1	3	0	6	0	10	8	2	6	7	2	6	4	2	2
Tadh_orphan_553	1	0	0	0	0	0	0	1	0	4	0	2	2	5	1	3	0	2	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0
Tadh_TriadG30620	12	2	0	0	6	7	0	26	4	4	0	4	2	16	5	17	1	5	3	0	0	0	1	0	1	1	1	1	2	0	1	0	3
Tadh_orphan_554	3	0	0	0	0	0	0	5	2	1	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0
Tadh_TriadG60254	5	2	0	1	1	5	0	11	0	4	0	3	3	12	2	7	1	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0
Tadh_TriadG60255	66	10	5	4	6	25	4	113	15	41	5	33	20	79	23	63	2	8	5	2	0	5	0	6	8	5	5	6	7	4	13	5	5
Tadh_orphan_555	9	0	3	2	0	3	1	8	0	3	1	5	0	11	3	13	2	1	1	1	0	1	0	0	3	0	0	1	1	0	1	0	1
Tadh_TriadG60256	37	7	2	4	2	15	8	69	7	13	1	12	16	33	12	47	3	3	5	3	3	1	1	3	5	3	3	2	4	1	3	1	0
Tadh_orphan_556	6	0	0	0	0	1	0	3	1	1	0	0	1	4	1	3	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0
Tadh_TriadG60257	26	4	0	0	0	7	3	39	2	9	1	13	7	24	5	22	2	1	1	0	0	1	0	2	0	0	2	0	0	1	6	0	0
Tadh_TriadG60258	51	2	2	6	2	13	3	55	9	18	1	17	10	55	8	47	1	5	2	1	0	3	2	4	3	1	3	1	0	1	9	2	3
Tadh_TriadG60260	52	3	3	2	6	16	2	63	10	14	6	18	11	44	12	56	0	4	1	2	1	4	2	3	4	3	6	1	3	0	6	0	0
Tadh_TriadG64258	624	67	30	25	46	244	40	833	78	247	17	199	128	629	230	594	29	63	43	23	6	37	21	50	42	33	76	21	24	20	70	17	29
Tadh_TriadG30624	30	0	2	1	1	8	2	50	6	10	0	13	4	39	15	47	1	0	7	0	0	0	5	2	1	1	3	5	1	1	4	0	0
Tadh_wf_g9222	1370	107	76	53	83	486	91	1581	154	570	45	354	236	1256	460	1233	73	92	78	25	7	60	30	90	112	44	148	37	70	39	134	24	57
Tadh_orphan_557	2	1	1	1	0	0	0	4	0	0	0	2	0	2	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1
Tadh_wf_g9225	19	0	0	1	0	8	0	15	3	8	2	7	4	18	5	24	0	2	0	0	0	3	0	0	0	2	1	1	3	0	2	1	0
Tadh_TriadG50847	254	27	11	13	18	85	19	297	32	93	10	60	49	251	80	194	19	17	13	3	1	10	6	17	18	4	20	6	14	7	29	7	13
Tadh_TriadG38242	650	71	67	29	62	286	39	868	65	267	22	165	126	692	220	649	40	48	37	17	9	29	21	44	57	23	86	22	28	18	86	17	23
Tadh_wf_g9230	51	1	5	1	4	20	2	55	3	19	0	16	16	44	19	45	4	4	4	0	1	2	0	4	2	3	3	2	2	3	3	0	6
Tadh_TriadG30505	105	13	5	2	3	30	8	100	8	38	0	25	18	81	25	69	3	3	5	5	0	3	3	4	9	4	8	3	2	0	9	4	3
Tadh_TriadG60274	15	4	3	0	1	6	0	24	3	2	0	6	2	22	5	26	0	1	1	1	0	1	1	1	3	0	4	0	0	1	2	0	1
Tadh_TriadG30731	79	9	4	7	6	32	7	103	6	30	1	26	12	96	21	68	5	7	3	2	0	6	2	1	9	6	9	1	4	3	9	5	4
Tadh_TriadG30625	297	16	17	12	16	99	11	360	40	115	5	76	55	297	80	281	12	13	24	8	2	23	8	27	23	16	40	10	12	6	25	7	10
Tadh_orphan_559	888	103	45	38	51	339	56	1224	141	317	27	304	216	959	276	879	50	64	62	27	14	57	24	68	69	32	141	18	42	45	102	24	30
Tadh_TriadG50853	122	27	9	8	6	51	9	145	18	60	4	45	21	139	37	110	8	15	7	2	2	11	7	8	14	1	20	0	4	4	22	3	4
Tadh_TriadG60280	65	11	2	5	15	17	10	84	5	18	0	26	15	59	15	58	3	9	1	2	0	1	2	8	3	0	4	2	3	1	4	4	6
Tadh_orphan_560	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_561	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_562	2	0	1	1	0	2	1	3	0	0	0	0	1	2	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG50857	579	55	34	23	50	251	41	729	66	213	18	199	135	602	181	543	36	55	45	13	7	26	25	34	50	26	82	30	39	15	73	23	22
Tadh_orphan_563	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0
Tadh_TriadG60293	259	23	15	16	13	103	11	348	35	103	10	77	57	244	70	245	18	18	12	8	4	15	7	26	19	13	39	6	18	10	33	4	9
Tadh_TriadG60294	69	5	2	3	2	33	2	60	6	24	1	14	7	50	37	66	3	3	2	0	0	3	0	1	5	0	7	1	2	1	3	2	4
Tadh_TriadG60295	39	4	1	0	4	19	0	54	5	12	0	16	7	40	7	37	4	6	1	1	1	0	0	4	3	1	9	1	4	0	2	0	5
Tadh_TriadG60298	17	3	2	0	2	3	2	8	1	9	1	1	6	9	2	8	1	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	1
Tadh_TriadG30609	8	1	2	1	2	0	0	8	0	3	3	1	0	4	0	7	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1
Tadh_TriadG30612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_564	2	1	0	0	0	0	0	1	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG30613	118	4	3	4	8	36	2	125	15	26	4	28	26	104	35	89	6	1	9	1	1	3	3	9	10	4	17	2	3	2	8	5	2
Tadh_wf_g9267	141	12	5	6	16	50	6	170	8	47	1	50	27	131	49	137	5	11	7	2	1	3	1	7	7	6	14	8	11	3	14	5	5
Tadh_wf_g9269	1641	150	90	81	136	588	91	2183	193	580	45	504	324	1644	479	1547	90	104	117	47	16	88	53	91	169	58	215	84	96	59	192	39	49
Tadh_TriadG60310	5	0	0	0	0	4	0	5	0	3	0	4	1	10	5	5	2	2	0	1	0	1	0	0	1	0	0	1	1	2	1	0	0
Tadh_TriadG60311	42	6	4	1	0	7	6	48	4	5	1	10	7	42	20	37	5	6	2	0	0	1	3	0	3	0	3	1	2	0	0	0	0
Tadh_TriadG60312	8	0	1	0	0	4	0	13	0	1	0	1	2	0	0	6	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0
Tadh_orphan_565	5	0	0	0	0	2	0	5	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_wf_g9279	33	0	1	1	2	8	1	59	1	15	1	12	4	38	18	30	1	1	0	0	0	2	2	2	2	1	4	0	0	3	0	3	1
Tadh_TriadG60322	405	26	22	18	23	145	21	537	42	147	16	110	74	411	120	360	29	25	33	9	4	19	6	25	37	15	51	15	21	7	34	7	15
Tadh_orphan_566	2	0	3	0	0	0	0	2	0	0	0	1	1	5	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Tadh_wf_g9283	3	0	0	0	1	0	0	5	0	0	0	3	0	2	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1
Tadh_wf_g9284	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g9285	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g9286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g9287	5	0	0	0	2	2	0	7	0	0	0	0	2	3	2	6	0	2	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Tadh_wf_g9288	4	2	1	0	2	2	0	8	0	0	0	2	1	7	4	8	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1
Tadh_orphan_567	6	0	0	0	0	3	0	3	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG60117	3	0	0	0	0	1	1	4	0	2	0	0	1	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG60118	35	3	1	2	2	12	3	29	5	6	1	7	10	33	12	25	3	0	9	0	1	8	0	0	2	2	13	0	1	0	11	1	2
Tadh_TriadG60119	1	1	0	0	0	1	0	6	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG60120	7	0	1	1	0	2	0	8	1	1	0	3	0	9	1	9	0	1	1	0	0	0	0	3	0	0	0	1	1	0	0	0	0
Tadh_TriadG60121	4	1	0	0	0	0	0	4	1	0	0	5	0	3	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0
Tadh_TriadG30558	4	0	0	0	1	7	1	3	0	1	0	3	0	1	0	5	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0
Tadh_TriadG4315	24	2	0	0	5	8	0	12	5	3	0	10	3	17	5	13	0	0	2	0	0	0	3	3	1	1	3	0	3	2	1	1	0
Tadh_orphan_569	25	3	1	1	1	15	0	37	6	15	0	5	5	27	5	32	1	3	1	0	0	0	1	1	5	1	1	0	1	1	3	0	2
Tadh_TriadG30550	40	2	1	3	2	12	3	55	3	15	1	6	1	35	9	45	3	1	0	0	0	0	1	3	4	2	4	0	3	2	3	2	1
Tadh_TriadG60125	176	14	12	7	16	74	9	186	18	62	8	38	24	172	57	154	15	9	10	2	0	17	8	15	16	5	17	3	9	6	15	8	1
Tadh_TriadG60127	62	6	2	2	1	24	5	73	10	29	0	12	11	57	15	53	1	4	2	5	0	2	0	4	5	4	5	5	2	0	7	1	3
Tadh_TriadG30534	237	17	20	12	9	98	2	279	16	75	4	54	38	318	91	235	15	8	20	1	0	14	14	4	17	6	35	7	16	8	36	11	0
Tadh_orphan_570	9	1	1	1	0	8	0	4	1	0	0	4	1	12	4	9	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
Tadh_orphan_571	2	1	1	0	0	1	4	2	3	2	0	3	1	8	2	6	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
Tadh_orphan_572	15	2	1	1	1	8	2	16	2	4	2	4	3	16	5	4	1	1	0	0	0	1	0	0	4	0	1	2	1	0	1	0	1
Tadh_orphan_573	43	3	0	0	3	12	2	41	3	12	0	15	3	34	16	29	1	3	2	1	0	0	0	1	2	0	4	2	3	1	1	1	1
Tadh_orphan_574	10	0	0	0	0	5	0	14	3	6	0	3	1	13	3	7	0	0	0	0	0	1	0	0	1	0	2	1	2	0	1	1	1
Tadh_TriadG30598	127	11	9	8	6	55	11	146	11	46	7	40	21	110	39	107	10	8	7	4	1	3	2	2	9	5	23	4	2	6	15	3	4
Tadh_TriadG30557	20	2	2	1	2	16	3	26	2	11	2	6	7	18	8	23	0	3	0	0	0	0	0	1	3	0	4	0	2	1	3	2	0
Tadh_TriadG30677	22	2	3	1	0	10	3	25	1	5	1	10	5	19	9	23	1	1	1	1	0	1	0	0	0	0	0	0	0	7	1	0	0
Tadh_TriadG60140	37	4	1	2	2	14	2	39	7	6	2	10	7	31	12	29	3	1	0	0	0	0	0	2	4	0	4	1	1	0	0	1	4
Tadh_TriadG60143	94	11	5	7	12	45	10	113	8	22	4	36	23	116	34	104	1	8	4	1	0	8	6	10	7	3	11	1	5	3	11	3	6
Tadh_TriadG60144	169	17	9	5	17	59	7	197	20	52	2	39	23	138	44	159	7	10	10	4	3	6	5	13	11	10	16	9	8	2	15	2	8
Tadh_TriadG50815	48	2	4	6	1	30	2	58	12	22	0	16	11	45	16	40	2	7	5	8	1	5	2	3	3	6	2	4	2	1	6	3	3
Tadh_TriadG30723	199	16	13	8	9	62	9	224	15	75	2	40	39	169	76	177	8	8	18	0	1	13	2	14	14	7	30	9	11	2	13	9	12
Tadh_TriadG60151	262	27	16	17	14	114	14	325	28	105	6	71	45	255	99	221	9	9	18	3	3	18	11	12	17	8	25	9	9	6	24	4	12
Tadh_TriadG30657	371	27	19	21	26	155	18	514	36	147	17	107	66	310	113	366	24	22	20	10	1	11	5	19	34	15	48	19	18	13	35	9	17
Tadh_TriadG30577	87	13	6	4	3	42	2	82	9	41	3	16	5	75	15	71	2	11	5	1	2	10	1	3	4	7	10	0	6	7	16	2	2
Tadh_TriadG60156	142	8	5	2	8	64	8	145	9	46	6	28	26	120	51	119	10	5	8	1	0	2	1	8	9	6	5	4	4	1	15	1	3
Tadh_TriadG60158	268	49	22	12	20	116	21	445	38	110	12	72	43	300	82	254	12	14	16	8	5	14	8	12	25	10	42	10	16	8	31	7	5
Tadh_TriadG30614	326	31	15	18	24	128	20	463	43	115	21	119	78	359	96	339	18	22	13	16	2	18	14	34	21	8	49	12	16	17	54	12	27
Tadh_TriadG60165	83	4	5	3	3	33	2	104	6	38	2	16	11	80	31	54	8	3	2	1	1	10	3	10	5	2	7	5	2	1	5	3	0
