lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG52127	1028	81	63	46	79	416	59	1240	114	430	22	231	143	967	346	958	61	49	57	29	10	39	31	46	67	42	152	43	68	25	112	28	39
Tadh_TriadG18249	9	0	3	0	0	0	1	8	0	5	0	2	0	8	2	6	0	2	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0
Tadh_orphan_8	2	0	0	0	0	1	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52131	545	49	31	16	39	182	38	669	68	218	15	130	79	502	168	502	30	32	25	6	2	26	10	20	39	19	57	14	27	16	55	13	19
Tadh_TriadG19174	36	0	2	2	0	12	3	36	3	14	2	5	7	41	10	45	6	6	0	2	1	1	2	0	1	0	4	2	0	5	4	2	1
Tadh_TriadG52134	115	15	7	9	6	49	5	145	11	43	3	18	16	98	45	110	7	3	6	3	0	10	3	6	11	8	14	2	11	7	10	3	6
Tadh_orphan_9	7	1	0	0	3	7	1	12	1	7	0	2	6	16	1	16	1	0	0	0	0	0	0	1	2	0	0	2	1	0	5	0	0
Tadh_TriadG20152	314	27	21	24	17	130	22	413	38	118	6	106	57	340	119	326	21	20	15	7	3	11	7	19	18	13	40	17	21	20	36	6	13
Tadh_TriadG36979	625	47	38	29	31	258	35	756	67	257	20	132	76	557	202	606	31	46	35	8	7	24	15	35	35	29	66	35	24	9	66	21	19
Tadh_TriadG52139	65	3	3	4	3	37	4	90	1	22	1	14	19	80	24	53	2	8	3	3	3	3	4	3	3	2	7	2	4	2	8	2	5
Tadh_orphan_10	19	1	7	1	0	7	0	13	4	12	0	7	4	15	9	20	1	0	1	0	0	1	0	1	3	0	1	1	0	0	2	0	0
Tadh_TriadG49708	350	27	14	18	15	134	23	436	22	133	11	56	60	276	106	282	17	13	22	7	3	10	4	16	21	8	34	6	17	4	16	14	10
