lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_g00194.t1	6	1	0	3	10	9	24	16
Hhon_g00195.t1	297	205	76	300	662	274	1374	629
Hhon_orphan_21	1	1	1	1	3	0	5	3
Hhon_g00198.t1	5	10	0	16	31	8	46	26
Hhon_g00199.t1	21	13	10	26	58	14	115	42
Hhon_g00201.t1	59	51	18	68	153	55	282	149
Hhon_g00203.t1	16	7	1	12	40	15	72	27
Hhon_g00205.t1	23	14	3	32	52	27	108	42
Hhon_g00209.t1	402	260	90	395	779	353	1517	667
Hhon_g00210.t1	24	18	3	28	51	30	94	45
Hhon_orphan_22	13	8	3	5	15	8	43	14
Hhon_g00212.t1	77	39	16	65	125	46	225	107
Hhon_g00213.t1	9	6	4	14	20	9	28	13
Hhon_g00215.t1	23	12	8	15	52	29	68	41
Hhon_g00219.t1	70	54	14	87	145	56	315	174
Hhon_g00221.t1	34	22	6	25	79	28	120	59
Hhon_g00222.t1	43	25	14	32	57	28	111	65
Hhon_g00223.t1	11	7	3	11	19	11	21	24
Hhon_g00224.t1	205	130	42	183	285	173	591	304
Hhon_g00226.t1	142	81	29	105	247	124	502	207
Hhon_orphan_23	14	12	6	12	31	10	50	20
Hhon_orphan_24	17	22	7	29	42	15	78	26
Hhon_g00230.t1	174	113	33	156	288	115	597	289
Hhon_g00233.t1	24	19	7	17	58	33	129	59
Hhon_g00237.t1	108	86	26	120	186	113	338	162
Hhon_g00238.t1	207	136	48	200	387	205	687	353
Hhon_g00239.t1	21	27	8	41	59	28	113	58
Hhon_orphan_25	11	7	0	6	25	11	71	21
Hhon_g00241.t1	52	32	19	47	86	43	203	93
Hhon_orphan_26	52	22	6	51	83	37	169	80
Hhon_g00243.t1	61	42	14	49	89	47	187	73
Hhon_g00245.t1	22	26	9	28	60	29	107	54
Hhon_g00248.t1	124	79	21	105	229	107	425	216
Hhon_g00249.t1	13	19	3	20	30	14	70	32
Hhon_g00251.t1	105	129	18	93	122	46	391	112
Hhon_g00252.t1	46	24	5	34	76	28	112	67
Hhon_g00254.t1	8	7	3	15	25	11	54	20
Hhon_g00255.t1	26	14	9	28	50	20	132	55
Hhon_g00256.t1	64	24	12	57	100	35	209	111
Hhon_orphan_27	20	23	4	31	62	20	180	69
Hhon_g00258.t1	120	66	24	107	225	69	459	216
Hhon_g00260.t1	3253	2132	726	2952	5877	2591	12367	5698
Hhon_g00261.t1	1901	1157	401	1734	3241	1525	6782	3214
Hhon_orphan_28	106	86	24	98	177	69	317	159
Hhon_g00264.t1	164	95	25	179	278	118	530	247
