#OG_name	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_95	HoiH23_PlH23_008704-RA	TrH2_TrispH2_009378-RA	Hhon_g00304.t1	Tadh_TriadT20691
OG_96	HoiH23_PlH23_008701-RA	TrH2_TrispH2_009376-RA	Hhon_g00306.t1	Tadh_TriadT53986
OG_97	HoiH23_PlH23_008699-RA	TrH2_TrispH2_009373-RA	Hhon_g00308.t1	Tadh_TriadT53983
OG_98	HoiH23_PlH23_011227-RA	TrH2_TrispH2_009371-RA	Hhon_g00310.t1	Tadh_TriadT20514
OG_99	HoiH23_PlH23_010102-RA	TrH2_TrispH2_009614-RA	Hhon_g00312.t1	Tadh_TriadT53977
OG_100	HoiH23_PlH23_010101-RA	TrH2_TrispH2_009612-RA	Hhon_g00313.t1	Tadh_TriadT53975
OG_101	HoiH23_PlH23_009488-RA	TrH2_TrispH2_009604-RA	Hhon_g00321.t1	Tadh_TriadT15952
OG_102	HoiH23_PlH23_009487-RA	TrH2_TrispH2_009603-RA	Hhon_g00322.t1	Tadh_TriadT53964
OG_103	HoiH23_PlH23_009485-RA	TrH2_TrispH2_009601-RA	Hhon_g00324.t1	Tadh_TriadT53962
OG_104	HoiH23_PlH23_009484-RA	TrH2_TrispH2_009600-RA	Hhon_g00325.t1	Tadh_TriadT63703
OG_105	HoiH23_PlH23_009483-RA	TrH2_TrispH2_009599-RA	Hhon_g00326.t1	Tadh_TriadT21553
OG_106	HoiH23_PlH23_010833-RA	TrH2_TrispH2_010980-RA	Hhon_g00332.t1	Tadh_TriadT21297
OG_107	HoiH23_PlH23_010832-RA	TrH2_TrispH2_010981-RA	Hhon_g00333.t1	Tadh_TriadT21840
OG_108	HoiH23_PlH23_010830-RA	TrH2_TrispH2_010983-RA	Hhon_g00336.t1	Tadh_TriadT53952
OG_109	HoiH23_PlH23_010661-RA	TrH2_TrispH2_005700-RA	Hhon_g00338.t1	Tadh_TriadT53950
OG_110	HoiH23_PlH23_003742-RA	TrH2_TrispH2_005698-RA	Hhon_g00341.t1 Hhon_g00344.t1	Tadh_TriadT53947
OG_111	HoiH23_PlH23_003739-RA	TrH2_TrispH2_005695-RA	Hhon_g00347.t1	Tadh_TriadT53944
OG_112	HoiH23_PlH23_003737-RA	TrH2_TrispH2_005693-RA	Hhon_g00349.t1	Tadh_TriadT53941
OG_113	HoiH23_PlH23_003736-RA	TrH2_TrispH2_005692-RA	Hhon_g00350.t1	Tadh_TriadT63700
OG_114	HoiH23_PlH23_003734-RA	TrH2_TrispH2_005690-RA	Hhon_g00352.t1	Tadh_TriadT63698
OG_115	HoiH23_PlH23_003729-RA	TrH2_TrispH2_005686-RA	Hhon_g00357.t1	Tadh_wf_g2701.t1
OG_116	HoiH23_PlH23_003723-RA	TrH2_TrispH2_005680-RA	Hhon_g00362.t1	Tadh_TriadT53928
OG_117	HoiH23_PlH23_003714-RA	TrH2_TrispH2_005673-RA	Hhon_g00371.t1	Tadh_TriadT21266
