#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_211	4	4	4	1.0
OG_212	4	4	4	1.0
OG_213	4	4	4	1.0
OG_214	4	4	4	1.0
OG_215	4	4	4	1.0
OG_216	4	4	4	1.0
OG_217	4	4	4	1.0
OG_218	4	4	4	1.0
OG_219	4	4	4	1.0
OG_220	4	4	4	1.0
OG_221	4	4	4	1.0
OG_222	4	4	4	1.0
OG_223	4	4	4	1.0
OG_224	4	4	4	1.0
OG_225	4	4	4	1.0
OG_226	4	4	4	1.0
OG_227	4	4	4	1.0
OG_228	4	4	4	1.0
OG_229	4	4	4	1.0
OG_230	4	4	4	1.0
OG_231	4	4	4	1.0
OG_232	4	4	4	1.0
OG_233	4	4	4	1.0
OG_234	3	3	3	1.0
OG_235	4	4	4	1.0
OG_236	4	4	4	1.0
OG_237	4	4	4	1.0
OG_238	4	4	4	1.0
OG_239	4	4	4	1.0
OG_240	4	4	4	1.0
OG_241	4	4	4	1.0
OG_242	4	4	4	1.0
OG_243	4	4	4	1.0
OG_244	2	2	2	1.0
OG_245	4	4	4	1.0
OG_246	4	4	4	1.0
OG_247	4	4	4	1.0
OG_248	4	4	4	1.0
OG_249	4	4	4	1.0
OG_250	4	4	4	1.0
OG_251	4	4	4	1.0
OG_252	4	4	4	1.0
OG_253	3	3	3	1.0
OG_254	4	4	4	1.0
OG_255	4	4	4	1.0
OG_256	4	4	4	1.0
OG_257	4	4	4	1.0
OG_258	4	4	4	1.0
OG_259	4	4	4	1.0
OG_260	4	4	4	1.0
OG_261	4	4	4	1.0
OG_262	4	4	4	1.0
OG_263	4	4	4	1.0
OG_264	4	4	4	1.0
OG_265	4	4	4	1.0
OG_266	4	4	4	1.0
OG_267	4	4	4	1.0
OG_268	4	4	4	1.0
OG_269	4	4	4	1.0
OG_270	4	4	4	1.0
OG_271	4	4	4	1.0
OG_272	4	4	4	1.0
OG_273	4	4	4	1.0
OG_274	3	3	3	1.0
OG_275	4	4	4	1.0
OG_276	4	4	4	1.0
OG_277	4	4	4	1.0
OG_278	4	4	4	1.0
OG_279	4	4	4	1.0
OG_280	4	4	4	1.0
OG_281	4	4	4	1.0
OG_282	4	4	4	1.0
OG_283	4	4	4	1.0
OG_284	4	4	4	1.0
OG_285	4	4	4	1.0
OG_286	4	5	5	1.0
OG_287	4	4	4	1.0
OG_288	4	4	4	1.0
OG_289	4	4	4	1.0
OG_290	4	4	4	1.0
OG_291	4	6	6	0.6
OG_292	4	4	4	1.0
OG_293	4	4	4	1.0
OG_294	4	4	4	1.0
OG_295	4	4	4	1.0
OG_296	4	4	4	1.0
OG_297	4	4	4	1.0
OG_298	4	4	4	1.0
OG_299	4	4	4	1.0
OG_300	4	4	4	1.0
OG_301	4	4	4	1.0
OG_302	4	4	4	1.0
OG_303	4	4	4	1.0
OG_304	4	4	4	1.0
OG_305	4	4	4	1.0
OG_306	4	4	4	1.0
OG_307	4	4	4	1.0
OG_308	4	4	4	1.0
OG_309	4	4	4	1.0
OG_310	4	4	4	1.0
OG_311	4	4	4	1.0
OG_312	4	4	4	1.0
OG_313	4	4	4	1.0
OG_314	4	4	4	1.0
OG_315	4	4	4	1.0
OG_316	4	4	4	1.0
OG_317	4	5	5	1.0
OG_318	4	4	4	1.0
OG_319	4	7	7	0.4286
OG_320	4	4	4	1.0
OG_321	4	4	4	1.0
OG_322	3	3	3	1.0
OG_323	4	4	4	1.0
OG_324	4	4	4	1.0
OG_325	4	4	4	1.0
OG_326	4	4	4	1.0
OG_327	4	4	4	1.0
OG_328	4	4	4	1.0
OG_329	4	4	4	1.0
OG_330	4	4	4	1.0
OG_331	4	4	4	1.0
OG_332	4	4	4	1.0
OG_333	4	4	4	1.0
OG_334	4	4	4	1.0
OG_335	4	4	4	1.0
OG_336	4	4	4	1.0
OG_337	4	4	4	1.0
OG_338	4	7	7	0.5714
OG_339	4	4	4	1.0
OG_340	4	4	4	1.0
OG_341	4	4	4	1.0
OG_342	4	4	4	1.0
OG_343	4	4	4	1.0
OG_344	4	4	4	1.0
OG_345	4	4	4	1.0
OG_346	3	3	3	1.0
OG_347	4	4	4	1.0
OG_348	4	4	4	1.0
OG_349	4	4	4	1.0
OG_350	4	4	4	1.0
OG_351	4	4	4	1.0
OG_352	4	4	4	1.0
OG_353	4	4	4	1.0
OG_354	4	4	4	1.0
OG_355	4	4	4	1.0
OG_356	4	4	4	1.0
OG_357	4	4	4	1.0
OG_358	4	4	4	1.0
OG_359	4	4	4	1.0
OG_360	4	4	4	1.0
OG_361	3	3	3	1.0
OG_362	4	7	7	0.5714
OG_363	4	4	4	1.0
OG_364	4	4	4	1.0
OG_365	4	4	4	1.0
OG_366	4	4	4	1.0
OG_367	4	4	4	1.0
OG_368	4	4	4	1.0
OG_369	4	4	4	1.0
OG_370	4	4	4	1.0
OG_371	4	4	4	1.0
OG_372	4	4	4	1.0
OG_373	4	4	4	1.0
OG_374	4	4	4	1.0
OG_375	3	3	3	1.0
OG_376	4	4	4	1.0
OG_377	4	4	4	1.0
OG_378	4	4	4	1.0
OG_379	4	4	4	1.0
OG_380	4	4	4	1.0
OG_381	4	4	4	1.0
OG_382	4	4	4	1.0
OG_383	4	4	4	1.0
OG_384	4	4	4	1.0
OG_385	4	4	4	1.0
OG_386	4	4	4	1.0
OG_387	4	4	4	1.0
OG_388	4	4	4	1.0
OG_389	4	4	4	1.0
OG_390	4	4	4	1.0
OG_391	4	4	4	1.0
OG_392	4	4	4	1.0
OG_393	4	4	4	1.0
OG_394	4	4	4	1.0
OG_395	4	4	4	1.0
OG_396	4	4	4	1.0
OG_397	2	2	2	1.0
OG_398	3	3	3	1.0
OG_399	4	4	4	1.0
OG_400	4	4	4	1.0
OG_401	4	4	4	1.0
OG_402	4	4	4	1.0
OG_403	4	4	4	1.0
OG_404	4	4	4	1.0
OG_405	4	4	4	1.0
OG_406	4	4	4	1.0
OG_407	4	4	4	1.0
OG_408	4	4	4	1.0
OG_409	4	4	4	1.0
OG_410	4	4	4	1.0
OG_411	4	4	4	1.0
OG_412	4	4	4	1.0
OG_413	4	4	4	1.0
OG_414	4	4	4	1.0
OG_415	4	4	4	1.0
OG_416	4	4	4	1.0
OG_417	4	4	4	1.0
OG_418	4	4	4	1.0
OG_419	4	4	4	1.0
OG_420	4	4	4	1.0
OG_421	4	4	4	1.0
OG_422	4	4	4	1.0
OG_423	4	4	4	1.0
OG_424	4	4	4	1.0
OG_425	4	4	4	1.0
OG_426	4	4	4	1.0
OG_427	4	4	4	1.0
OG_428	4	4	4	1.0
OG_429	3	3	3	1.0
OG_430	4	4	4	1.0
OG_431	4	4	4	1.0
OG_432	4	6	6	0.6
OG_433	4	4	4	1.0
