to	from	weight
Tadh.darkolivegreen	HoiH23.magenta	0.103448275862069
Tadh.darkorange	HoiH23.palevioletred3	0.125
Tadh.darkorange2	HoiH23.turquoise	0.246350364963504
Tadh.darkred	HoiH23.midnightblue	0.287878787878788
Tadh.darkturquoise	HoiH23.salmon	0.134615384615385
Tadh.darkturquoise	HoiH23.sienna3	0.218978102189781
Tadh.floralwhite	HoiH23.lightcyan	0.127272727272727
Tadh.floralwhite	HoiH23.lightgreen	0.346938775510204
Tadh.green	HoiH23.pink	0.508771929824561
Tadh.lightcyan	HoiH23.cyan	0.101123595505618
Tadh.lightcyan1	HoiH23.floralwhite	0.5
Tadh.lightcyan1	HoiH23.thistle2	0.130434782608696
Tadh.lightgreen	HoiH23.purple	0.206896551724138
Tadh.lightsteelblue1	HoiH23.red	0.253968253968254
Tadh.magenta	HoiH23.yellowgreen	0.285714285714286
Tadh.mediumpurple3	HoiH23.red	0.220588235294118
Tadh.midnightblue	HoiH23.skyblue	0.276315789473684
Tadh.navajowhite2	HoiH23.mediumpurple3	0.117647058823529
Tadh.orange	HoiH23.orangered4	0.140625
Tadh.orange	HoiH23.plum2	0.107142857142857
Tadh.orangered4	HoiH23.lightcyan1	0.12
Tadh.paleturquoise	HoiH23.orange	0.166666666666667
Tadh.palevioletred3	HoiH23.turquoise	0.129662522202487
Tadh.pink	HoiH23.plum1	0.183333333333333
Tadh.plum1	HoiH23.paleturquoise	0.192307692307692
Tadh.plum2	HoiH23.salmon4	0.137931034482759
Tadh.purple	HoiH23.darkgrey	0.242424242424242
Tadh.red	HoiH23.black	0.871559633027523
Tadh.royalblue	HoiH23.mediumpurple3	0.106060606060606
Tadh.royalblue	HoiH23.thistle1	0.101694915254237
Tadh.royalblue	HoiH23.white	0.1875
Tadh.saddlebrown	HoiH23.darkgreen	0.129032258064516
Tadh.saddlebrown	HoiH23.darkslateblue	0.316326530612245
Tadh.salmon	HoiH23.lightyellow	0.443181818181818
Tadh.sienna3	HoiH23.salmon	0.204081632653061
Tadh.skyblue	HoiH23.darkorange	0.255813953488372
Tadh.skyblue3	HoiH23.ivory	0.16
Tadh.skyblue3	HoiH23.palevioletred3	0.19047619047619
Tadh.steelblue	HoiH23.royalblue	0.197916666666667
Tadh.tan	HoiH23.greenyellow	0.216981132075472
Tadh.turquoise	HoiH23.blue	0.570469798657718
Tadh.violet	HoiH23.darkmagenta	0.25
Tadh.white	HoiH23.lightgreen	0.108571428571429
Tadh.yellow	HoiH23.yellow	0.392694063926941
Tadh.yellowgreen	HoiH23.darkred	0.17910447761194
TrH2.black	Hhon.darkturquoise	0.305785123966942
TrH2.black	Hhon.honeydew1	0.151260504201681
TrH2.blue	Hhon.blue	0.558441558441558
TrH2.brown	Hhon.red	0.127450980392157
TrH2.brown4	Hhon.lavenderblush3	0.7
TrH2.cyan	Hhon.darkgrey	0.220338983050847
TrH2.darkgrey	Hhon.lightsteelblue1	0.127659574468085
TrH2.darkmagenta	Hhon.darkorange	0.421052631578947
TrH2.darkolivegreen	Hhon.grey60	0.308988764044944
TrH2.darkorange2	Hhon.darkmagenta	0.333333333333333
TrH2.darkorange2	Hhon.mediumpurple3	0.111111111111111
TrH2.darkseagreen4	Hhon.navajowhite2	0.234042553191489
TrH2.darkslateblue	Hhon.greenyellow	0.425531914893617
TrH2.floralwhite	Hhon.grey60	0.12280701754386
TrH2.green	Hhon.green	0.111111111111111
TrH2.grey60	Hhon.midnightblue	0.140350877192982
TrH2.lightcyan	Hhon.lightgreen	0.127272727272727
TrH2.lightcyan	Hhon.violet	0.13953488372093
TrH2.lightgreen	Hhon.orange	0.298507462686567
TrH2.lightgreen	Hhon.palevioletred3	0.149253731343284
TrH2.lightpink4	Hhon.orangered4	0.103448275862069
TrH2.lightpink4	Hhon.steelblue	0.166666666666667
TrH2.lightsteelblue1	Hhon.cyan	0.343023255813953
TrH2.magenta	Hhon.darkred	0.203125
TrH2.maroon	Hhon.darkolivegreen	0.214285714285714
TrH2.maroon	Hhon.lightcyan1	0.153846153846154
TrH2.maroon	Hhon.skyblue3	0.117647058823529
TrH2.mediumpurple3	Hhon.salmon4	0.28
TrH2.midnightblue	Hhon.lightcyan	0.240740740740741
TrH2.navajowhite2	Hhon.plum2	0.444444444444444
TrH2.orange	Hhon.turquoise	0.140597539543058
TrH2.orangered4	Hhon.lightcyan1	0.277777777777778
TrH2.orangered4	Hhon.yellowgreen	0.227272727272727
TrH2.pink	Hhon.darkgreen	0.244186046511628
TrH2.pink	Hhon.darkorange2	0.205128205128205
TrH2.plum2	Hhon.turquoise	0.125454545454545
TrH2.purple	Hhon.pink	0.136363636363636
TrH2.red	Hhon.magenta	0.401574803149606
TrH2.royalblue	Hhon.purple	0.169230769230769
TrH2.saddlebrown	Hhon.brown4	0.238095238095238
TrH2.saddlebrown	Hhon.plum1	0.222222222222222
TrH2.salmon	Hhon.pink	0.185567010309278
TrH2.salmon4	Hhon.bisque4	0.2
TrH2.skyblue	Hhon.floralwhite	0.142857142857143
TrH2.skyblue	Hhon.mediumpurple3	0.117647058823529
TrH2.skyblue	Hhon.white	0.184210526315789
TrH2.skyblue3	Hhon.black	0.150943396226415
TrH2.skyblue3	Hhon.pink	0.109243697478992
TrH2.tan	Hhon.cyan	0.256983240223464
TrH2.turquoise	Hhon.turquoise	0.42741935483871
TrH2.violet	Hhon.lightcyan1	0.115384615384615
TrH2.violet	Hhon.skyblue3	0.137931034482759
TrH2.white	Hhon.paleturquoise	0.166666666666667
TrH2.yellow	Hhon.brown	0.782608695652174
TrH2.yellowgreen	Hhon.bisque4	0.148148148148148
TrH2.yellowgreen	Hhon.darkslateblue	0.163265306122449
TrH2.black	HoiH23.pink	0.446153846153846
TrH2.blue	HoiH23.blue	0.545226130653266
TrH2.brown	HoiH23.yellow	0.393822393822394
TrH2.brown4	HoiH23.floralwhite	0.5625
TrH2.cyan	HoiH23.skyblue	0.27027027027027
TrH2.darkmagenta	HoiH23.orange	0.235294117647059
TrH2.darkolivegreen	HoiH23.royalblue	0.291457286432161
TrH2.darkorange2	HoiH23.thistle1	0.152173913043478
TrH2.darkorange2	HoiH23.white	0.166666666666667
TrH2.darkseagreen4	HoiH23.bisque4	0.277777777777778
TrH2.darkslateblue	HoiH23.salmon	0.205128205128205
TrH2.darkslateblue	HoiH23.sienna3	0.126760563380282
TrH2.floralwhite	HoiH23.brown4	0.184466019417476
TrH2.floralwhite	HoiH23.royalblue	0.148351648351648
TrH2.grey	HoiH23.darkturquoise	0.104294478527607
TrH2.grey60	HoiH23.greenyellow	0.267326732673267
TrH2.honeydew1	HoiH23.skyblue3	0.135135135135135
TrH2.lightcyan	HoiH23.darkgrey	0.25
