orthogroup	module_Tadh	ct_Tadh	module_TrH2	ct_TrH2	module_Hhon	ct_Hhon	module_HoiH23	ct_HoiH23
OG_1098	Tadh.cyan	peptidergic	TrH2.pink	unknown_1	Hhon.grey60	peptidergic	HoiH23.royalblue	peptidergic
OG_11	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_110	Tadh.darkorange	epithelia	TrH2.orangered4	epithelia	Hhon.skyblue3	epithelia	HoiH23.palevioletred3	epithelia
OG_110	Tadh.darkorange	epithelia	TrH2.orangered4	epithelia	Hhon.skyblue3	epithelia	HoiH23.palevioletred3	epithelia
OG_1107	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1115	Tadh.yellow	epithelia	TrH2.brown	epithelia	Hhon.salmon	epithelia	HoiH23.yellow	epithelia
OG_112	Tadh.turquoise	fibre	TrH2.blue	fibre	Hhon.turquoise	lipophil	HoiH23.bisque4	lipophil
OG_1122	Tadh.darkorange2	lipophil	TrH2.orange	unknown_2	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_114	Tadh.ivory	lipophil	TrH2.turquoise	lipophil	Hhon.navajowhite2	lipophil	HoiH23.bisque4	lipophil
OG_1141	Tadh.turquoise	fibre	TrH2.grey	unknown_2	Hhon.blue	fibre	HoiH23.blue	fibre
OG_1176	Tadh.brown	lipophil	TrH2.thistle1	fibre	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1178	Tadh.mediumpurple3	peptidergic	TrH2.red	peptidergic	Hhon.magenta	peptidergic	HoiH23.red	peptidergic
OG_1186	Tadh.brown	lipophil	TrH2.plum2	lipophil	Hhon.turquoise	lipophil	HoiH23.blue	fibre
OG_1187	Tadh.skyblue	peptidergic	TrH2.midnightblue	peptidergic	Hhon.saddlebrown	peptidergic	HoiH23.darkorange	peptidergic
OG_1189	Tadh.paleturquoise	peptidergic	TrH2.darkmagenta	peptidergic	Hhon.darkorange	peptidergic	HoiH23.orange	peptidergic
OG_1207	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1209	Tadh.darkorange2	lipophil	TrH2.turquoise	lipophil	Hhon.red	epithelia	HoiH23.turquoise	lipophil
OG_1218	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1238	Tadh.royalblue	peptidergic	TrH2.salmon4	peptidergic	Hhon.darkslateblue	peptidergic	HoiH23.mediumpurple3	peptidergic
OG_1242	Tadh.turquoise	fibre	TrH2.blue	fibre	Hhon.blue	fibre	HoiH23.skyblue3	fibre
OG_1246	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1255	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1256	Tadh.purple	peptidergic	TrH2.lightcyan	peptidergic	Hhon.lightgreen	peptidergic	HoiH23.darkgrey	peptidergic
OG_1290	Tadh.darkorange2	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1291	Tadh.darkolivegreen	epithelia_gland_like	TrH2.darkturquoise	unknown_2	Hhon.green	epithelia_gland_like	HoiH23.black	epithelia_gland_like
OG_1298	Tadh.brown	lipophil	TrH2.darkseagreen4	lipophil	Hhon.navajowhite2	lipophil	HoiH23.turquoise	lipophil
