module	community	bct	cts	species
HoiH23.palevioletred3	gc007	epithelia	epithelia_unknown	HoiH23
HoiH23.saddlebrown	gc007	epithelia	epithelia_unknown	HoiH23
Tadh.darkred	gc008	peptidergic	peptidergic_lambda	Tadh
Tadh.skyblue	gc008	peptidergic	peptidergic_lambda	Tadh
TrH2.midnightblue	gc008	peptidergic	peptidergic_lambda	TrH2
Hhon.lightcyan	gc008	peptidergic	peptidergic_lambda	Hhon
Hhon.saddlebrown	gc008	peptidergic	peptidergic_lambda	Hhon
HoiH23.darkorange	gc008	peptidergic	peptidergic_lambda	HoiH23
HoiH23.midnightblue	gc008	peptidergic	peptidergic_lambda	HoiH23
Tadh.thistle2	gc009	unknown_2	unknown_2.2	Tadh
TrH2.salmon	gc009	unknown_2	unknown_2.2	TrH2
Tadh.floralwhite	gc010	unknown_2	unknown_2.2	Tadh
Tadh.white	gc010	unknown_2	unknown_2.2	Tadh
Hhon.black	gc010	epithelia_gland_like	epithelia_gland_like	Hhon
Hhon.pink	gc010	epithelia_gland_like	NA	Hhon
HoiH23.lightcyan	gc010	epithelia_gland_like	NA	HoiH23
HoiH23.lightgreen	gc010	epithelia_gland_like	peptidergic_progenitors	HoiH23
Tadh.green	gc011	peptidergic	peptidergic_alpha	Tadh
TrH2.black	gc011	peptidergic	peptidergic_alpha	TrH2
Hhon.darkturquoise	gc011	peptidergic	peptidergic_alpha	Hhon
Hhon.honeydew1	gc011	peptidergic	peptidergic_alpha	Hhon
HoiH23.pink	gc011	peptidergic	peptidergic_alpha	HoiH23
Tadh.greenyellow	gc012	unknown_2	unknown_2.1	Tadh
TrH2.darkturquoise	gc012	unknown_2	unknown_2.1	TrH2
Tadh.lightcyan1	gc013	peptidergic	peptidergic_beta	Tadh
TrH2.brown4	gc013	peptidergic	peptidergic_beta	TrH2
Hhon.ivory	gc013	peptidergic	peptidergic_beta	Hhon
Hhon.lavenderblush3	gc013	peptidergic	peptidergic_beta	Hhon
HoiH23.floralwhite	gc013	peptidergic	peptidergic_beta	HoiH23
HoiH23.thistle2	gc013	peptidergic	peptidergic_beta	HoiH23
Tadh.lightgreen	gc014	peptidergic	peptidergic_nu	Tadh
TrH2.magenta	gc014	peptidergic	peptidergic_nu	TrH2
Hhon.darkred	gc014	peptidergic	peptidergic_other_2	Hhon
HoiH23.purple	gc014	peptidergic	peptidergic_nu	HoiH23
Tadh.lightsteelblue1	gc015	peptidergic	peptidergic_iota	Tadh
Tadh.mediumpurple3	gc015	peptidergic	peptidergic_iota	Tadh
TrH2.red	gc015	peptidergic	peptidergic_iota	TrH2
Hhon.magenta	gc015	peptidergic	peptidergic_iota	Hhon
HoiH23.red	gc015	peptidergic	peptidergic_iota	HoiH23
Tadh.magenta	gc016	peptidergic	peptidergic_mu_like	Tadh
Tadh.plum2	gc016	peptidergic	peptidergic_mu	Tadh
Tadh.violet	gc016	peptidergic	peptidergic_mu	Tadh
TrH2.lightgreen	gc016	peptidergic	peptidergic_mu	TrH2
TrH2.saddlebrown	gc016	peptidergic	peptidergic_mu_like	TrH2
Hhon.brown4	gc016	peptidergic	peptidergic_mu_like	Hhon
Hhon.orange	gc016	peptidergic	peptidergic_mu	Hhon
Hhon.palevioletred3	gc016	peptidergic	peptidergic_mu	Hhon
Hhon.plum1	gc016	peptidergic	peptidergic_mu_like	Hhon
HoiH23.darkmagenta	gc016	peptidergic	peptidergic_mu	HoiH23
HoiH23.darkorange2	gc016	peptidergic	NA	HoiH23
HoiH23.salmon4	gc016	peptidergic	peptidergic_mu_like	HoiH23
HoiH23.yellowgreen	gc016	peptidergic	peptidergic_mu_like	HoiH23
Tadh.midnightblue	gc017	peptidergic	peptidergic_omicron	Tadh
TrH2.cyan	gc017	peptidergic	peptidergic_omicron	TrH2
Hhon.darkgrey	gc017	peptidergic	peptidergic_omicron	Hhon
