module	community	label	color	classification
Hhon.yellowgreen	gc005	epithelia_unknown	plum2	epithelia
HoiH23.ivory	gc005	epithelia_unknown	plum2	epithelia
HoiH23.navajowhite2	gc005	epithelia_unknown	plum2	epithelia
HoiH23.palevioletred3	gc005	epithelia_unknown	plum2	epithelia
HoiH23.saddlebrown	gc005	epithelia_unknown	plum2	epithelia
Tadh.darkred	gc006	peptidergic_lambda	cyan2	peptidergic
Tadh.skyblue	gc006	peptidergic_lambda	cyan2	peptidergic
TrH2.midnightblue	gc006	peptidergic_lambda	cyan2	peptidergic
Hhon.lightcyan	gc006	peptidergic_lambda	cyan2	peptidergic
Hhon.saddlebrown	gc006	peptidergic_lambda	cyan2	peptidergic
HoiH23.darkorange	gc006	peptidergic_lambda	cyan2	peptidergic
HoiH23.midnightblue	gc006	peptidergic_lambda	cyan2	peptidergic
Tadh.darkgrey	gc007a	meiosis	darkseagreen1	none
Tadh.thistle2	gc007a	meiosis	darkseagreen1	none
TrH2.grey	gc007a	meiosis	darkseagreen1	none
TrH2.purple	gc007a	meiosis	darkseagreen1	none
TrH2.salmon	gc007a	meiosis	darkseagreen1	none
TrH2.skyblue3	gc007a	meiosis	darkseagreen1	none
Tadh.white	gc007b	cell_cycle_1	darkseagreen2	none
Tadh.floralwhite	gc007b	cell_cycle_1	darkseagreen2	none
Hhon.black	gc007b	cell_cycle_1	darkseagreen2	none
Hhon.pink	gc007b	cell_cycle_1	darkseagreen2	none
HoiH23.lightcyan	gc007b	cell_cycle_1	darkseagreen2	none
HoiH23.lightgreen	gc007b	cell_cycle_1	darkseagreen2	none
Tadh.green	gc008	peptidergic_alpha	dodgerblue1	peptidergic
TrH2.black	gc008	peptidergic_alpha	dodgerblue1	peptidergic
Hhon.darkturquoise	gc008	peptidergic_alpha	dodgerblue1	peptidergic
Hhon.honeydew1	gc008	peptidergic_alpha	dodgerblue1	peptidergic
HoiH23.pink	gc008	peptidergic_alpha	dodgerblue1	peptidergic
Tadh.greenyellow	gc009	unknown_2.1	darkolivegreen3	unknown_2
TrH2.darkturquoise	gc009	unknown_2.1	darkolivegreen3	unknown_2
Tadh.lightcyan1	gc010	peptidergic_beta	dodgerblue3	peptidergic
TrH2.brown4	gc010	peptidergic_beta	dodgerblue3	peptidergic
Hhon.ivory	gc010	peptidergic_beta	dodgerblue3	peptidergic
Hhon.lavenderblush3	gc010	peptidergic_beta	dodgerblue3	peptidergic
HoiH23.floralwhite	gc010	peptidergic_beta	dodgerblue3	peptidergic
HoiH23.thistle2	gc010	peptidergic_beta	dodgerblue3	peptidergic
Tadh.lightgreen	gc011a	peptidergic_nu	cyan4	peptidergic
TrH2.magenta	gc011a	peptidergic_nu	cyan4	peptidergic
Hhon.darkred	gc011a	peptidergic_other_2	cyan4	peptidergic
HoiH23.purple	gc011a	peptidergic_nu	cyan4	peptidergic
Tadh.lightsteelblue1	gc012	peptidergic_iota	deepskyblue1	peptidergic
