orthogroup	genes_input	genes_output	species_input	species_output	occupancy_output	kept_orthogroup
OG_10464	95	60	60	60	0.952380952380952	OG0
OG_1047	63	56	56	56	0.888888888888889	OG0
OG_1048	63	52	55	52	0.825396825396825	OG0
OG_1049	49	21	42	21	0.333333333333333	OG0
OG_1051	188	42	61	42	0.666666666666667	OG0
OG_1052	58	55	55	55	0.873015873015873	OG0
OG_1053	60	55	55	55	0.873015873015873	OG0
OG_10532	68	36	55	36	0.571428571428571	OG1
OG_10535	103	52	55	52	0.825396825396825	OG1
OG_10542	57	54	54	54	0.857142857142857	OG0
OG_1055	84	43	56	43	0.682539682539683	OG1
OG_10559	41	33	39	33	0.523809523809524	OG0
OG_1057	83	51	53	51	0.80952380952381	OG0
OG_10571	94	60	60	60	0.952380952380952	OG0
OG_10576	46	38	41	38	0.603174603174603	OG0
OG_1058	63	51	53	51	0.80952380952381	OG0
OG_10580	73	50	50	50	0.793650793650794	OG0
OG_10586	85	39	40	39	0.619047619047619	OG1
OG_10589	74	55	62	55	0.873015873015873	OG1
OG_1059	60	56	56	56	0.888888888888889	OG0
OG_10595	64	49	52	49	0.777777777777778	OG0
OG_10599	63	45	48	45	0.714285714285714	OG0
OG_1060	106	28	63	28	0.444444444444444	OG4
OG_10601	51	46	47	46	0.73015873015873	OG0
OG_10604	55	50	52	50	0.793650793650794	OG0
OG_10608	60	38	38	38	0.603174603174603	OG0
OG_10609	105	61	61	61	0.968253968253968	OG0
OG_1061	51	32	41	32	0.507936507936508	OG0
OG_10610	85	54	62	54	0.857142857142857	OG1
OG_10612	66	45	49	45	0.714285714285714	OG1
OG_10618	66	49	49	49	0.777777777777778	OG0
OG_1062	56	42	51	42	0.666666666666667	OG1
OG_10629	105	61	61	61	0.968253968253968	OG0
OG_1063	82	40	51	40	0.634920634920635	OG1
OG_10630	68	51	54	51	0.80952380952381	OG0
OG_10636	70	44	55	44	0.698412698412698	OG2
OG_10637	81	47	55	47	0.746031746031746	OG0
OG_10644	78	52	52	52	0.825396825396825	OG0
OG_10645	88	30	38	30	0.476190476190476	OG4
OG_10648	60	46	48	46	0.73015873015873	OG0
OG_10650	65	50	52	50	0.793650793650794	OG0
OG_10658	53	43	43	43	0.682539682539683	OG0
OG_10659	76	50	50	50	0.793650793650794	OG0
OG_10662	55	43	43	43	0.682539682539683	OG0
OG_1067	87	61	61	61	0.968253968253968	OG0
OG_10673	79	59	59	59	0.936507936507937	OG0
OG_10674	88	34	58	34	0.53968253968254	OG1
OG_10677	82	54	57	54	0.857142857142857	OG1
OG_10679	112	58	58	58	0.920634920634921	OG0
OG_1068	72	56	57	56	0.888888888888889	OG0
OG_10681	68	51	54	51	0.80952380952381	OG0
OG_10683	102	58	59	58	0.920634920634921	OG0
OG_10684	87	43	62	43	0.682539682539683	OG1
OG_10685	46	29	34	29	0.46031746031746	OG0
OG_10687	62	57	57	57	0.904761904761905	OG0
OG_10689	70	57	57	57	0.904761904761905	OG0
OG_1069	85	41	59	41	0.650793650793651	OG1
OG_10693	39	35	35	35	0.555555555555556	OG0
OG_10694	129	26	60	26	0.412698412698413	OG0
OG_10695	69	53	56	53	0.841269841269841	OG1
OG_10697	65	53	56	53	0.841269841269841	OG0
OG_10700	103	59	59	59	0.936507936507937	OG0
OG_10704	44	39	42	39	0.619047619047619	OG0
OG_10705	79	50	51	50	0.793650793650794	OG0
OG_10706	63	54	55	54	0.857142857142857	OG0
OG_10709	63	49	52	49	0.777777777777778	OG0
OG_10710	64	52	53	52	0.825396825396825	OG0
OG_10713	52	45	45	45	0.714285714285714	OG0
OG_10715	74	26	39	26	0.412698412698413	OG0
OG_1072	73	50	52	50	0.793650793650794	OG1
OG_10721	46	41	42	41	0.650793650793651	OG0
OG_10725	95	55	55	55	0.873015873015873	OG0
OG_10729	79	43	45	43	0.682539682539683	OG0
OG_1073	64	39	54	39	0.619047619047619	OG1
OG_10737	88	31	58	31	0.492063492063492	OG3
OG_10738	58	54	54	54	0.857142857142857	OG0
OG_10739	54	42	44	42	0.666666666666667	OG1
OG_1074	82	42	44	42	0.666666666666667	OG0
OG_10744	115	59	59	59	0.936507936507937	OG0
OG_10747	63	46	47	46	0.73015873015873	OG0
OG_10748	61	43	47	43	0.682539682539683	OG1
OG_10749	61	49	49	49	0.777777777777778	OG0
OG_1075	58	50	50	50	0.793650793650794	OG0
OG_10752	60	53	53	53	0.841269841269841	OG0
OG_10753	56	30	37	30	0.476190476190476	OG1
OG_1076	65	55	57	55	0.873015873015873	OG0
OG_10761	70	54	58	54	0.857142857142857	OG0
OG_10762	72	58	60	58	0.920634920634921	OG0
OG_10763	62	52	53	52	0.825396825396825	OG0
OG_10766	75	58	58	58	0.920634920634921	OG0
OG_1077	77	58	59	58	0.920634920634921	OG0
OG_10771	85	56	61	56	0.888888888888889	OG1
OG_10773	58	49	50	49	0.777777777777778	OG0
OG_1078	62	48	51	48	0.761904761904762	OG0
OG_10780	70	47	48	47	0.746031746031746	OG0
OG_10789	97	61	61	61	0.968253968253968	OG0
OG_10796	105	55	56	55	0.873015873015873	OG0
OG_108	47	35	41	35	0.555555555555556	OG1
OG_10801	78	52	53	52	0.825396825396825	OG0
OG_10804	54	42	44	42	0.666666666666667	OG0
OG_10805	47	43	43	43	0.682539682539683	OG0
OG_1081	67	37	59	37	0.587301587301587	OG3
OG_10814	70	48	54	48	0.761904761904762	OG1
OG_10819	51	44	46	44	0.698412698412698	OG0
OG_1082	71	43	56	43	0.682539682539683	OG1
OG_10823	57	31	45	31	0.492063492063492	OG1
OG_10828	75	54	55	54	0.857142857142857	OG0
OG_1083	41	36	40	36	0.571428571428571	OG0
OG_10832	56	48	53	48	0.761904761904762	OG0
OG_10836	70	54	58	54	0.857142857142857	OG0
OG_10838	65	55	55	55	0.873015873015873	OG0
OG_1084	63	54	55	54	0.857142857142857	OG0
OG_10843	125	32	58	32	0.507936507936508	OG1
OG_10845	40	20	38	20	0.317460317460317	OG1
OG_1085	91	46	60	46	0.73015873015873	OG1
OG_10850	61	54	56	54	0.857142857142857	OG0
OG_10852	76	41	55	41	0.650793650793651	OG1
OG_10853	50	24	39	24	0.380952380952381	OG1
OG_1086	70	54	61	54	0.857142857142857	OG0
OG_10860	63	57	57	57	0.904761904761905	OG0
OG_10863	62	54	54	54	0.857142857142857	OG0
OG_10874	52	44	44	44	0.698412698412698	OG0
OG_1088	64	50	52	50	0.793650793650794	OG0
OG_10895	68	43	43	43	0.682539682539683	OG0
OG_109	54	34	49	34	0.53968253968254	OG1
OG_1090	94	25	62	25	0.396825396825397	OG1
OG_10902	74	49	60	49	0.777777777777778	OG1
OG_10907	85	47	47	47	0.746031746031746	OG0
OG_1091	80	54	54	54	0.857142857142857	OG0
OG_10911	82	43	54	43	0.682539682539683	OG1
OG_10914	47	37	38	37	0.587301587301587	OG0
OG_10919	44	34	40	34	0.53968253968254	OG0
OG_1092	64	53	58	53	0.841269841269841	OG0
OG_10921	73	58	59	58	0.920634920634921	OG0
OG_10922	81	40	57	40	0.634920634920635	OG1
OG_10923	67	58	58	58	0.920634920634921	OG0
OG_10925	80	52	53	52	0.825396825396825	OG0
OG_10926	113	35	36	35	0.555555555555556	OG3
OG_1093	87	31	61	31	0.492063492063492	OG4
OG_10930	59	48	49	48	0.761904761904762	OG0
OG_10935	57	46	47	46	0.73015873015873	OG0
OG_10936	101	59	59	59	0.936507936507937	OG1
OG_1094	40	34	37	34	0.53968253968254	OG0
OG_10944	59	49	49	49	0.777777777777778	OG0
OG_1095	60	48	48	48	0.761904761904762	OG0
OG_10953	70	58	59	58	0.920634920634921	OG0
OG_1096	80	35	63	35	0.555555555555556	OG1
OG_10966	62	56	57	56	0.888888888888889	OG0
OG_10972	83	57	58	57	0.904761904761905	OG0
OG_10977	120	48	62	48	0.761904761904762	OG2
OG_1098	49	21	45	21	0.333333333333333	OG0
OG_10985	156	40	41	40	0.634920634920635	OG0
OG_10986	62	51	54	51	0.80952380952381	OG0
OG_10989	120	35	61	35	0.555555555555556	OG2
OG_1099	91	42	57	42	0.666666666666667	OG0
OG_10999	59	49	52	49	0.777777777777778	OG0
OG_11	70	58	59	58	0.920634920634921	OG0
OG_110	62	48	48	48	0.761904761904762	OG0
OG_1100	46	38	38	38	0.603174603174603	OG0
OG_11001	105	62	62	62	0.984126984126984	OG1
OG_11010	51	42	43	42	0.666666666666667	OG0
OG_11014	56	47	48	47	0.746031746031746	OG0
OG_11018	92	60	60	60	0.952380952380952	OG0
OG_1102	60	52	54	52	0.825396825396825	OG0
OG_11021	53	37	38	37	0.587301587301587	OG0
OG_11028	58	47	51	47	0.746031746031746	OG0
OG_11033	46	35	37	35	0.555555555555556	OG0
OG_11044	68	48	54	48	0.761904761904762	OG1
OG_1105	80	53	55	53	0.841269841269841	OG1
OG_1106	70	60	60	60	0.952380952380952	OG0
OG_11069	89	58	58	58	0.920634920634921	OG0
OG_1107	63	38	54	38	0.603174603174603	OG1
OG_1108	67	54	57	54	0.857142857142857	OG0
OG_11088	68	26	51	26	0.412698412698413	OG0
OG_1109	58	53	54	53	0.841269841269841	OG0
OG_11095	81	56	57	56	0.888888888888889	OG0
OG_11098	59	51	52	51	0.80952380952381	OG0
OG_1110	75	54	57	54	0.857142857142857	OG0
OG_11112	120	59	62	59	0.936507936507937	OG1
OG_1112	77	57	58	57	0.904761904761905	OG0
OG_11128	79	58	58	58	0.920634920634921	OG0
OG_1113	61	43	51	43	0.682539682539683	OG1
OG_11132	60	46	46	46	0.73015873015873	OG0
OG_1114	62	52	53	52	0.825396825396825	OG0
OG_11147	59	44	49	44	0.698412698412698	OG0
OG_11153	104	61	61	61	0.968253968253968	OG0
OG_1116	45	41	41	41	0.650793650793651	OG0
OG_11161	44	38	41	38	0.603174603174603	OG0
OG_11165	57	49	50	49	0.777777777777778	OG0
OG_11168	73	59	60	59	0.936507936507937	OG0
OG_11173	165	61	62	61	0.968253968253968	OG1
OG_11177	73	55	59	55	0.873015873015873	OG0
OG_11181	81	52	58	52	0.825396825396825	OG1
OG_11185	173	62	63	62	0.984126984126984	OG0
OG_1119	66	50	50	50	0.793650793650794	OG0
OG_11199	80	55	59	55	0.873015873015873	OG0
OG_112	81	61	61	61	0.968253968253968	OG0
OG_11215	59	46	46	46	0.73015873015873	OG0
OG_1122	69	56	56	56	0.888888888888889	OG0
OG_11239	45	38	40	38	0.603174603174603	OG0
OG_1124	99	25	59	25	0.396825396825397	OG3
OG_11244	93	59	61	59	0.936507936507937	OG0
OG_11254	131	56	57	56	0.888888888888889	OG0
OG_11255	89	58	60	58	0.920634920634921	OG0
OG_11267	100	59	60	59	0.936507936507937	OG1
OG_1127	56	39	51	39	0.619047619047619	OG1
OG_11270	129	18	32	18	0.285714285714286	OG0
OG_11272	97	56	57	56	0.888888888888889	OG0
OG_11273	78	20	50	20	0.317460317460317	OG4
OG_1128	44	31	32	31	0.492063492063492	OG0
OG_11286	77	51	51	51	0.80952380952381	OG0
OG_11291	87	47	58	47	0.746031746031746	OG1
OG_11297	110	61	61	61	0.968253968253968	OG0
OG_113	87	28	42	28	0.444444444444444	OG5
OG_11300	73	58	59	58	0.920634920634921	OG0
OG_11306	75	54	57	54	0.857142857142857	OG0
OG_11308	41	36	36	36	0.571428571428571	OG0
OG_1131	68	53	54	53	0.841269841269841	OG0
OG_11310	216	51	51	51	0.80952380952381	OG0
OG_11317	75	51	54	51	0.80952380952381	OG1
OG_1132	79	61	61	61	0.968253968253968	OG0
OG_11329	78	52	52	52	0.825396825396825	OG0
OG_1133	79	55	59	55	0.873015873015873	OG3
OG_11335	71	29	43	29	0.46031746031746	OG0
OG_11336	59	35	47	35	0.555555555555556	OG0
OG_11345	79	60	60	60	0.952380952380952	OG0
OG_1135	77	61	61	61	0.968253968253968	OG0
OG_11354	75	55	55	55	0.873015873015873	OG0
OG_11357	77	58	59	58	0.920634920634921	OG1
OG_11359	121	38	39	38	0.603174603174603	OG0
OG_1136	70	57	57	57	0.904761904761905	OG0
OG_11362	57	49	49	49	0.777777777777778	OG0
OG_1137	72	46	57	46	0.73015873015873	OG2
OG_11375	59	40	41	40	0.634920634920635	OG0
OG_11380	61	44	47	44	0.698412698412698	OG0
OG_11389	71	56	57	56	0.888888888888889	OG0
OG_1139	75	60	60	60	0.952380952380952	OG0
OG_11392	69	51	53	51	0.80952380952381	OG0
OG_11397	41	35	36	35	0.555555555555556	OG0
OG_114	62	52	52	52	0.825396825396825	OG0
OG_1140	77	60	60	60	0.952380952380952	OG0
OG_11401	55	43	43	43	0.682539682539683	OG0
OG_11402	84	60	60	60	0.952380952380952	OG0
OG_1141	67	57	57	57	0.904761904761905	OG0
OG_11410	49	35	47	35	0.555555555555556	OG1
OG_11411	143	55	56	55	0.873015873015873	OG0
OG_11412	84	33	33	33	0.523809523809524	OG3
OG_11413	86	51	54	51	0.80952380952381	OG1
OG_11415	67	50	56	50	0.793650793650794	OG1
OG_11416	76	62	62	62	0.984126984126984	OG0
OG_1142	39	32	38	32	0.507936507936508	OG0
OG_11425	82	23	62	23	0.365079365079365	OG6
OG_11427	81	59	59	59	0.936507936507937	OG0
OG_1143	68	45	46	45	0.714285714285714	OG0
OG_11441	61	39	49	39	0.619047619047619	OG2
OG_11442	47	32	34	32	0.507936507936508	OG0
OG_11446	79	52	58	52	0.825396825396825	OG1
OG_11448	41	34	39	34	0.53968253968254	OG1
OG_11449	83	52	53	52	0.825396825396825	OG0
OG_11450	56	48	48	48	0.761904761904762	OG0
OG_11452	49	41	47	41	0.650793650793651	OG0
OG_11453	82	57	58	57	0.904761904761905	OG1
OG_1146	58	15	45	15	0.238095238095238	OG3
OG_11461	54	29	38	29	0.46031746031746	OG0
OG_11465	74	57	57	57	0.904761904761905	OG0
OG_1147	72	57	57	57	0.904761904761905	OG0
OG_11471	46	30	36	30	0.476190476190476	OG1
OG_11474	70	47	48	47	0.746031746031746	OG0
OG_11475	76	52	52	52	0.825396825396825	OG1
OG_11476	75	58	58	58	0.920634920634921	OG0
OG_11478	58	54	54	54	0.857142857142857	OG0
OG_11479	71	27	54	27	0.428571428571429	OG3
OG_1148	61	28	43	28	0.444444444444444	OG1
OG_11481	76	52	54	52	0.825396825396825	OG0
OG_11482	68	47	54	47	0.746031746031746	OG1
OG_11484	55	42	48	42	0.666666666666667	OG1
OG_11486	51	46	47	46	0.73015873015873	OG0
OG_11487	51	40	40	40	0.634920634920635	OG0
OG_11489	38	35	36	35	0.555555555555556	OG0
OG_1149	72	55	55	55	0.873015873015873	OG0
OG_11491	49	28	44	28	0.444444444444444	OG1
OG_115	71	59	59	59	0.936507936507937	OG0
OG_11500	62	55	56	55	0.873015873015873	OG0
OG_11507	84	58	58	58	0.920634920634921	OG0
OG_11509	98	55	55	55	0.873015873015873	OG0
OG_11512	83	56	60	56	0.888888888888889	OG0
OG_11517	58	31	46	31	0.492063492063492	OG2
OG_11527	78	45	57	45	0.714285714285714	OG1
OG_1153	55	47	51	47	0.746031746031746	OG0
OG_11532	99	43	53	43	0.682539682539683	OG1
OG_11535	81	58	58	58	0.920634920634921	OG0
OG_11537	67	49	51	49	0.777777777777778	OG0
OG_11540	37	34	35	34	0.53968253968254	OG0
OG_11542	58	49	49	49	0.777777777777778	OG0
OG_11544	76	57	57	57	0.904761904761905	OG0
OG_11548	39	28	36	28	0.444444444444444	OG1
OG_11555	61	54	56	54	0.857142857142857	OG0
OG_1156	86	57	60	57	0.904761904761905	OG1
OG_11563	82	59	61	59	0.936507936507937	OG0
OG_11566	86	57	59	57	0.904761904761905	OG0
OG_11567	79	58	58	58	0.920634920634921	OG0
OG_11571	43	31	40	31	0.492063492063492	OG0
OG_11578	138	35	62	35	0.555555555555556	OG7
OG_1158	79	54	59	54	0.857142857142857	OG0
OG_11584	82	56	57	56	0.888888888888889	OG0
OG_11585	93	24	56	24	0.380952380952381	OG2
OG_11588	51	43	47	43	0.682539682539683	OG0
OG_1159	43	38	39	38	0.603174603174603	OG0
OG_116	75	50	60	50	0.793650793650794	OG1
OG_1160	89	48	57	48	0.761904761904762	OG0
OG_1161	53	49	49	49	0.777777777777778	OG0
OG_11615	65	50	52	50	0.793650793650794	OG0
OG_1162	57	47	47	47	0.746031746031746	OG0
OG_11628	41	39	39	39	0.619047619047619	OG0
OG_1164	71	52	60	52	0.825396825396825	OG0
OG_11644	58	45	46	45	0.714285714285714	OG1
OG_1165	63	23	55	23	0.365079365079365	OG0
OG_11655	62	48	49	48	0.761904761904762	OG0
OG_1166	69	58	58	58	0.920634920634921	OG0
OG_11662	34	30	34	30	0.476190476190476	OG0
OG_11666	99	62	62	62	0.984126984126984	OG0
OG_11668	70	34	57	34	0.53968253968254	OG1
OG_11674	50	19	34	19	0.301587301587302	OG0
OG_11675	35	31	34	31	0.492063492063492	OG0
OG_11678	47	32	44	32	0.507936507936508	OG1
OG_11689	46	43	44	43	0.682539682539683	OG0
OG_117	67	27	53	27	0.428571428571429	OG2
OG_1170	60	55	56	55	0.873015873015873	OG0
OG_1171	75	53	59	53	0.841269841269841	OG1
OG_11717	45	42	43	42	0.666666666666667	OG0
OG_11721	70	54	55	54	0.857142857142857	OG0
OG_1173	40	32	36	32	0.507936507936508	OG1
OG_11739	70	59	59	59	0.936507936507937	OG0
OG_1174	81	51	58	51	0.80952380952381	OG1
OG_1175	66	54	56	54	0.857142857142857	OG1
OG_1176	75	59	59	59	0.936507936507937	OG0
OG_1178	43	34	36	34	0.53968253968254	OG0
OG_11783	47	38	41	38	0.603174603174603	OG0
OG_11799	69	53	54	53	0.841269841269841	OG1
OG_118	77	60	60	60	0.952380952380952	OG1
OG_1180	71	54	55	54	0.857142857142857	OG0
OG_11801	167	38	50	38	0.603174603174603	OG1
OG_1181	83	58	59	58	0.920634920634921	OG1
OG_1182	68	55	56	55	0.873015873015873	OG0
OG_11833	42	40	41	40	0.634920634920635	OG0
OG_11834	86	48	49	48	0.761904761904762	OG0
OG_11837	116	22	61	22	0.349206349206349	OG2
OG_11838	73	57	60	57	0.904761904761905	OG0
OG_11840	144	61	61	61	0.968253968253968	OG0
OG_11843	62	53	54	53	0.841269841269841	OG0
OG_1185	87	57	57	57	0.904761904761905	OG0
OG_11850	68	54	54	54	0.857142857142857	OG0
OG_11853	70	50	50	50	0.793650793650794	OG0
OG_11854	76	52	53	52	0.825396825396825	OG0
OG_11856	53	43	44	43	0.682539682539683	OG0
OG_11857	89	59	59	59	0.936507936507937	OG2
OG_11859	66	35	37	35	0.555555555555556	OG0
OG_1186	84	59	61	59	0.936507936507937	OG2
OG_11867	55	49	49	49	0.777777777777778	OG0
OG_1187	86	43	52	43	0.682539682539683	OG1
OG_11870	49	35	46	35	0.555555555555556	OG1
OG_11872	59	49	53	49	0.777777777777778	OG0
OG_1188	97	59	62	59	0.936507936507937	OG0
OG_11880	72	53	55	53	0.841269841269841	OG1
OG_11882	55	50	51	50	0.793650793650794	OG0
OG_11886	91	63	63	63	1	OG0
OG_1189	52	44	49	44	0.698412698412698	OG0
OG_119	101	59	59	59	0.936507936507937	OG0
OG_1190	68	59	60	59	0.936507936507937	OG0
OG_11901	98	61	61	61	0.968253968253968	OG0
OG_1191	53	47	48	47	0.746031746031746	OG0
OG_11910	100	35	62	35	0.555555555555556	OG1
OG_11911	97	58	58	58	0.920634920634921	OG0
OG_1192	65	55	55	55	0.873015873015873	OG0
OG_11921	38	30	32	30	0.476190476190476	OG0
OG_1193	64	54	55	54	0.857142857142857	OG0
OG_11930	86	42	43	42	0.666666666666667	OG0
OG_11937	68	55	55	55	0.873015873015873	OG0
OG_11940	78	54	63	54	0.857142857142857	OG1
OG_1195	72	56	58	56	0.888888888888889	OG0
OG_11953	92	56	57	56	0.888888888888889	OG0
OG_11958	74	58	58	58	0.920634920634921	OG0
OG_1196	43	29	39	29	0.46031746031746	OG1
OG_1197	66	48	55	48	0.761904761904762	OG1
OG_11977	81	37	40	37	0.587301587301587	OG1
OG_11978	49	42	46	42	0.666666666666667	OG0
OG_1199	63	43	50	43	0.682539682539683	OG1
OG_120	68	56	57	56	0.888888888888889	OG0
OG_1200	50	44	48	44	0.698412698412698	OG0
OG_12005	40	39	39	39	0.619047619047619	OG0
OG_12008	56	45	45	45	0.714285714285714	OG0
OG_12011	168	30	32	30	0.476190476190476	OG0
OG_12012	54	51	52	51	0.80952380952381	OG0
OG_1202	36	26	32	26	0.412698412698413	OG1
OG_1203	49	46	47	46	0.73015873015873	OG0
OG_12035	73	50	51	50	0.793650793650794	OG2
OG_12036	52	31	47	31	0.492063492063492	OG1
OG_1205	73	54	54	54	0.857142857142857	OG0
OG_1206	74	60	60	60	0.952380952380952	OG0
OG_1207	70	37	47	37	0.587301587301587	OG1
OG_12071	60	41	52	41	0.650793650793651	OG1
OG_1208	74	56	57	56	0.888888888888889	OG0
OG_12095	109	49	57	49	0.777777777777778	OG0
OG_121	59	56	56	56	0.888888888888889	OG0
OG_12104	67	54	55	54	0.857142857142857	OG1
OG_1211	59	52	55	52	0.825396825396825	OG0
OG_12123	83	57	58	57	0.904761904761905	OG0
OG_12124	85	59	59	59	0.936507936507937	OG0
OG_1213	72	43	60	43	0.682539682539683	OG4
OG_12130	65	51	53	51	0.80952380952381	OG0
OG_12131	63	55	55	55	0.873015873015873	OG0
OG_12135	78	57	57	57	0.904761904761905	OG0
OG_12137	84	59	59	59	0.936507936507937	OG0
