#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_207	9	10	10	1.0
OG_208	12	14	14	1.0
OG_209	12	13	13	1.0
OG_210	11	12	12	1.0
OG_211	10	11	11	1.0
OG_212	11	13	13	1.0
OG_213	12	15	15	1.0
OG_214	10	17	17	1.0
OG_215	11	11	11	1.0
OG_216	11	132	132	0.2866
OG_217	11	11	11	1.0
OG_218	10	133	133	0.1921
OG_219	10	10	10	1.0
OG_220	11	12	12	1.0
OG_221	11	17	17	0.8971
OG_222	8	72	72	0.261
OG_223	11	18	18	1.0
OG_224	2	24	24	0.4058
OG_225	11	12	12	1.0
OG_226	12	20	20	1.0
OG_227	3	3	3	1.0
OG_228	12	15	15	1.0
OG_229	12	14	14	1.0
OG_230	10	238	238	0.1262
OG_231	10	18	18	0.719
OG_232	9	10	10	1.0
OG_233	12	17	17	1.0
OG_234	8	14	14	1.0
OG_235	10	15	15	1.0
OG_236	12	16	16	0.8833
OG_237	4	122	122	0.1137
OG_238	12	13	13	1.0
OG_239	12	22	22	1.0
OG_240	12	14	14	1.0
OG_241	11	13	13	1.0
OG_242	11	193	193	0.0814
OG_243	11	12	12	0.8788
OG_244	5	28	28	0.6614
OG_245	12	16	16	1.0
OG_246	9	17	17	1.0
OG_247	12	22	22	0.9654
OG_248	11	16	16	0.8167
OG_249	7	299	299	0.0557
OG_250	10	13	13	0.7692
OG_251	12	342	342	0.0433
OG_252	11	14	14	1.0
OG_253	11	11	11	1.0
OG_254	10	25	25	0.5333
OG_255	12	13	13	1.0
OG_256	11	17	17	1.0
OG_257	12	13	13	1.0
OG_258	12	18	18	1.0
OG_259	12	15	15	1.0
OG_260	12	14	14	1.0
OG_261	12	13	13	1.0
OG_262	10	498	498	0.0547
OG_263	12	12	12	1.0
OG_264	11	13	13	1.0
OG_265	10	10	10	1.0
OG_266	11	11	11	1.0
OG_267	10	10	10	1.0
OG_268	12	13	13	1.0
OG_269	12	27	27	0.4017
OG_270	10	17	17	1.0
OG_271	10	10	10	1.0
OG_272	12	15	15	1.0
OG_273	12	21	21	0.6762
OG_274	10	10	10	1.0
OG_275	9	14	14	1.0
OG_276	12	104	104	0.4886
OG_277	12	17	17	1.0
OG_278	10	10	10	1.0
OG_279	11	15	15	0.8952
OG_280	12	40	40	0.3744
OG_281	12	14	14	1.0
OG_282	11	15	15	0.8857
OG_283	12	31	31	0.5161
OG_284	12	13	13	1.0
OG_285	8	8	8	1.0
OG_286	5	8	8	0.7857
OG_287	7	14	14	0.8132
OG_288	12	14	14	1.0
OG_289	10	12	12	0.8636
OG_290	9	10	10	1.0
OG_291	12	22	22	1.0
OG_292	12	15	15	1.0
OG_293	12	13	13	0.9615
OG_294	8	11	11	1.0
OG_295	11	13	13	1.0
OG_296	12	14	14	1.0
OG_297	12	20	20	1.0
OG_298	11	13	13	0.7308
OG_299	12	14	14	1.0
OG_300	10	13	13	0.9231
OG_301	12	13	13	1.0
OG_302	7	16	16	0.9
OG_303	12	32	32	0.5645
OG_304	5	36	36	0.8016
OG_305	12	18	18	0.9085
OG_306	8	12	12	1.0
OG_307	12	18	18	1.0
OG_308	6	6	6	1.0
OG_309	12	15	15	1.0
OG_310	12	14	14	1.0
OG_311	4	4	4	1.0
OG_312	12	15	15	1.0
OG_313	4	4	4	1.0
OG_314	2	7	7	0.8095
