	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_1298	1	0	0	1	1	1	1
OG_1299	0	0	1	0	0	0	0
OG_130	0	0	0	1	0	0	0
OG_1302	1	0	0	0	0	0	0
OG_1305	1	1	0	1	1	1	1
OG_1317	1	1	1	1	1	1	1
OG_1318	1	0	0	0	0	0	0
OG_1319	1	0	0	1	1	1	1
OG_1320	1	0	0	1	1	1	1
OG_1331	0	0	1	1	1	0	0
OG_1335	0	1	1	0	1	1	1
OG_1340	0	0	1	0	0	0	0
OG_1349	0	0	1	1	1	0	0
OG_1356	0	1	1	1	1	1	1
OG_1357	0	0	0	1	0	0	0
OG_1390	1	0	0	1	1	1	1
OG_1398	1	0	0	0	0	0	0
OG_14	1	1	1	1	1	1	1
OG_1400	1	0	0	0	0	0	0
OG_1406	1	1	0	1	1	1	1
OG_1407	1	1	1	1	1	1	1
OG_1419	1	1	0	0	0	1	0
OG_1437	1	1	0	0	0	1	0
OG_1443	1	1	1	1	1	1	1
OG_1445	0	0	1	1	1	0	0
OG_1449	1	0	0	0	0	0	0
OG_145	0	0	1	0	0	0	0
OG_1453	1	1	1	1	1	1	1
OG_1455	1	1	0	1	1	1	1
OG_1464	0	1	0	0	0	0	0
OG_1467	0	0	0	1	0	0	0
OG_148	0	0	1	0	0	0	0
OG_1488	0	0	1	1	1	0	0
OG_1491	0	0	1	1	1	0	0
OG_1496	0	1	0	0	0	0	0
OG_1498	0	1	1	1	1	1	1
OG_1510	0	0	0	1	0	0	0
OG_1521	0	0	1	0	0	0	0
OG_1524	0	0	1	1	1	0	0
OG_1525	1	0	1	1	1	1	1
OG_1527	1	0	1	0	1	1	1
OG_1541	1	0	0	0	0	0	0
OG_155	1	0	0	1	1	1	1
OG_1557	1	0	1	1	1	1	1
OG_1560	0	1	1	1	1	1	1
OG_1581	1	1	1	1	1	1	1
OG_1588	1	0	0	0	0	0	0
OG_1592	1	1	1	1	1	1	1
OG_1599	1	0	1	0	1	1	1
OG_1619	1	1	1	1	1	1	1
OG_1620	0	0	1	1	1	0	0
OG_1622	0	0	0	1	0	0	0
OG_1640	0	0	1	1	1	0	0
OG_165	1	0	0	0	0	0	0
OG_1653	1	1	1	1	1	1	1
OG_1655	0	1	1	1	1	1	1
OG_1656	1	0	1	1	1	1	1
OG_1662	0	1	1	1	1	1	1
OG_1676	1	0	0	0	0	0	0
OG_1680	0	0	1	1	1	0	0
OG_1681	1	1	1	1	1	1	1
OG_1692	1	0	0	1	1	1	1
OG_1716	0	0	0	1	0	0	0
OG_1718	1	1	1	1	1	1	1
OG_1720	0	1	0	0	0	0	0
OG_1729	0	0	1	0	0	0	0
OG_173	0	0	1	0	0	0	0
OG_1735	1	1	0	0	0	1	0
OG_1739	0	0	1	1	1	0	0
OG_174	1	0	1	0	1	1	1
OG_1742	0	0	0	1	0	0	0
OG_1743	1	1	1	0	1	1	1
OG_1755	0	1	0	0	0	0	0
OG_1766	1	1	0	0	0	1	0
OG_1780	0	0	1	0	0	0	0
OG_1784	0	0	1	1	1	0	0
OG_1792	1	1	0	1	1	1	1
OG_1794	1	0	0	1	1	1	1
OG_1796	0	0	0	1	0	0	0
OG_1799	1	0	0	0	0	0	0
OG_18	1	0	1	1	1	1	1
OG_1802	0	0	1	0	0	0	0
OG_1803	0	0	1	1	1	0	0
OG_1808	0	1	0	1	1	1	1
OG_1810	0	1	1	1	1	1	1
OG_1831	1	1	1	1	1	1	1
OG_1839	1	0	1	1	1	1	1
OG_1852	1	1	0	0	0	1	0
OG_1855	1	0	1	1	1	1	1
OG_1857	1	1	0	1	1	1	1
OG_1859	0	0	0	1	0	0	0
OG_1862	1	1	1	1	1	1	1
OG_1865	1	1	1	1	1	1	1
OG_1871	1	0	1	1	1	1	1
OG_1875	1	0	1	1	1	1	1
OG_1876	1	1	1	1	1	1	1
OG_1877	1	0	1	1	1	1	1
OG_1894	0	0	1	0	0	0	0
OG_1897	1	1	1	1	1	1	1
OG_1898	0	0	1	0	0	0	0
OG_1917	1	1	0	0	0	1	0
OG_1919	0	0	1	0	0	0	0
OG_1920	1	0	0	1	1	1	1
OG_1922	1	1	0	0	0	1	0
OG_1937	0	0	1	0	0	0	0
OG_1949	0	0	0	1	0	0	0
OG_1950	0	0	0	1	0	0	0
OG_1953	0	1	1	1	1	1	1
OG_1954	0	1	1	1	1	1	1
OG_1955	0	1	1	1	1	1	1
OG_196	0	0	1	0	0	0	0
OG_197	1	1	1	1	1	1	1
OG_1972	0	0	1	0	0	0	0
OG_1973	0	0	0	1	0	0	0
OG_1977	0	0	1	1	1	0	0
OG_1978	1	0	0	1	1	1	1
OG_198	1	0	0	0	0	0	0
OG_199	1	0	1	1	1	1	1
OG_1997	1	1	1	1	1	1	1
OG_2009	0	0	1	0	0	0	0
OG_201	1	1	1	1	1	1	1
OG_2010	1	0	0	1	1	1	1
OG_2017	1	1	1	1	1	1	1
OG_2018	1	0	0	1	1	1	1
OG_2022	1	0	0	0	0	0	0
OG_2028	0	0	1	0	0	0	0
OG_2029	0	1	0	0	0	0	0
OG_2035	0	0	0	1	0	0	0
OG_2042	0	1	1	1	1	1	1
OG_2045	1	1	1	1	1	1	1
OG_2049	0	1	1	1	1	1	1
OG_205	1	0	0	0	0	0	0
OG_2051	1	0	0	0	0	0	0
OG_2054	1	0	1	0	1	1	1
OG_206	0	0	1	1	1	0	0
OG_2066	0	0	1	1	1	0	0
OG_2071	1	0	0	0	0	0	0
OG_2073	0	0	0	1	0	0	0
OG_2079	1	0	0	1	1	1	1
OG_2083	1	1	1	1	1	1	1
OG_2088	1	0	0	1	1	1	1
OG_2090	1	0	1	1	1	1	1
OG_211	1	0	0	0	0	0	0
OG_2110	0	0	1	1	1	0	0
OG_2112	0	0	0	1	0	0	0
OG_2115	0	0	1	0	0	0	0
OG_2119	0	1	1	1	1	1	1
OG_2136	1	0	0	0	0	0	0
OG_214	0	0	0	1	0	0	0
OG_2144	0	0	0	1	0	0	0
OG_2147	0	1	1	1	1	1	1
OG_2163	1	0	0	0	0	0	0
OG_2165	1	1	1	1	1	1	1
OG_2169	0	0	1	0	0	0	0
OG_2178	0	0	1	0	0	0	0
OG_2193	1	0	0	0	0	0	0
OG_2195	1	0	0	0	0	0	0
OG_2197	0	0	0	1	0	0	0
OG_2200	1	0	0	0	0	0	0
OG_2205	1	0	0	0	0	0	0
OG_2206	1	1	0	0	0	1	0
OG_221	1	0	0	0	0	0	0
OG_2224	0	0	1	1	1	0	0
OG_2227	0	0	1	0	0	0	0
OG_2231	1	0	0	0	0	0	0
OG_2234	0	0	0	1	0	0	0
OG_2238	1	0	0	0	0	0	0
OG_2239	1	0	0	1	1	1	1
OG_2244	0	0	0	1	0	0	0
OG_2248	1	0	1	1	1	1	1
OG_225	1	1	0	0	0	1	0
OG_2250	0	0	1	1	1	0	0
OG_2270	1	0	1	1	1	1	1
OG_2272	1	0	1	0	1	1	1
OG_2279	1	0	0	0	0	0	0
OG_228	1	1	0	1	1	1	1
OG_2285	1	1	0	0	0	1	0
OG_2300	1	1	0	0	0	1	0
OG_2302	1	1	1	1	1	1	1
OG_2312	1	1	1	1	1	1	1
OG_2313	1	0	1	0	1	1	1
OG_2314	1	0	0	1	1	1	1
OG_2317	0	1	1	1	1	1	1
OG_2328	1	1	1	1	1	1	1
OG_2329	0	0	0	1	0	0	0
OG_2346	0	0	0	1	0	0	0
OG_235	0	0	1	1	1	0	0
OG_2352	1	0	1	1	1	1	1
OG_2358	1	0	1	1	1	1	1
OG_2366	0	0	1	1	1	0	0
OG_237	1	1	1	0	1	1	1
OG_2372	0	1	1	1	1	1	1
OG_239	1	0	1	0	1	1	1
OG_2392	0	1	0	0	0	0	0
OG_24	1	1	1	1	1	1	1
OG_2404	1	0	1	1	1	1	1
OG_2407	0	0	1	0	0	0	0
OG_2423	0	0	0	1	0	0	0
OG_2424	1	0	1	0	1	1	1
OG_2443	0	0	1	0	0	0	0
OG_2444	0	1	1	1	1	1	1
OG_245	0	1	1	1	1	1	1
OG_2459	1	1	1	1	1	1	1
OG_247	0	0	0	1	0	0	0
OG_2474	1	1	1	1	1	1	1
OG_2487	1	0	0	0	0	0	0
OG_2508	0	0	1	0	0	0	0
OG_2509	0	1	1	1	1	1	1
OG_2521	1	0	0	0	0	0	0
OG_2523	0	0	1	0	0	0	0
OG_2524	1	1	1	1	1	1	1
OG_2543	1	1	1	1	1	1	1
OG_2561	0	0	0	1	0	0	0
OG_2570	1	0	0	1	1	1	1
OG_2574	0	1	1	1	1	1	1
OG_2587	1	0	0	0	0	0	0
OG_259	0	0	1	1	1	0	0
OG_2594	1	0	0	0	0	0	0
OG_2599	1	0	0	0	0	0	0
OG_2608	1	0	0	0	0	0	0
OG_2609	0	0	1	0	0	0	0
OG_261	1	1	1	1	1	1	1
OG_2613	1	0	1	0	1	1	1
OG_2616	1	1	1	1	1	1	1
OG_2621	1	1	0	1	1	1	1
OG_2630	0	0	1	0	0	0	0
