	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_9130	0	0	0	0	0	0	0
OG_9150	1	0	0	1	0	0	0
OG_9182	0	0	0	0	0	0	0
OG_9223	0	1	0	1	0	0	0
OG_9225	0	0	0	0	0	0	0
OG_9331	0	0	0	0	0	0	0
OG_9346	0	0	0	0	0	0	0
OG_9496	0	0	0	0	0	0	0
OG_959	0	0	0	0	0	0	0
OG_9887	0	0	0	0	0	0	0
