	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_8537	0	0	1	0	0	0	0
OG_8587	0	0	0	1	0	0	0
OG_8591	0	0	0	0	0	0	1
OG_8606	0	1	0	0	0	0	0
OG_8609	0	0	1	0	0	0	0
OG_8635	0	0	1	0	0	0	0
OG_8710	0	1	0	0	0	0	0
OG_8731	0	0	0	0	0	1	0
OG_8766	0	1	0	0	0	0	0
OG_8822	1	0	0	0	0	0	0
OG_8837	0	0	0	0	1	0	0
OG_8880	0	0	1	0	0	0	0
OG_8896	0	0	1	0	0	0	0
OG_8957	0	0	1	0	0	0	0
OG_8977	0	0	1	0	0	0	0
OG_8996	0	0	0	1	0	0	0
OG_9110	0	0	1	0	0	0	0
OG_9168	0	0	0	0	0	0	1
OG_9201	0	0	0	0	0	0	1
OG_9223	0	0	0	1	0	0	0
OG_9243	1	0	0	0	0	0	0
OG_9254	0	0	1	0	0	0	0
OG_9346	0	0	0	1	0	0	0
OG_9354	0	0	1	0	0	0	0
OG_9417	0	0	1	0	0	0	0
OG_9536	0	1	0	0	0	0	0
OG_954	0	0	0	1	0	0	0
OG_9543	0	0	0	1	0	0	0
OG_9549	0	0	0	0	0	1	0
OG_9628	0	0	1	0	0	0	0
OG_9648	0	0	1	0	0	0	0
OG_9739	0	0	1	0	0	0	0
OG_9862	0	0	0	1	0	0	0
OG_9876	0	0	1	0	0	0	0
OG_9943	0	1	0	0	0	0	0
