metacell	cell_type	broad_cell_type	color
553	muscle_cell	Muscle_Cell	#9A067E
554	muscle_cell	Muscle_Cell	#9A067E
555	muscle_cell	Muscle_Cell	#9A067E
556	muscle_cell	Muscle_Cell	#9A067E
557	muscle_cell	Muscle_Cell	#9A067E
558	muscle_cell	Muscle_Cell	#9A067E
559	muscle_cell	Muscle_Cell	#9A067E
560	muscle_cell	Muscle_Cell	#9A067E
561	muscle_cell	Muscle_Cell	#9A067E
562	muscle_cell	Muscle_Cell	#9A067E
563	muscle_cell	Muscle_Cell	#9A067E
564	muscle_cell	Muscle_Cell	#9A067E
565	muscle_cell	Muscle_Cell	#9A067E
566	muscle_cell	Muscle_Cell	#9A067E
567	muscle_cell	Muscle_Cell	#9A067E
568	muscle_cell	Muscle_Cell	#9A067E
569	muscle_cell	Muscle_Cell	#9A067E
570	muscle_cell	Muscle_Cell	#9A067E
571	muscle_cell	Muscle_Cell	#9A067E
572	muscle_cell	Muscle_Cell	#9A067E
573	muscle_cell	Muscle_Cell	#9A067E
574	muscle_cell	Muscle_Cell	#9A067E
575	muscle_cell	Muscle_Cell	#9A067E
576	muscle_cell	Muscle_Cell	#9A067E
577	muscle_cell	Muscle_Cell	#9A067E
578	muscle_cell	Muscle_Cell	#9A067E
579	muscle_cell	Muscle_Cell	#9A067E
580	muscle_cell	Muscle_Cell	#9A067E
581	muscle_cell	Muscle_Cell	#9A067E
582	muscle_cell	Muscle_Cell	#9A067E
583	muscle_cell	Muscle_Cell	#9A067E
584	muscle_cell	Muscle_Cell	#9A067E
585	muscle_cell	Muscle_Cell	#9A067E
586	muscle_cell	Muscle_Cell	#9A067E
587	muscle_cell	Muscle_Cell	#9A067E
