metacell	cell_type	broad_cell_type	color
31	indirect_flight_muscle	Muscle_Cell	#950482
32	indirect_flight_muscle	Muscle_Cell	#950482
33	indirect_flight_muscle	Muscle_Cell	#950482
34	indirect_flight_muscle	Muscle_Cell	#950482
35	indirect_flight_muscle	Muscle_Cell	#950482
36	indirect_flight_muscle	Muscle_Cell	#950482
37	indirect_flight_muscle	Muscle_Cell	#950482
38	indirect_flight_muscle	Muscle_Cell	#950482
39	indirect_flight_muscle	Muscle_Cell	#950482
40	indirect_flight_muscle	Muscle_Cell	#950482
41	indirect_flight_muscle	Muscle_Cell	#950482
42	indirect_flight_muscle	Muscle_Cell	#950482
43	indirect_flight_muscle	Muscle_Cell	#950482
44	indirect_flight_muscle	Muscle_Cell	#950482
45	indirect_flight_muscle	Muscle_Cell	#950482
46	indirect_flight_muscle	Muscle_Cell	#950482
47	indirect_flight_muscle	Muscle_Cell	#950482
48	indirect_flight_muscle	Muscle_Cell	#950482
49	indirect_flight_muscle	Muscle_Cell	#950482
50	indirect_flight_muscle	Muscle_Cell	#950482
51	indirect_flight_muscle	Muscle_Cell	#950482
52	indirect_flight_muscle	Muscle_Cell	#950482
53	indirect_flight_muscle	Muscle_Cell	#950482
54	indirect_flight_muscle	Muscle_Cell	#950482
55	indirect_flight_muscle	Muscle_Cell	#950482
56	indirect_flight_muscle	Muscle_Cell	#950482
57	indirect_flight_muscle	Muscle_Cell	#950482
58	indirect_flight_muscle	Muscle_Cell	#950482
59	indirect_flight_muscle	Muscle_Cell	#950482
60	indirect_flight_muscle	Muscle_Cell	#950482
61	indirect_flight_muscle	Muscle_Cell	#950482
62	indirect_flight_muscle	Muscle_Cell	#950482
63	indirect_flight_muscle	Muscle_Cell	#950482
64	indirect_flight_muscle	Muscle_Cell	#950482
65	indirect_flight_muscle	Muscle_Cell	#950482
66	indirect_flight_muscle	Muscle_Cell	#950482
67	indirect_flight_muscle	Muscle_Cell	#950482
68	indirect_flight_muscle	Muscle_Cell	#950482
69	indirect_flight_muscle	Muscle_Cell	#950482
70	indirect_flight_muscle	Muscle_Cell	#950482
71	indirect_flight_muscle	Muscle_Cell	#950482
72	indirect_flight_muscle	Muscle_Cell	#950482
73	indirect_flight_muscle	Muscle_Cell	#950482
74	indirect_flight_muscle	Muscle_Cell	#950482
75	indirect_flight_muscle	Muscle_Cell	#950482
76	indirect_flight_muscle	Muscle_Cell	#950482
77	indirect_flight_muscle	Muscle_Cell	#950482
78	indirect_flight_muscle	Muscle_Cell	#950482
79	indirect_flight_muscle	Muscle_Cell	#950482
80	indirect_flight_muscle	Muscle_Cell	#950482
81	indirect_flight_muscle	Muscle_Cell	#950482
82	indirect_flight_muscle	Muscle_Cell	#950482
83	indirect_flight_muscle	Muscle_Cell	#950482
84	indirect_flight_muscle	Muscle_Cell	#950482
85	indirect_flight_muscle	Muscle_Cell	#950482
86	indirect_flight_muscle	Muscle_Cell	#950482
87	indirect_flight_muscle	Muscle_Cell	#950482
88	indirect_flight_muscle	Muscle_Cell	#950482
89	indirect_flight_muscle	Muscle_Cell	#950482
90	indirect_flight_muscle	Muscle_Cell	#950482
91	indirect_flight_muscle	Muscle_Cell	#950482
92	indirect_flight_muscle	Muscle_Cell	#950482
93	indirect_flight_muscle	Muscle_Cell	#950482
94	indirect_flight_muscle	Muscle_Cell	#950482
95	indirect_flight_muscle	Muscle_Cell	#950482
96	indirect_flight_muscle	Muscle_Cell	#950482
97	indirect_flight_muscle	Muscle_Cell	#950482
98	indirect_flight_muscle	Muscle_Cell	#950482
99	indirect_flight_muscle	Muscle_Cell	#950482
100	indirect_flight_muscle	Muscle_Cell	#950482
101	indirect_flight_muscle	Muscle_Cell	#950482
102	indirect_flight_muscle	Muscle_Cell	#950482
103	indirect_flight_muscle	Muscle_Cell	#950482
104	indirect_flight_muscle	Muscle_Cell	#950482
105	indirect_flight_muscle	Muscle_Cell	#950482
106	indirect_flight_muscle	Muscle_Cell	#950482
107	indirect_flight_muscle	Muscle_Cell	#950482
108	indirect_flight_muscle	Muscle_Cell	#950482
109	indirect_flight_muscle	Muscle_Cell	#950482
110	indirect_flight_muscle	Muscle_Cell	#950482
