Cript	Hhon_g05823.t1	Cript
ANF_receptor	Hhon_g08694.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g08729.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g09349.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g09350.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g09351.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g09352.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g09676.t1	ANF_receptor
ANF_receptor	Hhon_g09726.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10005.t1	ANF_receptor LRR_8
ANF_receptor	Hhon_g10141.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10142.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10143.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10144.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10145.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10146.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10147.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10148.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10188.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10198.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g10508.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10739.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g10740.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11140.t1	ANF_receptor
ANF_receptor	Hhon_g11141.t1	ANF_receptor ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11142.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11144.t1	ANF_receptor
ANF_receptor	Hhon_g11145.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11146.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11350.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11389.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11390.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11450.t1	ANF_receptor
ANF_receptor	Hhon_g11451.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11498.t1	ANF_receptor 7tm_3 7tm_3
ANF_receptor	Hhon_g11506.t1	ANF_receptor
ANF_receptor	Hhon_g11636.t1	ANF_receptor NCD3G
ANF_receptor	Hhon_g11637.t1	ANF_receptor
ANF_receptor	Hhon_g11638.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11639.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Hhon_g11641.t1	ANF_receptor
ANF_receptor	Hhon_g11643.t1	ANF_receptor
ANF_receptor	Hhon_g11851.t1	ANF_receptor 7tm_3
ANF_receptor	Hhon_g11921.t1	ANF_receptor
ANF_receptor	Hhon_g11987.t1	ANF_receptor
Stargazin	Hhon_g01887.t1	PMP22_Claudin
Syntaxin	Hhon_g01241.t1	Syntaxin-6_N
Syntaxin	Hhon_g02752.t1	Syntaxin
Syntaxin	Hhon_g02753.t1	Syntaxin SNARE
Syntaxin	Hhon_g02754.t1	Syntaxin
Syntaxin	Hhon_g02755.t1	Syntaxin
Syntaxin	Hhon_g02756.t1	Syntaxin SNARE
Syntaxin	Hhon_g03976.t1	Syntaxin-5_N SNARE
Syntaxin	Hhon_g06927.t1	Syntaxin SNARE
Syntaxin	Hhon_g07159.t1	Syntaxin-18_N
Syntaxin	Hhon_g07818.t1	Syntaxin SNARE
Syntaxin	Hhon_g07819.t1	Syntaxin SNARE
Syntaxin	Hhon_g07820.t1	Lectin_C GPS 7tm_2 Lectin_C Syntaxin SNARE
MARVEL	Hhon_g01440.t1	MARVEL
MARVEL	Hhon_g01441.t1	MARVEL
MARVEL	Hhon_g02578.t1	MARVEL
MARVEL	Hhon_g02580.t1	MARVEL
MARVEL	Hhon_g06148.t1	MARVEL
MARVEL	Hhon_g10953.t1	MARVEL
Citron	Hhon_g02939.t1	Pkinase CNH
Citron	Hhon_g03219.t1	Pkinase CNH
Citron	Hhon_g06229.t1	CNH Vps39_1 Vps39_2
Citron	Hhon_g06574.t1	CNH Vps39_1 Clathrin Vps39_2
Citron	Hhon_g06582.t1	Pkinase DMPK_coil CNH
Citron	Hhon_g06660.t1	Pkinase PH CNH
Citron	Hhon_g10109.t1	Pkinase CNH
FERM_M	Hhon_g00260.t1	FERM_N FERM_M FERM_C FA Thymosin
FERM_M	Hhon_g00802.t1	FERM_N FERM_M FERM_C
FERM_M	Hhon_g02820.t1	SH3_19 Myosin_head IQ IQ PH PH MyTH4 FERM_M
FERM_M	Hhon_g03085.t1	FERM_N FERM_M FERM_C
FERM_M	Hhon_g03113.t1	Kindlin_2_N FERM_M PH FERM_M
FERM_M	Hhon_g04057.t1	FERM_f0 FERM_N FERM_M IRS Talin_middle I_LWEQ VBS I_LWEQ
FERM_M	Hhon_g04928.t1	Myosin_head IQ IQ MyTH4 FERM_M SH3_2 MyTH4 FERM_M
FERM_M	Hhon_g05421.t1	FERM_N FERM_M FERM_C ERM FERM_N FERM_M
FERM_M	Hhon_g05657.t1	FERM_N FERM_M FERM_C CUPID
FERM_M	Hhon_g06296.t1	FERM_N FERM_M FERM_C
FERM_M	Hhon_g06298.t1	FERM_N FERM_M FERM_C Y_phosphatase
FERM_M	Hhon_g08184.t1	Ank_5 FERM_M RasGEF
FERM_M	Hhon_g08340.t1	FERM_N FERM_M FERM_C
FERM_M	Hhon_g09383.t1	Myosin_head Myosin_head IQ MyTH4 FERM_M MyTH4 FERM_M
FERM_M	Hhon_g09737.t1	FERM_M Pkinase_Tyr Focal_AT
FERM_M	Hhon_g09776.t1	PH PH MyTH4 FERM_M
FERM_M	Hhon_g10875.t1	FERM_M Y_phosphatase
GKAP	Hhon_g03573.t1	GKAP
GKAP	Hhon_g07014.t1	GKAP
COesterase	Hhon_g01139.t1	COesterase
COesterase	Hhon_g01143.t1	COesterase
COesterase	Hhon_g01144.t1	COesterase
COesterase	Hhon_g01145.t1	COesterase
COesterase	Hhon_g01146.t1	COesterase
COesterase	Hhon_g01147.t1	COesterase COesterase
COesterase	Hhon_g01148.t1	COesterase
COesterase	Hhon_g01149.t1	COesterase
COesterase	Hhon_g01150.t1	COesterase
COesterase	Hhon_g01151.t1	COesterase
COesterase	Hhon_g01152.t1	COesterase
COesterase	Hhon_g01153.t1	COesterase
COesterase	Hhon_g01155.t1	COesterase
COesterase	Hhon_g01156.t1	COesterase
COesterase	Hhon_g01157.t1	COesterase
COesterase	Hhon_g01159.t1	COesterase COesterase
COesterase	Hhon_g01160.t1	COesterase COesterase
COesterase	Hhon_g01161.t1	COesterase
COesterase	Hhon_g01162.t1	COesterase
COesterase	Hhon_g03040.t1	COesterase
COesterase	Hhon_g03041.t1	COesterase
COesterase	Hhon_g05949.t1	COesterase
COesterase	Hhon_g09790.t1	COesterase
COesterase	Hhon_g11565.t1	COesterase
COesterase	Hhon_g11566.t1	COesterase
COesterase	Hhon_g11567.t1	COesterase
NO_synthase	Hhon_g03949.t1	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	Hhon_g04041.t1	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	Hhon_g09538.t1	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
PMCA	Hhon_g04364.t1	Cation_ATPase_N E1-E2_ATPase E1-E2_ATPase Cation_ATPase Hydrolase_3 Cation_ATPase_C ATP_Ca_trans_C
PMCA	Hhon_g07340.t1	Cation_ATPase_N E1-E2_ATPase Cation_ATPase Hydrolase Cation_ATPase_C
PMCA	Hhon_g10204.t1	Cation_ATPase_N E1-E2_ATPase E1-E2_ATPase Cation_ATPase Hydrolase_3 Cation_ATPase_C ATP_Ca_trans_C
PMCA	Hhon_g11184.t1	Cation_ATPase_C
PMCA	Hhon_g11283.t1	Cation_ATPase_N E1-E2_ATPase Hydrolase Cation_ATPase_C
RasGAP	Hhon_g01252.t1	C2 RasGAP RasGAP DUF3498
RasGAP	Hhon_g01297.t1	RasGAP DUF5601 VPS9
RasGAP	Hhon_g02385.t1	SH2 SH3_1 SH2 PH C2 RasGAP RasGAP
RasGAP	Hhon_g02667.t1	RasGAP CRAL_TRIO_2
RasGAP	Hhon_g02774.t1	CH IQ IQ RasGAP RasGAP_C
RasGAP	Hhon_g05243.t1	RasGAP RasGAP RasGAP_C
RasGAP	Hhon_g06711.t1	C2 C2 RasGAP PH BTK
Caps	Hhon_g00633.t1	C2 C1_1 C2 DUF1041 Membr_traf_MHD C2
Caps	Hhon_g02164.t1	PH DUF1041
Synaphin	Hhon_g07161.t1	Synaphin
Y_phosphatase	Hhon_g00545.t1	CRAL_TRIO Y_phosphatase
Y_phosphatase	Hhon_g01957.t1	SH2 Y_phosphatase
Y_phosphatase	Hhon_g02082.t1	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	Hhon_g02885.t1	Y_phosphatase Y_phosphatase
Y_phosphatase	Hhon_g03898.t1	Y_phosphatase
Y_phosphatase	Hhon_g05092.t1	IgGFc_binding Ig_3 I-set I-set Ig_3 Ig_3 Ig_3 Ig_3 Ig_3 Ig_3 Ig_3 Ig_3 fn3 fn3 fn3 Ig_3 Ig_3 Ig_3 Ig_3 Ig_3 fn3 fn3 fn3 Ig_3 GAIN GPS 7tm_2 Y_phosphatase Y_phosphatase
Y_phosphatase	Hhon_g06137.t1	fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	Hhon_g06178.t1	Alg6_Alg8 Y_phosphatase
Y_phosphatase	Hhon_g06297.t1	Y_phosphatase
Y_phosphatase	Hhon_g06298.t1	FERM_N FERM_M FERM_C Y_phosphatase
Y_phosphatase	Hhon_g06487.t1	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	Hhon_g08135.t1	Y_phosphatase
Y_phosphatase	Hhon_g09428.t1	Y_phosphatase
Y_phosphatase	Hhon_g09584.t1	Y_phosphatase PTEN_C2 SH2 PTB
Y_phosphatase	Hhon_g10340.t1	SH2 SH2 Y_phosphatase
Y_phosphatase	Hhon_g10875.t1	FERM_M Y_phosphatase
Y_phosphatase	Hhon_g11002.t1	BRO1 ALIX_LYPXL_bnd Y_phosphatase
PID	Hhon_g00687.t1	SH3_9 PID
PID	Hhon_g01303.t1	PID DUF3694 RabGAP-TBC
PID	Hhon_g02328.t1	PID
PID	Hhon_g02956.t1	PID PID RabGAP-TBC
PID	Hhon_g03550.t1	PID
PID	Hhon_g05164.t1	PID
PID	Hhon_g08332.t1	PID SH2
PID	Hhon_g08341.t1	TPR_11 TPR_8 PID PDZ PDZ
RabphilinRIM	Hhon_g00025.t1	FYVE_2 C2 C2
RabphilinRIM	Hhon_g00150.t1	FYVE_2 C2 C2
RabphilinRIM	Hhon_g05394.t1	FYVE_2 C2
RabphilinRIM	Hhon_g05981.t1	FYVE_2 C2 C2
Sugar_tr	Hhon_g00151.t1	Sugar_tr
Sugar_tr	Hhon_g01114.t1	Sugar_tr
Sugar_tr	Hhon_g01115.t1	Sugar_tr
Sugar_tr	Hhon_g01119.t1	Sugar_tr
Sugar_tr	Hhon_g01120.t1	Sugar_tr
Sugar_tr	Hhon_g01121.t1	Sugar_tr
Sugar_tr	Hhon_g01122.t1	Sugar_tr
Sugar_tr	Hhon_g05036.t1	Sugar_tr MFS_1
Sugar_tr	Hhon_g05038.t1	Sugar_tr
Sugar_tr	Hhon_g06839.t1	Sugar_tr
Sugar_tr	Hhon_g06840.t1	Sugar_tr MFS_1
Sugar_tr	Hhon_g06841.t1	Sugar_tr
Sugar_tr	Hhon_g07604.t1	Sugar_tr
Sugar_tr	Hhon_g08440.t1	Sugar_tr Sugar_tr
Sugar_tr	Hhon_g08441.t1	Sugar_tr
Sugar_tr	Hhon_g10601.t1	Sugar_tr MFS_1
Sugar_tr	Hhon_g11521.t1	Sugar_tr
Sugar_tr	Hhon_g11526.t1	Sugar_tr
Sugar_tr	Hhon_g11539.t1	Sugar_tr
Unc13	Hhon_g00633.t1	C2 C1_1 C2 DUF1041 Membr_traf_MHD C2
