AP-2	Tadh_TriadT27767	TF_AP-2
HLH	Tadh_TriadT57355	HLH Hairy_orange
HLH	Tadh_TriadT57914	Myc_N HLH
HLH	Tadh_TriadT59292	HLH Hairy_orange
HLH	Tadh_TriadT59765	HLH
HLH	Tadh_TriadT60032	MITF_TFEB_C_3_N HLH
HLH	Tadh_TriadT61134	HLH Hairy_orange
HLH	Tadh_TriadT61425	HLH
HLH	Tadh_TriadT62099	HLH
HLH	Tadh_TriadT62233	HLH
HLH	Tadh_TriadT7436	HLH
HLH	Tadh_TriadT8076	HLH
HLH	Tadh_TriadT9345	HLH
HLH	Tadh_TriadT9370	HLH
HLH	Tadh_TriadT9440	HLH
HLH	Tadh_TriadT9478	HLH
HLH	Tadh_wf_g3088.t1	HLH
HLH	Tadh_wf_g8866.t1	HLH
HMGbox_Sox	Tadh_TriadT17959	HMG_box
HMGbox_Sox	Tadh_TriadT19608	HMG_box
HMGbox_Sox	Tadh_TriadT21755	Sox_N HMG_box
HMGbox_Sox	Tadh_TriadT23407	HMG_box
HMGbox_Sox	Tadh_TriadT24518	HMG_box
HMGbox_Sox	Tadh_TriadT30575	HMG_box
HMGbox_Sox	Tadh_TriadT51474	HMG_box
HMGbox_Sox	Tadh_TriadT53566	HMG_box
HMGbox_Sox	Tadh_TriadT55419	AXH HMG_box
HMGbox_Sox	Tadh_TriadT55585	HMG_box
HMGbox_Sox	Tadh_TriadT56397	HMG_box HMG_box
HMGbox_Sox	Tadh_TriadT57974	HMG_box
HMGbox_Sox	Tadh_TriadT58452	HMG_box HMG_box
HMGbox_Sox	Tadh_TriadT58720	HMG_box
HMGbox_Sox	Tadh_TriadT59858	HMG_box_2
HMGbox_Sox	Tadh_TriadT64155	POB3_N SSrecog Rtt106 HMG_box
HMGbox_Sox	Tadh_TriadT7110	HMG_box
Homeodomains	Tadh_TriadT14836	LIM LIM Homeodomain
Homeodomains	Tadh_TriadT16489	Pou Homeodomain
Homeodomains	Tadh_TriadT17913	Homeodomain
Homeodomains	Tadh_TriadT18102	Homeodomain
Homeodomains	Tadh_TriadT20649	LIM LIM Homeodomain
Homeodomains	Tadh_TriadT21171	PBC Homeodomain
Homeodomains	Tadh_TriadT24265	Homeobox_KN
Homeodomains	Tadh_TriadT25765	Pou Homeodomain
Homeodomains	Tadh_TriadT28952	HNF-1_N
Homeodomains	Tadh_TriadT29410	PAX Homeodomain
Homeodomains	Tadh_TriadT30033	LIM LIM Homeodomain
Homeodomains	Tadh_TriadT30944	LIM LIM Homeodomain
Homeodomains	Tadh_TriadT31334	Homeodomain
Homeodomains	Tadh_TriadT32356	SIX1_SD Homeodomain
Homeodomains	Tadh_TriadT33728	Homeodomain
Homeodomains	Tadh_TriadT3502	PAX Homeodomain
Homeodomains	Tadh_TriadT49524	Homeodomain
Homeodomains	Tadh_TriadT49530	Homeodomain
Homeodomains	Tadh_TriadT50911	Homeodomain
Homeodomains	Tadh_TriadT50928	Homeodomain
Homeodomains	Tadh_TriadT51739	Homeodomain
Homeodomains	Tadh_TriadT5673	SIX1_SD Homeodomain
Homeodomains	Tadh_TriadT59844	Homeobox_KN
Homeodomains	Tadh_TriadT60748	Homeodomain
Homeodomains	Tadh_TriadT9178	Homeodomain
Homeodomains	Tadh_TriadT9389	Homeodomain
Homeodomains	Tadh_TriadT9391	Homeodomain
Homeodomains	Tadh_TriadT9432	Homeodomain
Homeodomains	Tadh_TriadT9468	Homeobox_KN
Homeodomains	Tadh_TriadT9493	Homeodomain
Homeodomains	Tadh_TriadT9507	Homeodomain
Homeodomains	Tadh_TriadT9531	Homeodomain
Homeodomains	Tadh_TriadT9560	Homeodomain
Homeodomains	Tadh_TriadT9561	Homeodomain
Homeodomains	Tadh_TriadT9570	Homeodomain
Homeodomains	Tadh_TriadT9590	Homeodomain
HSF	Tadh_TriadT23376	HSF_DNA-bind
HSF	Tadh_TriadT54813	HSF_DNA-bind
IRF	Tadh_TriadT51740	IRF
IRF	Tadh_TriadT63874	IRF
LAG1_CSL	Tadh_TriadT49676	LAG1-DNAbind BTD
MADS-box_SRF	Tadh_TriadT22691	SRF-TF HJURP_C
MADS-box_SRF	Tadh_TriadT59812	SRF-TF
MADS-box_SRF	Tadh_TriadT59813	SRF-TF
MBD	Tadh_TriadT53787	MBD DDT WHIM1 WSD PHD PHD Bromodomain
mTERF	Tadh_TriadT51541	mTERF mTERF
mTERF	Tadh_TriadT51882	mTERF mTERF
mTERF	Tadh_TriadT59443	mTERF mTERF
mTERF	Tadh_TriadT59444	mTERF mTERF
mTERF	Tadh_TriadT61872	mTERF
Myb	Tadh_TriadT12520	DnaJ RAC_head Myb_DNA-binding
Myb	Tadh_TriadT17350	Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding
Myb	Tadh_TriadT28428	Myb_DNA-binding
Myb	Tadh_TriadT31063	SWIRM-assoc_2 SWIRM Myb_DNA-binding
Myb	Tadh_TriadT37778	Myb_DNA-bind_6 Myb_Cef
Myb	Tadh_TriadT51555	MADF_DNA_bdg
Myb	Tadh_TriadT51596	MADF_DNA_bdg
Myb	Tadh_TriadT51793	ELM2 Myb_DNA-binding
Myb	Tadh_TriadT52276	Myb_DNA-binding Myb_DNA-bind_6 Myb_DNA-binding
Myb	Tadh_TriadT52893	MADF_DNA_bdg
Myb	Tadh_TriadT53135	Myb_DNA-binding ZZ
Myb	Tadh_TriadT53144	Myb_DNA-binding
Myb	Tadh_TriadT54580	Myb_DNA-bind_4
Myb	Tadh_TriadT55043	Myb_DNA-binding
Myb	Tadh_TriadT56129	BRCT_2 Myb_DNA-bind_2
Myb	Tadh_TriadT57213	Myb_DNA-binding
Myb	Tadh_TriadT59326	SANT_DAMP1_like DMAP1
Myb	Tadh_TriadT59457	Myb_DNA-bind_7
Myb	Tadh_TriadT60838	MADF_DNA_bdg
