ANF_receptor	TrH2_TrispH2_008779-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_009956-RA	ANF_receptor Lig_chan-Glu_bd Lig_chan ANF_receptor Lig_chan-Glu_bd Lig_chan ANF_receptor Lig_chan-Glu_bd Lig_chan
ANF_receptor	TrH2_TrispH2_010015-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010016-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010017-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010119-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010120-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010121-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_010122-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010123-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010124-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010125-RA	GDP_Man_Dehyd ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010126-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010127-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010128-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_010129-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_010138-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010562-RA	ANF_receptor ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010713-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_010734-RA	ANF_receptor Lig_chan-Glu_bd Lig_chan
ANF_receptor	TrH2_TrispH2_010896-RA	ANF_receptor Lig_chan-Glu_bd Lig_chan
ANF_receptor	TrH2_TrispH2_011116-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011238-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011239-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011333-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_011336-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_011337-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011511-RA	ANF_receptor Lig_chan-Glu_bd Lig_chan
ANF_receptor	TrH2_TrispH2_011580-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011581-RA	ANF_receptor ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011598-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011603-RA	ANF_receptor 7tm_3 ANF_receptor
ANF_receptor	TrH2_TrispH2_011716-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011778-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011779-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_011780-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011782-RA	ANF_receptor ANF_receptor
ANF_receptor	TrH2_TrispH2_011783-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011823-RA	ANF_receptor ANF_receptor
ANF_receptor	TrH2_TrispH2_011846-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_011847-RA	ANF_receptor ANF_receptor
ANF_receptor	TrH2_TrispH2_011884-RA	ANF_receptor NCD3G 7tm_3
ANF_receptor	TrH2_TrispH2_011885-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011886-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_011949-RA	ANF_receptor 7tm_3
ANF_receptor	TrH2_TrispH2_012016-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_012019-RA	ANF_receptor
ANF_receptor	TrH2_TrispH2_012220-RA	ANF_receptor NCD3G 7tm_3
CaMKII	TrH2_TrispH2_000247-RA	Pkinase CaMKII_AD
Syntaxin	TrH2_TrispH2_000160-RA	Syntaxin
Syntaxin	TrH2_TrispH2_003059-RA	Syntaxin-6_N
Syntaxin	TrH2_TrispH2_004549-RA	Syntaxin SNARE
Syntaxin	TrH2_TrispH2_005014-RA	Syntaxin-18_N
Syntaxin	TrH2_TrispH2_006861-RA	Syntaxin SNARE Syntaxin Syntaxin SNARE
Syntaxin	TrH2_TrispH2_006862-RA	Syntaxin SNARE
MARVEL	TrH2_TrispH2_000100-RA	MARVEL
MARVEL	TrH2_TrispH2_001541-RA	MARVEL
MARVEL	TrH2_TrispH2_001544-RA	MARVEL
MARVEL	TrH2_TrispH2_004250-RA	MARVEL
MARVEL	TrH2_TrispH2_006005-RA	MARVEL
MARVEL	TrH2_TrispH2_006006-RA	MARVEL
Citron	TrH2_TrispH2_000980-RA	Pkinase CNH
Citron	TrH2_TrispH2_001823-RA	Pkinase CNH
Citron	TrH2_TrispH2_004960-RA	CNH Vps39_1 Clathrin Vps39_2
Citron	TrH2_TrispH2_004967-RA	Pkinase CNH
Citron	TrH2_TrispH2_005198-RA	CNH Vps39_1 Vps39_2
Citron	TrH2_TrispH2_009344-RA	Rap_GAP CNH
Citron	TrH2_TrispH2_010131-RA	Pkinase CNH
FERM_M	TrH2_TrispH2_000245-RA	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ PDZ PDZ Y_phosphatase
FERM_M	TrH2_TrispH2_000438-RA	Myosin_head Myosin_head IQ MyTH4 FERM_M MyTH4 FERM_M
FERM_M	TrH2_TrispH2_001191-RA	FERM_N FERM_M FERM_C ERM
FERM_M	TrH2_TrispH2_001493-RA	FERM_N FERM_M FERM_C FA
FERM_M	TrH2_TrispH2_001968-RA	FERM_M FERM_C
FERM_M	TrH2_TrispH2_003765-RA	FERM_N FERM_M FERM_C CUPID
FERM_M	TrH2_TrispH2_004472-RA	FERM_M Pkinase_Tyr Focal_AT
FERM_M	TrH2_TrispH2_004795-RA	SH3_19 Myosin_head IQ IQ PH PH MyTH4 FERM_M
FERM_M	TrH2_TrispH2_004976-RA	FERM_M Y_phosphatase
FERM_M	TrH2_TrispH2_005707-RA	FERM_N FERM_M FERM_C Y_phosphatase
FERM_M	TrH2_TrispH2_005709-RA	FERM_N FERM_M FERM_C
FERM_M	TrH2_TrispH2_006313-RA	Myosin_head IQ IQ MyTH4 FERM_M SH3_2 MyTH4 FERM_M
FERM_M	TrH2_TrispH2_006459-RA	Ank_5 FERM_M RasGEF
FERM_M	TrH2_TrispH2_006761-RA	FERM_N FERM_M FERM_C
FERM_M	TrH2_TrispH2_007006-RA	FERM_f0 FERM_M IRS Talin_middle VBS I_LWEQ
FERM_M	TrH2_TrispH2_009055-RA	FERM_N FERM_M FERM_C
FERM_M	TrH2_TrispH2_009554-RA	Kindlin_2_N FERM_M PH
FERM_M	TrH2_TrispH2_010036-RA	PH PH MyTH4 FERM_M
GKAP	TrH2_TrispH2_001466-RA	GKAP
GKAP	TrH2_TrispH2_009500-RA	GKAP
COesterase	TrH2_TrispH2_006282-RA	COesterase
COesterase	TrH2_TrispH2_007567-RA	COesterase
COesterase	TrH2_TrispH2_007949-RA	COesterase
COesterase	TrH2_TrispH2_007950-RA	COesterase
COesterase	TrH2_TrispH2_007951-RA	COesterase
COesterase	TrH2_TrispH2_007952-RA	COesterase COesterase
COesterase	TrH2_TrispH2_009213-RA	COesterase
COesterase	TrH2_TrispH2_009214-RA	COesterase
COesterase	TrH2_TrispH2_009215-RA	COesterase
COesterase	TrH2_TrispH2_010564-RA	COesterase
COesterase	TrH2_TrispH2_010565-RA	COesterase
COesterase	TrH2_TrispH2_010566-RA	COesterase COesterase
COesterase	TrH2_TrispH2_010567-RA	COesterase
COesterase	TrH2_TrispH2_010568-RA	COesterase
COesterase	TrH2_TrispH2_010569-RA	COesterase
COesterase	TrH2_TrispH2_010570-RA	COesterase
COesterase	TrH2_TrispH2_010572-RA	COesterase
COesterase	TrH2_TrispH2_010573-RA	COesterase
COesterase	TrH2_TrispH2_010574-RA	COesterase
COesterase	TrH2_TrispH2_010575-RA	COesterase
COesterase	TrH2_TrispH2_010576-RA	COesterase
COesterase	TrH2_TrispH2_010577-RA	COesterase
COesterase	TrH2_TrispH2_010578-RA	COesterase
COesterase	TrH2_TrispH2_011034-RA	COesterase
NO_synthase	TrH2_TrispH2_004067-RA	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	TrH2_TrispH2_007031-RA	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	TrH2_TrispH2_010039-RA	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
PMCA	TrH2_TrispH2_001165-RA	Cation_ATPase_N E1-E2_ATPase E1-E2_ATPase Cation_ATPase Hydrolase Cation_ATPase_C ATP_Ca_trans_C
PMCA	TrH2_TrispH2_005637-RA	Cation_ATPase_N E1-E2_ATPase Hydrolase Cation_ATPase_C
PMCA	TrH2_TrispH2_006864-RA	Hydrolase Cation_ATPase_C
PMCA	TrH2_TrispH2_011029-RA	Cation_ATPase_N E1-E2_ATPase Hydrolase Cation_ATPase_C
PMCA	TrH2_TrispH2_011484-RA	Cation_ATPase_N E1-E2_ATPase Cation_ATPase Hydrolase Cation_ATPase_C
RasGAP	TrH2_TrispH2_001719-RA	C2 C2 RasGAP PH BTK
RasGAP	TrH2_TrispH2_001734-RA	RasGAP RasGAP_C
RasGAP	TrH2_TrispH2_002493-RA	CH IQ IQ IQ RasGAP RasGAP_C
RasGAP	TrH2_TrispH2_003065-RA	C2 RasGAP DUF3498
RasGAP	TrH2_TrispH2_003101-RA	RasGAP DUF5601 VPS9
RasGAP	TrH2_TrispH2_003918-RA	SH2 SH2 PH C2 RasGAP
RasGAP	TrH2_TrispH2_005942-RA	RasGAP RasGAP CRAL_TRIO_2
Caps	TrH2_TrispH2_004874-RA	PH DUF1041
Caps	TrH2_TrispH2_007769-RA	C2 C1_1 C2 DUF1041 Membr_traf_MHD C2
Synaphin	TrH2_TrispH2_005012-RA	Synaphin
Y_phosphatase	TrH2_TrispH2_000073-RA	fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	TrH2_TrispH2_000150-RA	Y_phosphatase
Y_phosphatase	TrH2_TrispH2_000245-RA	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ PDZ PDZ Y_phosphatase
Y_phosphatase	TrH2_TrispH2_001036-RA	Y_phosphatase Y_phosphatase
Y_phosphatase	TrH2_TrispH2_001234-RA	Y_phosphatase PTEN_C2 SH2 PTB
Y_phosphatase	TrH2_TrispH2_001362-RA	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	TrH2_TrispH2_002552-RA	CRAL_TRIO Y_phosphatase
Y_phosphatase	TrH2_TrispH2_002994-RA	Y_phosphatase
Y_phosphatase	TrH2_TrispH2_004976-RA	FERM_M Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005229-RA	Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005289-RA	I-set fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005304-RA	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005444-RA	SH2 SH2 Y_phosphatase TFIID_NTD2 WD40 WD40 WD40 WD40 WD40
Y_phosphatase	TrH2_TrispH2_005707-RA	FERM_N FERM_M FERM_C Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005708-RA	Y_phosphatase
Y_phosphatase	TrH2_TrispH2_005739-RA	Y_phosphatase
Y_phosphatase	TrH2_TrispH2_008235-RA	BRO1 ALIX_LYPXL_bnd Y_phosphatase
PID	TrH2_TrispH2_001443-RA	PID
PID	TrH2_TrispH2_003107-RA	PID DUF3694 RabGAP-TBC RabGAP-TBC RabGAP-TBC
PID	TrH2_TrispH2_003653-RA	PID
PID	TrH2_TrispH2_003875-RA	SH3_9 PID
PID	TrH2_TrispH2_006441-RA	PID
PID	TrH2_TrispH2_006752-RA	PID SH2
PID	TrH2_TrispH2_006762-RA	TPR_11 TPR_8 PID PDZ PDZ
PID	TrH2_TrispH2_007739-RA	PID PID DUF3350 RabGAP-TBC
RabphilinRIM	TrH2_TrispH2_000278-RA	FYVE_2 C2 C2
RabphilinRIM	TrH2_TrispH2_000541-RA	FYVE_2 C2 C2
RabphilinRIM	TrH2_TrispH2_000666-RA	FYVE_2 C2 C2
RabphilinRIM	TrH2_TrispH2_008996-RA	FYVE_2 C2
Sugar_tr	TrH2_TrispH2_000540-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_002820-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_002858-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_002859-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_002861-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007925-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007926-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007928-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007930-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007931-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_007932-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_008388-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_010071-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_010089-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_010407-RA	Sugar_tr
Sugar_tr	TrH2_TrispH2_011341-RA	Sugar_tr MFS_1
Sugar_tr	TrH2_TrispH2_011677-RA	Sugar_tr
Unc13	TrH2_TrispH2_007769-RA	C2 C1_1 C2 DUF1041 Membr_traf_MHD C2
