Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_194	1.6374776	-2.198644
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_63	9.246696	9.989495
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_136	6.73715	1.6422936
unassigned	unassigned	unassigned	epithelia_gland_like	orange	18	batch2	HoiH23	HoiH23_117	5.335323	4.4299984
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_146	9.174177	2.5026019
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_57	9.524659	9.325198
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_127	5.754021	4.6832275
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_183	-0.14547992	-0.8015484
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_69	7.3941655	10.327451
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_59	9.410147	8.682559
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_39	-8.743305	-4.8361416
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_197	1.4723382	-2.2075288
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_67	7.6444783	9.067801
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_199	0.34399322	-1.8059493
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_113	8.825993	7.8237853
unassigned	unassigned	unassigned	peptidergic_eta	royalblue1	35	batch2	HoiH23	HoiH23_222	0.48141044	-9.243513
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	7.6786485	5.599196
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_199	0.32092923	-0.87993556
unassigned	unassigned	unassigned	peptidergic_iota	deepskyblue1	24	batch2	HoiH23	HoiH23_225	-2.5240653	20.347397
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	7.7699695	5.671434
unassigned	unassigned	unassigned	epithelia_unknown	plum3	25	batch2	HoiH23	HoiH23_167	8.132619	-1.3980515
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	8.444451	6.2110186
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	8.548558	6.114974
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_64	9.402725	10.044934
unassigned	unassigned	unassigned	peptidergic_lambda	cyan2	28	batch2	HoiH23	HoiH23_231	17.559313	-8.759366
unassigned	unassigned	unassigned	peptidergic_mu_like	cyan3	39	batch2	HoiH23	HoiH23_233	11.18235	-4.445175
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_202	0.46519774	-1.4728447
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_141	9.273552	2.9244843
unassigned	unassigned	unassigned	epithelia_unknown	plum3	42	batch2	HoiH23	HoiH23_173	13.456627	-10.710325
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_138	6.633912	1.7930905
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_140	8.679911	2.7715135
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_155	5.3585653	3.9093235
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_176	7.393682	-0.22473998
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_171	7.8463526	-0.5335277
unassigned	unassigned	unassigned	peptidergic_alpha	dodgerblue1	27	batch2	HoiH23	HoiH23_209	17.101803	17.057062
unassigned	unassigned	unassigned	peptidergic_kappa	deepskyblue3	47	batch2	HoiH23	HoiH23_228	7.2845683	-13.023003
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_8	15.521267	-1.6480107
