TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.3738036	1.423221
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.6258082	17.753723
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	10.06406	10.867613
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	4.5612264	17.605175
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-1.3790514	-5.595992
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.6241693	17.892834
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	9.960984	7.031741
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	9.412013	6.938959
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	4.6783814	18.055805
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.7121253	17.59101
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.1846662	9.002347
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.0462093	8.322233
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.3226573	8.9826
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.3383904	15.63631
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	5.08061	15.890359
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	-8.081833	6.84992
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.60648	17.897316
epithelia_ventral	orchid1	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	-8.571235	-3.950247
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	4.1372323	17.06159
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	8.9694805	7.4046474
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.6492956	17.78391
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.2417455	15.849784
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-0.47331244	-6.1795115
fibre	chartreuse3	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	20.981327	10.098583
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.6104074	17.782442
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	-0.75067663	1.1808089
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.108876	2.9101944
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.9425356	17.946194
epithelia_dorsal_like	mediumorchid4	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.2901552	9.061814
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	4.091994	17.626762
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	-1.9177089	1.7841754
