TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.3706975	0.75400937
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	-1.8168874	1.5881346
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.9385574	18.062494
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	-4.2494955	12.957963
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.357105	6.5478272
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.870187	17.923342
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	-8.071844	6.8620453
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.273371	15.653921
epithelia_dorsal_like	mediumorchid4	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	10.556472	10.908027
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	4.1743665	17.867596
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.88366	17.345232
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.7597475	17.707226
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.351418	0.83392364
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.7099028	17.853031
gland_1	darkorange3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.218624	15.713525
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.8918114	17.417795
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.370202	1.2865173
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	4.179201	17.033642
epithelia_ventral	orchid1	48	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	15.681301	19.49701
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.479693	0.70268226
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.781402	18.019392
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.7441053	17.922907
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-0.911706	-5.8615494
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	3.8787782	17.611826
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	9.816825	6.56666
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	10.537077	6.5413146
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	10.260251	8.422614
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.58149	17.695406
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.6449919	17.573648
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.2288494	15.725764
trans_epithelia_dorsal_ventral	gray95	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	10.698938	22.116825
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.7743409	17.774471
epithelia_dorsal_like	mediumorchid4	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.2339416	15.671891
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	9.3110695	6.203068
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	-8.079242	6.858683
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.2297864	15.69867
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.4437704	15.472706
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	5.2693977	15.646519
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	4.639283	16.336987
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	3.277059	8.998703
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.7285316	17.575573
