	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1
Tadh_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029219793592634064	0.017598428188852523	0.009781685631941598	0.11398517763918792	0.0	0.009315197976916073	0.0	0.008941301620771397	0.0	0.0	0.9887142133528165	0.0	0.0	0.04531544059465638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012830723122435352	0.0	0.0	0.0	0.01879915342705921	0.007619735837328723	0.0	0.0	0.0	0.008442033016954679	0.0	0.0	0.01807450732666313	0.0	0.0	0.009129229677669569	0.0
Tadh_peptidergic_delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022944392181688707	0.00017888916363672358	0.006416075247579972	0.02939093951392955	0.0	0.005686775082207584	0.0	0.0	0.0	0.0	0.0	0.9287126877727285	0.0012479279571529468	0.0	0.00027584448914502664	0.0	0.0	0.0	0.0033418074156475624	0.0	0.0	0.0	0.0	0.0	0.0	0.020609290534147555	0.0	0.0	0.001907752772543145	0.0	0.006546903518441778	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_epsilon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045022358965589114	0.003946688633457944	0.0004382967408261742	0.027980360710504627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5536038024553542	0.688092842847316	0.0	0.0	0.0	0.002511484114104735	0.0	0.0	0.0	0.0	0.0	0.0	0.6932260140033496	0.19078636089345952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004792919240760939	0.0	0.0	0.0	0.0
Tadh_peptidergic_eta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30454415655555817	0.009113103836990741	0.0	0.0	0.0	0.009437199502433708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.992466392875332	0.0	0.0	0.03631685739339314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013629416533895423	0.0	0.12865347417969464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004155647751513359	0.0
Tadh_peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039655566437283706	0.018722012810404524	0.0	0.026523988056796666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9505248515346324	0.0	0.0007739538375146843	0.0	0.0	0.00039054946216063953	0.0	0.0	0.0	0.0	0.0	0.0071350617300543675	0.007718599528349824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03241994501495712	0.00639513315449321	0.028059190460007773	0.0	0.0	0.008050076980429465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8875950342801279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1018248693726698	0.0007558822651901404	0.0004613193128564342	0.02957838263853691	0.0	0.0	0.021587343904637152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9993656626448917	0.0	0.0	0.0	0.0	0.005431704040713187	0.0	0.0	0.0	0.002274255151537869	0.0	0.0	0.0	0.00736544640536802	0.0	0.0	0.0	0.0	0.0	0.029681475063250223	0.0
Tadh_peptidergic_kappa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005134307256817366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02093419123657732	0.0	0.010771030591814	0.0	0.0	0.0016198254540621775	0.00451895763902694	0.6198183162761187	0.0	0.0	0.0032656552819030705	0.0003567410201609568	0.0	0.08219517887667664	0.009594036293667191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_lambda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04557957672497701	0.0	0.0	0.01036256524042264	0.0	0.0011469935590798452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9395315043735829	0.0	0.0	0.0	0.0	0.0	0.015812846424463674	0.0	0.0	0.0	0.02710478947240986	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_mu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005099369318324156	0.0	0.0	0.03306300626654777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9708168058796707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008542531667023371	0.0	0.0	0.0	0.0	0.0	0.0	0.0
