Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
peptidergic_theta	royalblue3	32	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_theta	-10.517946	-5.69215
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6185155	2.7410927
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5145044	-0.65371066
peptidergic_alpha	dodgerblue1	21	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	14.910878	19.062334
peptidergic_mu_like	cyan3	26	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu_like	19.327806	-4.3062167
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.0261707	7.492328
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.949528	-0.25055408
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.9875593	9.869594
peptidergic_beta	dodgerblue3	34	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	20.364807	3.3350446
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.337665	11.039162
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.0636024	0.52120376
fibre	chartreuse3	2	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.019252	2.2709236
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9622903	0.7235611
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5292127	0.87375253
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-4.79236	7.4358616
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.143482	-0.23258394
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.6722105	0.3137764
epithelia_unknown	plum3	49	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	14.73608	-5.8165655
epithelia_unknown	plum3	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	7.062009	-0.6300361
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.2531147	19.632326
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6870794	0.7330754
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.234115	10.2229595
epithelia_unknown	plum3	49	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	14.735514	-5.8172717
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.359102	10.403177
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.4078865	9.970246
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	5.6823745	-0.22260563
fibre	chartreuse3	2	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.169961	3.1693933
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6580677	-4.200004
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.157052	19.531748
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.9322867	8.9160185
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.078319	0.8611152
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.735322	3.5153594
unknown_1	darkolivegreen2	20	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_unknown_1	-2.913011	-10.763586
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.219837	0.27926356
