Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
peptidergic_eta	royalblue1	29	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_eta	21.099728	8.419966
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.049767	1.3515377
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.6331816	8.289773
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.073363	0.43459043
epithelia_ventral	orchid1	6	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.7881331	-1.017584
peptidergic_mu_like	cyan3	26	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu_like	19.607138	-3.7269
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.876321	0.17021602
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.07243	13.193307
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.6570663	10.479111
epithelia_unknown	plum3	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	2.7563002	3.5810297
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-4.9790087	7.4804845
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.158838	10.56348
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.4796295	2.852917
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.593513	10.218038
peptidergic_delta	skyblue3	33	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_delta	23.75685	9.257597
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5033865	0.76193804
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.1176624	1.3071765
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.0980015	1.5496335
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	6.8554997	19.236586
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	19.718172	3.31246
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9870563	0.6939876
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8811946	0.58729506
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.4637876	1.192378
peptidergic_delta	skyblue3	33	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_delta	23.716291	9.217867
