Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.894844	-1.1040827
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.7586117	13.367271
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.86155	3.1787477
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.386308	2.7838316
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.715611	9.259257
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.268153	3.9653304
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.53858	-0.41798347
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.567414	9.029249
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	8.359179	6.4228086
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.18891	2.3411047
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.957184	-0.361435
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.289732	-0.35591438
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.54097	7.4128046
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.9371285	12.818422
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.2649136	13.646801
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.4635463	14.329325
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.522215	-1.7884136
unknown_2.1	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.1	1.9248081	-3.8468535
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.403393	-0.44765884
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.304712	-0.592797
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.3221574	13.54117
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.069806	3.6358674
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_eta	6.976977	-1.362206
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.644554	12.365347
epithelia_ventral	orchid1	16	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.921836	8.966544
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.520978	7.246855
epithelia_ventral	orchid1	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	10.286193	8.981707
peptidergic_theta	royalblue3	47	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_theta	-6.1257296	-7.5685525
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.59912	7.2447267
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.3811245	10.767592
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.64221	-0.18076068
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.0510845	4.1938515
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.495788	3.0938373
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.057882	11.437256
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.225256	4.4718323
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	-15.579173	2.1865509
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	13.711124	2.291671
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.407028	-0.51167816
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.5446486	14.804711
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.359384	9.651443
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	10.451125	7.3994365
unknown_2.1	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.1	1.9424531	-3.8365521
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.883057	-0.12804545
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.56221	0.17568837
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.275379	2.3739986
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.182592	-0.53261244
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	13.769974	2.3338368
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	9.95271	7.198763
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.869301	4.2330966
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.607601	-0.2322884
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.78404	4.169513
trans_lipophil_1_gland	gray75	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_lipophil_1_gland	16.89405	0.3600328
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_zeta	-9.039003	16.546257
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.786135	0.33075646
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.5600433	14.110695
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.652575	-0.06360882
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.412922	10.101991
epithelia_ventral	orchid1	16	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.976511	8.929245
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.977883	3.2819006
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.038562	3.8159652
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.427921	4.0236826
peptidergic_theta	royalblue3	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_theta	7.431742	-1.6601793
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_gland_epithelia	15.91274	-0.2937298
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.65466	-0.22793487
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.598894	7.181457
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.399213	7.481276
epithelia_unknown_3	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	8.195773	10.067512
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.209431	4.3067465
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.8297377	12.465829
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.937547	3.2329247
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.400801	2.3959954
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.19469	4.3945203
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	8.525871	6.7372184
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.433197	-0.3173562
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.576485	10.634189
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.716372	14.329567
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	6.0147743	12.886236
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_gland_epithelia	16.243036	-0.3519547
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.200489	2.3416917
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	13.715799	2.23362
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.418613	3.444059
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.2609005	13.202579
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.33607	-0.56861746
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.901826	10.262183
epithelia_ventral	orchid1	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.73861	7.389661
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.007336	3.3724735
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.797164	6.987857
trans_lipophil_1_gland	gray75	42	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_lipophil_1_gland	-8.376109	2.3209088
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.13636	-1.8415592
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.654871	3.7586184
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.213052	2.5962992
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.714973	11.334477
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.854358	3.298798
trans_epithelia_dorsal_ventral	gray95	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.097791	11.113325
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.986956	3.803436
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	10.555908	7.582134
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.556303	-0.22376403
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.5051985	9.480085
trans_epithelia_dorsal_ventral	gray95	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	6.5610385	12.659636
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.622808	7.321817
peptidergic_lambda	cyan2	51	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_lambda	-0.042724844	16.318018
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.964137	2.7260644
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.56511	3.9011672
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.726377	9.203023
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.3316507	3.9365845
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.554632	-0.8924654
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.419655	9.797559
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.329314	4.025341
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.189666	3.9854033
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.244601	13.177577
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.537481	10.228979
epithelia_gland_like	orange	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.348516	8.897998
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.358654	-0.5598245
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.4723063	13.2317505
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.402038	7.561122
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.780203	2.4611218
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.52817	7.316992
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.0376625	4.4584155
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.458587	14.029074
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.9016104	14.183008
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.391182	4.529926
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.1538105	4.3433943
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	-15.661968	2.109922
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_nu	9.553343	19.941088
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.357858	4.4018254
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.503494	-1.6991276
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.665146	2.378375
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.511561	4.049278
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.812515	3.1251888
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.9417286	4.33288
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	5.7565145	7.78035
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.795049	8.919014
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.384999	9.624971
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.74463	4.2011695
peptidergic_alpha	dodgerblue1	26	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_alpha	24.434816	-0.1134167
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.085957	2.4933054
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	18.533718	8.821946
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_gland_epithelia	17.54951	-1.7277392
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_nu	9.564143	19.929632
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.274091	4.4089255
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.714349	10.605407
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.799574	0.122608356
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.916429	3.2074814
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.646325	9.736325
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.3825436	13.085648
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.5219874	14.475495
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.349791	13.038142
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.342342	-0.67469925
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.075902	4.5242987
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_eta	6.466553	-1.06399
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.079193	2.454731
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_eta	6.928422	-1.3449413
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.23119	-0.40710092
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-7.477229	4.5440297
peptidergic_epsilon	steelblue1	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_epsilon	0.6144033	18.85762
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.079865	4.0155935
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.821787	9.116326
peptidergic_delta	skyblue3	48	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_delta	5.6527324	23.261284
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.225156	3.825474
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	8.619658	6.5281305
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	18.431171	8.695133
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.1177964	13.272044
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	18.652742	8.745089
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.242699	-0.683787
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.4922247	14.202498
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.807755	14.419659
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.835932	-0.71201193
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.5602674	12.820442
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.666473	-0.14163713
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.688313	9.164643
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_mu_like	1.5621578	-8.789377
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.089714	2.4708588
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.707582	9.333098
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.115523	9.878979
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.575788	11.288744
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.8706517	14.427847
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.9040437	12.304149
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.196458	2.4262562
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.267659	9.463892
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.716829	7.9119544
trans_lipophil_1_gland	gray75	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_lipophil_1_gland	16.023216	-0.6052578
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	-15.540537	2.2695055
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.892381	10.252214
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.366588	13.05512
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.848452	9.596761
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.5632	-0.4925177
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.231348	2.3913832
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.875716	14.693165
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.009766	0.011360333
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.081497	-1.015319
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_zeta	-8.917557	16.66263
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.312939	4.146547
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_mu_like	1.6174378	-8.816047
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.654242	7.225503
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.75253	-0.012442274
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_gland_epithelia	15.647238	-0.007083459
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.550282	-0.25027883
gland_1	darkorange3	17	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.570318	-0.35129854
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	18.443285	8.815112
epithelia_gland_like	orange	7	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	10.498328	7.3103805
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.824258	2.4744349
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.568744	8.637408
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_eta	6.0299954	-0.6524308
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.05406	11.28143
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.5569754	13.335639
epithelia_ventral	orchid1	16	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.035817	8.982647
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.086588	4.1852126
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.532786	14.277728
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.418687	11.110069
peptidergic_lambda	cyan2	51	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_lambda	-0.04220369	16.317823
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	18.461952	9.037661
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	-15.584346	2.2552764
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.523634	-1.4438046
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.6912985	9.982281
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.18283	2.4338706
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	10.008446	8.569628
trans_epithelia_dorsal_ventral	gray95	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	6.7247467	12.110945
lipophil	khaki2	14	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.7046175	2.5131614
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.244695	9.711037
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	17.571144	11.39541
