Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_mu	-2.282304	-7.397091
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_beta	-3.092577	-3.4994733
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	7.800237	6.0612826
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.610536	10.635854
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.129615	4.4065795
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.416372	4.389232
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	6.450912	7.541871
trans_epithelia_dorsal_ventral	gray95	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	10.792226	15.528875
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.383099	-1.1606976
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.596325	-1.20845
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.136688	-1.0482104
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.180576	9.651292
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.563378	10.566445
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	14.12268	2.5789092
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	6.2790885	7.5809836
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.075808	4.6285863
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	9.077553	9.525497
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.142747	4.3973093
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	5.236803	11.399864
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.237537	10.141866
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	5.159926	11.251537
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	14.039975	2.5024247
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.451693	-0.08346948
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.188784	4.3199196
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.042446	-2.4086692
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.377666	9.135486
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.8705726	14.827316
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	7.828486	6.155493
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	-15.560361	2.2228634
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-9.509907	3.9556737
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.739848	12.559101
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	10.742101	7.042548
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_nu	9.531609	19.961672
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.5188	-0.048826672
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	6.101958	7.605671
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.560544	9.409492
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.141	9.468742
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.45364	4.633629
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.423014	-0.27762306
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.46363	0.19937153
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.987421	4.2230234
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.9007144	12.517628
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.426344	-0.04824538
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	5.840734	12.686966
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.123503	10.401599
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	7.7671843	6.3167677
epithelia_unknown_3	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	8.134246	10.203793
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	16.43344	-1.450249
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.378991	8.787069
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	17.370226	0.1551685
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	7.8490205	6.194755
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.686195	6.9161615
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	8.187523	7.4780564
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_mu_like	1.236004	-8.706157
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	4.940286	13.959114
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	8.160048	11.093529
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-8.698575	3.7793436
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	8.839637	10.323829
peptidergic_gamma	skyblue1	35	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_gamma	21.543419	-5.9618945
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	9.184636	9.3249445
peptidergic_delta	skyblue3	45	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_delta	5.833621	-11.624029
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_eta	7.0731964	-1.4553922
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	6.047236	12.6131315
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	5.5952	12.826497
epithelia_unknown_2	plum3	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	8.994943	9.410642
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	6.04552	12.250161
