Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	5.100029	5.951088
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	21.789366	0.03552409
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	6.7915115	-2.5632098
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	6.834783	-2.5088658
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_mu	21.650305	14.031204
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_beta	-0.8167803	-12.545328
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.212228	6.078838
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	3.7501302	3.3814876
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.45787185	15.406103
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.21737766	14.769725
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	5.3275023	5.8421106
trans_epithelia_dorsal_ventral	gray95	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	-1.2597647	-11.965961
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.4902062	-6.7531443
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.6149397	-6.4933147
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.0854626	-4.6073256
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	6.082907	2.8630557
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	4.6462636	3.178566
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	6.843633	-2.4988623
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	4.8808284	3.5026112
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.18669915	14.7117605
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.165378	3.2496974
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.0072073275	15.434667
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	2.2034438	4.141381
