TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.497018	1.2008079
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_68	-1.9544888	-5.740177
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	7.09511	0.7535122
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.925825	5.1231184
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.614002	0.5031343
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.45492634	-5.8114676
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_16	-2.3065271	6.1038375
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.247429	1.0961757
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_78	0.24951491	-5.8230724
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-3.0594387	7.103246
trans_fibre_epithelia	gray85	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.7866104	-5.155061
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.41117454	-5.810191
epithelia_ventral	orchid1	41	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_139	5.9795012	-5.6551466
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	7.0153337	0.8877793
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	2.5751302	11.307981
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.7712935	-4.144119
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.936597	-5.2730255
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.7001039	-5.186513
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	3.0080643	13.34503
epithelia_dorsal	mediumorchid3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_180	2.496762	14.335652
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	-1.8457204	14.948033
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.483785	3.1177704
unknown_2.2	darkolivegreen3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_47	5.2665324	9.887565
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.056349	0.75845844
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	6.0873985	0.818909
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.6282338	-5.313053
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.75657	-4.622286
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.6136911	-3.9321737
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.4371419	-5.6026306
peptidergic_eta	royalblue1	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_203	-9.271318	0.6488373
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	6.730274	0.7838996
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	-1.7175945	-4.997868
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.6284876	0.93478334
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.6315476	-4.7036495
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-1.9282187	7.5624266
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.6341412	-5.417472
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.878825	5.2555575
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	9.532585	6.006148
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-0.96424276	-4.66816
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	-1.7975128	-5.0567093
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	7.6581793	0.569277
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.2439117	0.6753863
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	6.928644	0.82625484
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.76182103	-5.7995677
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	0.4655225	-5.865235
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	18.35665	6.676181
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-2.0375621	-5.2486463
epithelia_ventral	orchid1	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_146	-1.7880414	-4.3609834
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	-1.7166752	-4.0587907
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.808579	1.0622624
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	-1.9060072	-5.2656074
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.6556253	-5.7484703
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_2	-1.8272421	6.774039
fibre	chartreuse3	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-1.8977494	5.531737
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.8665044	-5.5297246
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	4.2221284	11.625073
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_133	6.355354	4.5008345
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.6051804	-5.330641
epithelia_dorsal_like	mediumorchid4	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	9.185737	1.1097703
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-2.039036	-5.2510376
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	2.971081	14.219796
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.741298	4.3373394
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.87852	5.212239
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	0.014078445	-5.709979
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.0342238	-5.383121
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	9.557478	1.8512689
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	-1.7893878	-5.0444183
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	8.306448	0.9593097
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_179	9.250713	2.4188519
peptidergic_theta	royalblue3	54	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_205	-10.963538	14.478381
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.796678	5.068407
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.784765	-5.423578
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.956988	5.246928
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.3450956	-5.886201
fibre	chartreuse3	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	3.3439457	-13.051142
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	5.546851	0.6933856
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	6.7175436	0.7855591
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	5.5653253	10.287543
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	10.076536	7.5141163
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.8218858	-5.4286094
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-1.877809	7.1285768
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.9070005	1.0269452
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_167	5.19545	0.4650942
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_156	9.430651	5.9037533
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.9838529	-5.3398957
