TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	8.178582	0.941493
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.8951159	-4.214437
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.798874	5.032518
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.7628882	-5.4553733
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.863395	5.06633
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	7.7894297	0.7971537
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	-2.1398416	7.4702654
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_78	0.21682349	-5.8325243
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.7360333	-5.7371254
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	-1.7048659	-5.5151815
trans_lipophil_1_fibre	gray90	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-2.9574313	7.4323645
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-1.8258176	7.1728687
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	6.670132	0.7473646
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.9568843	-5.427471
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.501622	-5.8788505
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-3.299457	6.213329
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.879008	5.0675077
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-3.1123538	6.531699
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.31304884	-5.81258
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.384416	1.1144519
trans_epithelia_dorsal_ventral	gray95	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	0.6329853	-5.7461314
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	3.3284025	-13.100494
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	5.6717515	0.56201214
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.75542	-5.422042
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.0947728	-4.66359
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-2.0481663	-5.5240154
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.023369748	-5.6647563
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	-1.961668	-5.3913107
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.6967623	-4.3227124
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	5.279911	0.5460165
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_204	-10.193571	0.93417096
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	9.738276	0.9999167
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.8685158	-5.542061
trans_epithelia_dorsal_ventral	gray95	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	9.367901	6.4302034
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	5.310716	0.5711479
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-1.859741	-4.294454
epithelia_dorsal_like	mediumorchid4	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	0.14127658	-5.79194
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.7412989	-5.561135
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.6211466	-4.3468256
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	5.395791	0.5394208
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	-0.13653629	-4.059273
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.6769608	-4.2318873
trans_lipophil_1_fibre	gray90	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.23367183	-4.8863263
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	8.586468	0.8627389
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-2.235301	6.595269
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	2.3249454	14.385969
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	6.627304	0.68014866
trans_epithelia_dorsal_ventral	gray95	43	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	-10.936589	3.7503126
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.5500816	-3.9476836
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.0258846	0.7124027
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.9383962	-5.5594325
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	-1.8449397	-4.9468284
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	5.6080103	0.5284506
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	9.456316	1.139481
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.5840007	-5.5204415
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.8937788	-4.358654
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.8157843	-4.2792635
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.76204896	-6.035666
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.5980713	-5.633646
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.637402	-5.811839
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	0.3444745	-5.822603
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-1.8779416	-5.5186386
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.7886653	-4.320422
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_41	-7.6018343	-7.160327
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_68	-1.8918434	-5.4032874
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.759331	5.196998
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	3.3938494	-12.904375
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_180	2.1596437	13.586606
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_65	-2.0337641	-5.367346
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.958891	0.80125546
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.771155	-6.0219984
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-1.6339049	-4.2547097
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.7575225	-5.2287555
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	-1.5875268	-5.3244176
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_65	-1.8868042	-5.489737
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.751897	2.8839693
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.9221679	-5.5826316
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_139	9.808709	6.406335
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.842454	5.2281065
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	2.4153626	11.230144
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	-1.5681047	-5.686512
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.2391665	-5.398606
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.516705	-5.815329
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.32163966	-5.7990093
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.5179946	-5.8916545
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_183	8.711894	1.0030135
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.705551	-4.8957906
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	0.68376637	-5.7805877
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	2.6675344	13.080372
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_59	-1.8943238	-5.5124917
gland_1	darkorange3	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_115	-2.0424347	6.4636197
epithelia_dorsal_like	mediumorchid4	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	6.8983755	0.9930071
epithelia_dorsal_like	mediumorchid4	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	-1.8107232	7.3420815
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.632386	-5.539321
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.7792925	-4.5014524
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.5243421	-5.48944
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_167	5.7209234	0.78755003
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	-1.6613106	-5.5240874
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.8871641	-5.47168
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_142	10.025357	6.4734244
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.7664187	-4.218081
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.5330303	-5.5754347
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	-1.6155345	-5.4542603
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.7792752	-4.156826
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-2.1176994	6.950363
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_127	7.8460135	8.514339
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	4.1653614	11.969927
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.7723897	-5.4735384
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_186	9.157421	1.9898434
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	9.038782	5.746491
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_189	8.078063	0.7553393
epithelia_dorsal_like	mediumorchid4	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	7.891532	0.67758226
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_189	8.541482	0.89432895
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	9.410996	1.8617663
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.7647815	-4.2078805
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_88	-1.7552967	-4.533824
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.7756327	-5.5867076
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	3.8819692	11.49004
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.29342288	-5.850044
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	6.7771287	0.84019375
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_163	8.801284	4.43767
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	7.9828677	0.6504669
epithelia_ventral	orchid1	41	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_156	5.971866	-5.6996803
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.849181	4.9099555
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_207	13.483193	-8.788489
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	7.656897	0.58709586
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.6172699	-5.6476336
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	6.3788686	0.85918796
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_167	5.337269	0.47452596
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	6.7866755	0.76603717
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.5380743	-5.7656145
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	5.893231	0.8600369
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.1530542	-5.3971944
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	8.326239	1.055905
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.271953	0.9257823
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.6406884	-4.398666
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	5.370207	0.4949652
gland_1	darkorange3	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	2.1466506	13.15491
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.849199	4.8718677
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	3.3443077	-13.049092
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.4398657	-5.877655
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.7471428	-5.5382853
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	7.6884236	0.9383446
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.887017	1.0940117
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.5524023	-5.8275104
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.3801844	-5.292216
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_158	8.872005	5.2482343
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_6	-3.2877069	6.120446
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.8257579	-4.976151
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.9617761	-5.401332
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.78883	1.0706992
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	5.108254	0.5874483
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	-1.8610898	-4.9224567
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	9.46612	1.9849759
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.77171314	-6.044305
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.560687	0.6119361
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.570995	-4.5310764
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_193	8.502953	1.4161276
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.48538077	-5.876263
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_162	9.072253	5.6718693
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_73	-1.7403485	-4.0822754
trans_fibre_gland	gray55	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_91	-1.228767	-5.2428045
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	6.772351	0.9114009
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.7900238	-5.488303
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	9.050943	5.4507303
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_2	-1.8881025	6.600015
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.700485	-4.320631
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_65	-1.7881407	-4.130129
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.7203394	-5.594031
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	9.348908	5.8415456
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.5049789	-5.446832
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	9.01649	5.3096814
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	5.1222343	0.90591514
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.0502434	1.1717814
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.879515	-5.30849
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	7.166373	0.824404
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	8.448388	5.666205
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	5.212876	0.3408187
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.32450056	-5.786518
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	0.60510594	-5.8952904
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_149	8.068741	7.028006
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	0.4747839	-5.8935347
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.990627	5.268226
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	9.355306	1.6296833
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.5411215	3.1842914
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.4344965	-5.8574204
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	8.3320265	0.95487154
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.55169284	-5.9950833
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	6.966025	0.7270191
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.8284575	-5.418381
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	8.064948	0.79018337
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-2.0661266	-5.5010962
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.9362369	-5.469928
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	0.5798711	-5.76295
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_87	-0.78046733	-5.177828
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	6.619262	0.6334859
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-2.043211	-5.621707
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.902601	-4.889882
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	7.57034	0.600387
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.597438	0.611633
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.34550032	-5.825914
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.758261	4.1880836
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.7488353	-5.4352446
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.7646208	-6.0561323
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.4805776	-5.5720162
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.2550814	-4.548463
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	6.817241	0.83114135
peptidergic_zeta	steelblue3	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_202	8.286018	-12.595164
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.76182	-5.5161943
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.874268	5.069773
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-3.470827	6.169792
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.9011321	-5.328052
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.851154	5.103518
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.880217	-5.519442
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	-1.5191985	-5.1666617
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.7872094	-5.506957
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.6424664	-4.4813905
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.6301026	0.59237194
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.7710472	-4.189477
epithelia_dorsal_like	mediumorchid4	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	-2.156416	-5.438353
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_158	9.107785	5.399297
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	5.9952316	0.8186086
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-1.7660292	-5.6380115
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.866095	0.617123
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.9539785	-5.471923
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	8.1036	0.9113102
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.887701	-5.032778
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	5.591083	0.71711606
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_165	5.276986	0.4997182
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_179	10.137684	6.979607
peptidergic_zeta	steelblue3	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_202	8.274548	-12.607332
