TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
peptidergic_eta	royalblue1	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_eta	-0.71080494	-4.2432823
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.346281	5.014998
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.1347446	12.043654
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.8330965	-1.5578747
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.84831	12.897004
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.802232	13.469748
trans_lipophil_1_gland	gray75	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	-5.7336545	4.2412815
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	6.040548	13.069392
peptidergic_alpha	dodgerblue1	37	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_alpha	-3.02732	-9.885644
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.5388336	5.510896
peptidergic_omicron	lightskyblue	51	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_omicron	15.9599285	4.2382812
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.9038303	12.785173
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_beta	7.1562963	-7.3737416
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_eta	-0.06602842	-4.1220107
trans_epithelia_ventral_peptidergic	gray60	37	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_ventral_peptidergic	-3.0159707	-9.8873205
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.347737	-1.5382597
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.788481	4.0803733
epithelia_gland_like	orange	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	7.1838255	-7.410751
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.153888	-0.15043947
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.8891299	12.060862
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.6977625	-1.474845
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.484621	0.71482897
epithelia_dorsal_like	mediumorchid4	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	-6.3255706	6.737462
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	9.429224	-1.4017222
epithelia_dorsal_like	mediumorchid4	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	10.680523	-1.7431979
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.8675547	6.036608
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.613435	5.4501348
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.8011346	13.094371
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.8153353	4.528367
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.1583376	-1.4311432
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.9975183	12.351247
peptidergic_eta	royalblue1	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_eta	-0.7268669	-4.212581
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.775948	3.866883
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.63199	4.3788395
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.663156	6.251787
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.6037455	5.2591505
peptidergic_epsilon	steelblue1	57	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_epsilon	7.2735105	-15.9132
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.8880315	4.703145
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.108656	4.9992414
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	7.0808063	12.261074
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.782132	12.836257
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.895461	4.102221
unknown_2.4	darkolivegreen3	29	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.590348	10.248128
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.085862	0.055479378
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.9215817	5.13226
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	9.55969	-1.4824135
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.045491	-0.25055078
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.544028	4.792377
peptidergic_iota_like	deepskyblue1	41	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_iota_like	3.5604227	-9.007622
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.6074824	4.3376727
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.8988566	6.054115
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	6.7465057	6.4734874
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_iota	3.1509898	-6.8303623
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.349866	4.699559
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.8740087	5.5299177
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	2.4951086	12.51611
peptidergic_lambda	cyan2	47	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_lambda	-5.7402935	14.188373
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.1	9.9849825	-8.066546
peptidergic_alpha	dodgerblue1	37	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_alpha	-3.014991	-9.878503
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.197161	6.8144803
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.7280164	6.595663
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.181577	5.5771685
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.695782	0.60205424
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.6884584	5.5514994
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.9478054	4.556359
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.9515157	12.607204
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.816664	6.2316403
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	9.692453	-1.198391
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.6519446	4.3348746
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	6.82386	7.651503
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.3096104	4.790732
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.7341437	6.2527657
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.102061	-0.44684133
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.334916	-0.99270356
trans_fibre_gland	gray55	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_gland	-12.532817	-0.45391735
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.387484	6.246529
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.824277	13.227891
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	6.0833874	8.3436365
trans_fibre_gland	gray55	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_gland	-11.870459	-0.43187696
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	7.800872	7.986679
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.767854	0.5601196
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.7852592	6.9267554
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.206396	13.029061
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	8.30417	-1.0738494
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.365761	4.245587
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.7118244	4.9523196
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.5276337	4.301087
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.7629476	13.268841
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.7859926	12.83876
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.726297	4.8761706
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_beta	7.2244954	-7.4522095
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.6384144	6.5841203
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.243704	10.280898
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.0706706	5.026609
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.9835615	-0.20340163
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.5740266	5.8591423
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.615938	4.7882957
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.051837	-0.3314581
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.715781	0.17001721
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.978654	5.858748
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.066505	10.20595
peptidergic_kappa	deepskyblue3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_kappa	-11.478053	0.6944829
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_iota	3.2573662	-6.6799555
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_1	12.50133	-12.002126
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.083221	6.8730974
trans_epithelia_dorsal_ventral	gray95	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	10.147697	-2.1318955
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_alpha	-3.2643993	-10.650784
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.446315	0.8030577
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.5476785	4.120828
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.3156886	6.419298
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.255868	4.2350883
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.937026	-0.53423506
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.138585	-0.11562964
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.4652658	4.5131826
peptidergic_delta	skyblue3	50	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_delta	14.665572	18.782883
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.0250444	5.969049
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	11.02251	-0.8980959
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.674845	-0.6537299
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	6.3806148	7.0842695
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.2975645	4.2140336
peptidergic_kappa	deepskyblue3	39	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_kappa	21.683212	6.7825828
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.878858	-0.02495711
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.141899	-0.8562764
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.470905	6.1122503
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.3171506	12.654602
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.562112	4.661338
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.624293	4.991295
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_fibre	-11.235282	0.91775393
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.042101	6.749142
trans_lipophil_1_epithelia	gray80	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_epithelia	-5.568924	5.1142125
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	6.1651454	8.466749
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.68324	-1.2788206
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	8.509271	6.985162
epithelia_ventral	orchid1	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	11.651878	-1.0656911
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.6421857	-0.75599873
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	9.931631	-1.2453123
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.3846073	4.1268363
unknown_2.2	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.2	9.074712	-5.162283
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.785158	5.7545347
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.247651	6.3586645
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_beta	7.193338	-7.4195967
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.7864504	6.0844517
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.3884993	6.9449654
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.997668	-0.45049566
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_beta	4.3912797	19.984035
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	6.45864	6.3153586
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.102152	10.074008
peptidergic_progenitors	blueviolet	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_progenitors	7.9280562	5.0201745
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.6955824	5.299989
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_eta	-0.049897317	-4.1480203
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	7.3706355	12.232416
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.300479	5.7761617
peptidergic_nu	cyan4	48	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_nu	22.405184	2.454243
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.7077937	4.073625
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	6.2092195	7.9215713
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.8314734	12.75985
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.2	4.8631067	9.064256
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.337003	-0.85833347
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	6.873456	5.975777
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.1435614	12.051275
peptidergic_delta	skyblue3	50	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_delta	14.651631	18.78136
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	9.281401	-1.1573838
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.308521	10.000593
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_1	12.489186	-12.04994
peptidergic_gamma_like	skyblue1	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_gamma_like	7.618525	12.211184
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.0331507	5.149829
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.5953894	4.78385
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.5996614	5.1383615
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.533674	6.321222
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.2941027	4.208937
epithelia_unknown_1	plum3	53	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_unknown_1	-4.088875	16.514454
trans_lipophil_1_gland	gray75	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	4.6439824	12.014431
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.101602	0.85863733
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.979989	-0.4318209
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.768625	0.49585706
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.603851	5.5947375
peptidergic_alpha	dodgerblue1	37	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_alpha	-3.056153	-9.841767
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.8386097	5.1562533
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_iota	3.1634777	-6.722607
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.460204	4.2389836
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.039414	11.983046
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.1594114	5.035002
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.2329416	-0.8339636
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	5.342744	4.193065
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.8204103	5.7401094
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.350134	-0.18599778
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.7174816	5.7662044
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.537695	10.187837
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.8648326	12.855333
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	4.551156	12.145498
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.2964177	4.1975055
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.8795404	4.108462
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.7442875	0.5542956
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-12.079658	-0.3442719
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.127605	10.160913
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_iota	3.181844	-6.7664113
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.865648	5.1555204
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.7610307	4.760968
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.3886585	5.033161
trans_lipophil_1_gland	gray75	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	2.5876844	12.551313
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.1	10.041009	-8.129339
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.676568	6.150485
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	10.760468	-1.8288966
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.2	4.989882	8.9914665
peptidergic_theta	royalblue3	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_theta	0.32797977	-4.133766
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.784996	5.602966
epithelia_gland_like	orange	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_gland_like	8.544685	6.3550234
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	6.1748586	13.708673
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.377633	13.273829
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.311845	4.140396
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_unknown_2.4	9.542942	10.224592
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.199394	6.6775618
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-5.9840174	5.2348285
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.4561787	5.258328
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	5.282014	4.134816
