	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Tadh_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007940309243138528	0.0	0.0047196306756730816	0.0	0.00021405510246869154	0.0	0.0	0.0	0.9610384348582709	0.011459801812393648	0.0	0.013637294847331411	0.0	0.0	0.0	0.0	0.0	0.0	0.01633040085999148	0.0	0.0	0.0	0.002726360559174745	0.0	0.0	0.003938188150714769	0.0	0.012766316941620004	0.0	0.0	0.0015941909402580705	0.031592497589938776	0.0
Tadh_peptidergic_delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003069568847869789	0.0	0.00011871519370530454	0.0	0.0	0.0	0.0	0.008029282289526051	0.0017501576255529068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066611956332207805	0.0	0.0	0.0	0.04250396363311119	0.0	0.0	0.0	0.6290807934860246	0.0	0.0	0.0	0.0	0.0	0.0	0.000732333487431826	0.0021717634030419554	0.0002193634218761631	0.0
Tadh_peptidergic_epsilon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006147245486016915	0.02457692077007454	0.003407927140707304	0.0	0.0	0.000474599685540042	0.0	0.0	0.0	0.0	0.8498537169082183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208575573315412	0.0	0.0	0.0	0.0	0.0	0.0	0.0013765911487432574	0.0	0.0	0.0	0.0	0.00029525893392298307	0.0	0.0
Tadh_peptidergic_eta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007375674210392584	0.00036396327378810604	0.0	0.0	0.00014145060642032598	0.0	0.0	0.0	0.0	0.0	0.9304672008638226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038541402679790615	0.0	0.0	0.2555836899708691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004606151326150461	0.0	0.0
Tadh_peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137140539397959e-05	0.0	0.0008552804259581487	0.0	0.0	0.0	0.0004236045824610645	0.0	0.0	0.0	0.0	0.0	0.0	0.9729586496017356	0.0	0.0	0.0	0.006811325916020368	0.0	0.0	0.0	0.00025418938957825457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036931907570135405	0.0	0.0	0.0	0.0	0.0	0.6982935486473132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009435916980363501	0.00035434951449617223	0.0014193464506929508	0.0003991366263417924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005344410385547032	0.0	0.0	0.9895887464242417	0.0	0.0	0.0	0.002734390766406582	0.0	0.0040616325598250656	0.0	0.0	0.06216019270581622	0.0	0.0004227655822860709	0.0	0.0	0.0	0.0	0.0	0.00034900754480832283	0.00017528754858893734	0.0
Tadh_peptidergic_kappa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070936051365134605	0.0	0.0	0.004884322353722165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9439914637425335	0.0	0.0	0.0	0.0	0.004554381677165713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_lambda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005705169573832458	0.0015609191438721135	0.030631335987015795	0.008797564699081701	0.0	0.0	0.0	0.0006699645653404998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9332299580858496	0.0	0.0	0.0	0.00946117740626369	0.0	0.0	0.0024489965159315164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003747203656020801	0.0	0.0
Tadh_peptidergic_mu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004874857084318125	0.0004933258076145797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9683962518464091	0.0	0.0	0.01873026355036931	0.0	0.0	0.0	0.0	0.0	0.002861191443552974	0.0	0.0	0.0	0.0	0.0018043480709638647	0.0	0.0
Tadh_peptidergic_mu_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021332481747588682	0.001805866630622674	0.0004017198644028014	0.00852789703003816	0.0	0.06146195602066258	0.00488190632315485	0.0	0.0	0.0	0.0	0.0	0.0	0.20689620244785334	0.0	0.0	0.00017862384024616045	0.0	0.9768211811270564	0.05410775132387585	0.015449842945877862	0.0	0.0	0.014282937597463425	0.0	0.0	0.012116576503407422	0.0	0.0	0.0014398826578860022	4.2393696198013104e-05	0.0037087516069763717	0.018715054122990883	0.0
Tadh_peptidergic_nu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044626467323060135	0.00022442634127335022	0.006785791648635966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012379972177959293	0.0	0.0	0.0	0.0	0.0	0.0	0.31194996225259986	0.0	0.8598784067797614	0.002636244824716245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_omicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037924288963765854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9722511477134697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_progenitors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1357154252156448e-05	0.0006814621752212384	0.07680478685887566	0.05204339348248773	0.0	0.0	0.0	0.0	0.00045359266531041706	0.027927677494082488	0.018229750344186776	0.09475766957732881	0.15568549546110416	0.008873169548773766	0.0	0.001983279349618343	0.0028745333539264223	0.005813312284434704	0.0066206025370154405	0.015252134271150594	0.008846407420893713	0.4414008706513208	0.0	0.012442913784142029	0.058535217642410584	0.0	0.0	0.0014616386165567411	0.0	0.0	0.0	0.0	0.0015299282241428992	0.0	0.0
