	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_1014	1	1	1	1	1	1	1
OG_10140	1	1	2	1	1	1	1
OG_10141	1	1	2	1	1	1	1
OG_10142	1	1	1	1	1	1	1
OG_10143	1	1	1	1	1	1	1
OG_10144	1	1	1	1	1	1	1
OG_10145	1	1	1	1	1	1	1
OG_10146	1	1	1	1	1	1	1
OG_10147	1	1	1	1	1	1	1
OG_10148	1	1	1	1	1	1	1
OG_10149	1	1	1	1	1	1	1
OG_1015	1	1	1	1	1	1	1
OG_10150	1	1	1	1	1	1	1
OG_10151	1	1	1	1	1	1	1
OG_10152	2	1	1	2	1	1	1
OG_10153	1	1	1	1	1	1	1
OG_10154	1	1	1	1	1	1	1
OG_10155	1	1	1	1	1	1	1
OG_10156	2	2	2	1	1	1	1
OG_10157	1	1	1	1	1	1	1
OG_10158	1	1	1	1	1	1	1
OG_10159	1	1	1	1	1	1	1
OG_1016	1	1	1	1	1	1	1
OG_10160	1	1	1	1	1	1	1
OG_10161	1	1	1	1	1	1	1
OG_10162	2	1	1	1	1	1	1
OG_10163	1	1	0	1	1	1	1
OG_10164	1	1	0	1	1	1	1
OG_10165	0	1	1	1	1	1	1
OG_10166	0	1	1	1	1	1	1
OG_10167	0	1	1	1	1	1	1
OG_10168	0	1	1	1	1	1	1
OG_10169	1	1	0	0	0	1	0
OG_1017	1	1	1	1	1	1	1
OG_10170	1	1	0	1	1	1	1
OG_10171	1	1	0	0	0	1	0
OG_10172	1	1	0	1	1	1	1
OG_10173	3	1	0	1	1	1	1
OG_10174	1	1	0	1	1	1	1
OG_10175	1	1	0	1	1	1	1
OG_10176	1	1	0	1	1	1	1
OG_10177	1	1	0	1	1	1	1
OG_10178	2	1	1	1	1	1	1
OG_10179	1	1	1	1	1	1	1
OG_1018	1	1	1	1	1	1	1
OG_10180	1	1	1	1	1	1	1
OG_10181	1	1	1	1	1	1	1
OG_10182	0	0	1	1	1	0	0
OG_10183	1	1	1	2	1	1	1
OG_10184	1	1	1	1	1	1	1
OG_10185	1	1	1	1	1	1	1
OG_10186	1	1	1	1	1	1	1
OG_10187	1	1	1	1	1	1	1
OG_10188	1	1	1	1	1	1	1
OG_10189	1	1	1	1	1	1	1
OG_1019	1	1	1	1	1	1	1
OG_10190	1	1	1	1	1	1	1
OG_10191	1	3	0	2	1	1	1
OG_10192	3	4	2	1	1	1	1
OG_10193	1	1	1	1	1	1	1
OG_10194	1	1	1	1	1	1	1
OG_10195	1	1	1	1	1	1	1
OG_10196	1	1	1	1	1	1	1
OG_10197	1	1	1	1	1	1	1
OG_10198	1	1	1	1	1	1	1
OG_10199	1	1	1	1	1	1	1
OG_102	1	1	1	1	1	1	1
OG_1020	1	1	1	1	1	1	1
OG_10200	1	1	1	1	1	1	1
OG_10201	1	1	1	1	1	1	1
